MutationRate,TrainingAccuracy,TestAccuracy
3,97.363,96.491
10,97.582,98.246
30,96.264,97.368
60,97.363,97.368
80,96.264,96.491
90,96.923,96.491
100,97.802,94.737
3,96.044,98.246
10,95.824,94.737
30,96.264,95.614
60,96.044,97.368
80,96.484,95.614
90,95.824,96.491
100,97.802,96.491
3,96.264,96.491
10,96.923,95.614
30,96.264,95.614
60,97.363,98.246
80,95.824,96.491
90,96.923,97.368
100,96.484,97.368
3,97.802,97.368
10,96.264,94.737
30,95.824,96.491
60,95.824,96.491
80,96.264,97.368
90,97.582,95.614
100,96.923,96.491
3,98.022,96.491
10,96.264,96.491
30,97.582,98.246
60,96.923,96.491
80,97.143,97.368
90,98.022,98.246
100,96.264,96.491
3,96.923,97.368
10,95.824,96.491
30,96.484,95.614
60,96.044,95.614
80,97.143,96.491
90,96.923,95.614
100,96.923,95.614
3,96.264,96.491
10,97.802,97.368
30,96.703,95.614
60,96.703,96.491
80,96.264,97.368
90,95.824,92.982
100,95.604,93.860
3,96.044,95.614
10,96.484,94.737
30,95.165,92.982
60,96.044,96.491
80,97.363,97.368
90,97.582,98.246
100,96.703,96.491
3,95.824,95.614
10,97.802,97.368
30,97.582,97.368
60,96.264,98.246
80,97.802,96.491
90,96.264,98.246
100,96.923,98.246
3,95.824,96.491
10,96.703,96.491
30,96.044,95.614
60,97.363,97.368
80,95.824,97.368
90,95.385,96.491
100,96.264,96.491
