T,TrainingAccuracy,TestAccuracy
10.0,97.363,97.368
100.0,98.242,96.491
1000.0,97.143,96.491
10000.0,96.703,93.860
100000.0,95.824,96.491
1000000.0,93.626,90.351
1.0E7,84.615,80.702
1.0E8,93.187,90.351
1.0E9,94.286,93.860
1.0E10,96.703,95.614
1.0E11,71.868,73.684
10.0,98.681,97.368
100.0,94.286,94.737
1000.0,96.484,95.614
10000.0,96.264,96.491
100000.0,69.011,74.561
1000000.0,96.484,93.860
1.0E7,90.769,85.088
1.0E8,88.352,86.842
1.0E9,86.593,86.842
1.0E10,93.626,91.228
1.0E11,88.791,90.351
10.0,97.143,96.491
100.0,98.022,98.246
1000.0,98.242,96.491
10000.0,92.967,92.105
100000.0,94.725,94.737
1000000.0,91.648,91.228
1.0E7,92.308,90.351
1.0E8,95.385,94.737
1.0E9,94.505,93.860
1.0E10,95.824,95.614
1.0E11,56.484,56.140
10.0,97.143,97.368
100.0,97.143,97.368
1000.0,97.143,94.737
10000.0,97.802,97.368
100000.0,94.286,92.982
1000000.0,96.044,92.982
1.0E7,90.989,87.719
1.0E8,94.725,95.614
1.0E9,95.385,94.737
1.0E10,91.648,85.088
1.0E11,93.187,91.228
10.0,96.264,93.860
100.0,97.143,94.737
1000.0,98.242,96.491
10000.0,94.725,91.228
100000.0,98.681,98.246
1000000.0,96.264,94.737
1.0E7,96.264,95.614
1.0E8,96.044,93.860
1.0E9,93.626,89.474
1.0E10,95.165,92.105
1.0E11,85.714,83.333
10.0,97.802,97.368
100.0,97.802,96.491
1000.0,98.022,97.368
10000.0,89.011,87.719
100000.0,91.648,92.982
1000000.0,95.604,91.228
1.0E7,86.374,85.088
1.0E8,97.582,95.614
1.0E9,87.473,86.842
1.0E10,72.088,70.175
1.0E11,92.967,92.982
10.0,97.802,95.614
100.0,96.264,96.491
1000.0,93.846,92.982
10000.0,98.242,99.123
100000.0,97.363,98.246
1000000.0,98.022,95.614
1.0E7,85.055,83.333
1.0E8,55.385,55.263
1.0E9,77.363,82.456
1.0E10,89.231,90.351
1.0E11,88.791,93.860
10.0,97.582,98.246
100.0,93.846,92.982
1000.0,95.824,93.860
10000.0,87.473,86.842
100000.0,92.308,90.351
1000000.0,97.143,94.737
1.0E7,96.703,92.982
1.0E8,88.571,85.965
1.0E9,90.330,88.596
1.0E10,87.253,83.333
1.0E11,57.143,59.649
10.0,97.582,97.368
100.0,96.923,93.860
1000.0,91.209,90.351
10000.0,97.143,97.368
100000.0,93.407,86.842
1000000.0,96.484,95.614
1.0E7,96.923,95.614
1.0E8,96.264,94.737
1.0E9,94.286,93.860
1.0E10,83.956,84.211
1.0E11,93.626,89.474
10.0,97.363,98.246
100.0,95.824,93.860
1000.0,93.626,90.351
10000.0,92.747,94.737
100000.0,93.407,93.860
1000000.0,96.703,98.246
1.0E7,96.484,94.737
1.0E8,89.890,89.474
1.0E9,86.813,89.474
1.0E10,92.088,92.105
1.0E11,85.275,86.842
