Algorithm,Iteration,N,Evaluation,TrainingTime
RHC,10,10,10.0,9050565.0
SA,10,10,10.0,3726171.0
GA,10,10,10.0,9327832.0
MIMIC,10,10,10.0,3.1950306E7
RHC,10,20,20.0,697894.0
SA,10,20,20.0,1240613.0
GA,10,20,17.0,1767971.0
MIMIC,10,20,19.0,3.9239201E7
RHC,10,30,30.0,738066.0
SA,10,30,30.0,1265031.0
GA,10,30,23.0,916084.0
MIMIC,10,30,26.0,3.7212079E7
RHC,10,40,40.0,591949.0
SA,10,40,40.0,1072834.0
GA,10,40,29.0,852281.0
MIMIC,10,40,35.0,4.962884E7
RHC,10,50,50.0,734915.0
SA,10,50,50.0,1286298.0
GA,10,50,32.0,1036207.0
MIMIC,10,50,43.0,5.1881636E7
RHC,10,60,60.0,654965.0
SA,10,60,60.0,1032662.0
GA,10,60,37.0,813684.0
MIMIC,10,60,49.0,6.4569362E7
RHC,20,10,10.0,498609.0
SA,20,10,10.0,2003098.0
GA,20,10,10.0,521845.0
MIMIC,20,10,9.0,5953365.0
RHC,20,20,20.0,586041.0
SA,20,20,20.0,1975528.0
GA,20,20,16.0,674657.0
MIMIC,20,20,17.0,1.4509655E7
RHC,20,30,30.0,711284.0
SA,20,30,30.0,1409573.0
GA,20,30,19.0,836527.0
MIMIC,20,30,29.0,2.1780827E7
RHC,20,40,40.0,859370.0
SA,20,40,40.0,1545449.0
GA,20,40,27.0,889696.0
MIMIC,20,40,34.0,3.4243274E7
RHC,20,50,50.0,888909.0
SA,20,50,50.0,1485191.0
GA,20,50,33.0,840466.0
MIMIC,20,50,45.0,7.0955169E7
RHC,20,60,60.0,1463529.0
SA,20,60,60.0,2220893.0
GA,20,60,41.0,1312686.0
MIMIC,20,60,51.0,8.0355863E7
RHC,30,10,10.0,1098828.0
SA,30,10,10.0,2637976.0
GA,30,10,10.0,779026.0
MIMIC,30,10,9.0,8595280.0
RHC,30,20,20.0,1296539.0
SA,30,20,20.0,2901065.0
GA,30,20,16.0,1073229.0
MIMIC,30,20,17.0,2.2112444E7
RHC,30,30,30.0,1374914.0
SA,30,30,30.0,2752585.0
GA,30,30,22.0,1205560.0
MIMIC,30,30,26.0,3.3740333E7
RHC,30,40,40.0,1548993.0
SA,30,40,40.0,2921545.0
GA,30,40,26.0,1468255.0
MIMIC,30,40,37.0,5.3063565E7
RHC,30,50,50.0,1502913.0
SA,30,50,50.0,2594653.0
GA,30,50,29.0,1567504.0
MIMIC,30,50,41.0,6.8650387E7
RHC,30,60,60.0,1605314.0
SA,30,60,60.0,2556844.0
GA,30,60,44.0,1565535.0
MIMIC,30,60,58.0,8.8875525E7
RHC,40,10,10.0,694743.0
SA,40,10,10.0,2026334.0
GA,40,10,8.0,608097.0
MIMIC,40,10,10.0,6392109.0
RHC,40,20,20.0,4619411.0
SA,40,20,20.0,2350469.0
GA,40,20,18.0,909782.0
MIMIC,40,20,20.0,1.830593E7
RHC,40,30,30.0,1395394.0
SA,40,30,30.0,3050726.0
GA,40,30,18.0,1388698.0
MIMIC,40,30,25.0,3.5742643E7
RHC,40,40,40.0,1601769.0
SA,40,40,40.0,2333140.0
GA,40,40,27.0,1352071.0
MIMIC,40,40,36.0,4.4122095E7
RHC,40,50,50.0,1016515.0
SA,40,50,50.0,2581262.0
GA,40,50,34.0,1540723.0
MIMIC,40,50,46.0,5.9823526E7
RHC,40,60,60.0,1014546.0
SA,40,60,60.0,2283515.0
GA,40,60,37.0,1627763.0
MIMIC,40,60,55.0,7.8140876E7
RHC,50,10,10.0,496639.0
SA,50,10,10.0,1959381.0
GA,50,10,10.0,592343.0
MIMIC,50,10,9.0,5490598.0
RHC,50,20,20.0,599827.0
SA,50,20,20.0,2049177.0
GA,50,20,15.0,818017.0
MIMIC,50,20,18.0,1.4690036E7
RHC,50,30,30.0,723100.0
SA,50,30,30.0,2216561.0
GA,50,30,20.0,1047629.0
MIMIC,50,30,27.0,2.6256091E7
RHC,50,40,40.0,838103.0
SA,50,40,40.0,2111798.0
GA,50,40,28.0,1180748.0
MIMIC,50,40,38.0,3.9503471E7
RHC,50,50,50.0,938533.0
SA,50,50,50.0,2262641.0
GA,50,50,30.0,1439111.0
MIMIC,50,50,46.0,5.6420309E7
RHC,50,60,60.0,4100324.0
SA,50,60,60.0,2213017.0
GA,50,60,36.0,1537178.0
MIMIC,50,60,56.0,7.6298863E7
RHC,60,10,10.0,508454.0
SA,60,10,10.0,2010974.0
GA,60,10,10.0,616368.0
MIMIC,60,10,9.0,5294462.0
RHC,60,20,20.0,608491.0
SA,60,20,20.0,2125584.0
GA,60,20,15.0,809746.0
MIMIC,60,20,19.0,1.3992142E7
RHC,60,30,30.0,738066.0
SA,60,30,30.0,2259490.0
GA,60,30,22.0,1071653.0
MIMIC,60,30,27.0,2.6834255E7
RHC,60,40,40.0,877882.0
SA,60,40,40.0,2368980.0
GA,60,40,22.0,1357978.0
MIMIC,60,40,37.0,4.3870035E7
RHC,60,50,50.0,1054324.0
SA,60,50,50.0,2504857.0
GA,60,50,36.0,1558446.0
MIMIC,60,50,47.0,6.5593359E7
RHC,60,60,60.0,1202804.0
SA,60,60,60.0,2665939.0
GA,60,60,33.0,1916057.0
MIMIC,60,60,57.0,1.4928391E8
RHC,10,10,10.0,196135.0
SA,10,10,10.0,636060.0
GA,10,10,8.0,205587.0
MIMIC,10,10,10.0,2308721.0
RHC,10,20,20.0,231581.0
SA,10,20,20.0,706559.0
GA,10,20,16.0,313107.0
MIMIC,10,20,18.0,6364934.0
RHC,10,30,30.0,303261.0
SA,10,30,30.0,732159.0
GA,10,30,22.0,415900.0
MIMIC,10,30,27.0,1.2533339E7
RHC,10,40,40.0,350523.0
SA,10,40,40.0,786903.0
GA,10,40,31.0,527358.0
MIMIC,10,40,36.0,2.0463808E7
RHC,10,50,50.0,433623.0
SA,10,50,50.0,845980.0
GA,10,50,35.0,636060.0
MIMIC,10,50,43.0,3.0693546E7
RHC,10,60,60.0,443076.0
SA,10,60,60.0,886940.0
GA,10,60,37.0,754213.0
MIMIC,10,60,50.0,4.2840129E7
RHC,20,10,10.0,350523.0
SA,20,10,10.0,1279603.0
GA,20,10,8.0,340676.0
MIMIC,20,10,10.0,3825419.0
RHC,20,20,20.0,418264.0
SA,20,20,20.0,1358373.0
GA,20,20,18.0,522633.0
MIMIC,20,20,18.0,1.0691719E7
RHC,20,30,30.0,507272.0
SA,20,30,30.0,1439110.0
GA,20,30,23.0,710891.0
MIMIC,20,30,29.0,1.9689508E7
RHC,20,40,40.0,582103.0
SA,20,40,40.0,1511972.0
GA,20,40,29.0,910570.0
MIMIC,20,40,35.0,3.2837246E7
RHC,20,50,50.0,695925.0
SA,20,50,50.0,1634851.0
GA,20,50,35.0,1101980.0
MIMIC,20,50,45.0,4.4420236E7
RHC,20,60,60.0,699076.0
SA,20,60,60.0,1482040.0
GA,20,60,41.0,1125216.0
MIMIC,20,60,51.0,5.7326152E7
RHC,30,10,10.0,386362.0
SA,30,10,10.0,1495430.0
GA,30,10,9.0,374153.0
MIMIC,30,10,10.0,4244865.0
RHC,30,20,20.0,467888.0
SA,30,20,20.0,1558840.0
GA,30,20,19.0,575408.0
MIMIC,30,20,18.0,1.1625525E7
RHC,30,30,30.0,578953.0
SA,30,30,30.0,1702200.0
GA,30,30,25.0,764060.0
MIMIC,30,30,28.0,2.2157737E7
RHC,30,40,40.0,708134.0
