Algorithm,Iteration,Evaluation,TrainingTime
RHC,10,20.0,9756760.0
SA,10,35.0,3633628.0
GA,10,31.0,1.4413995E7
MIMIC,10,31.0,9.7492773E7
RHC,20,20.0,2958575.0
SA,20,35.0,3235055.0
GA,20,35.0,6725324.0
MIMIC,20,32.0,6.878648E7
RHC,40,20.0,1988137.0
SA,40,35.0,3788410.0
GA,40,34.0,1.045505E7
MIMIC,40,34.0,7.2534718E7
RHC,60,20.0,1881798.0
SA,60,20.0,6645373.0
GA,60,32.0,1.3265933E7
MIMIC,60,35.0,8.3024032E7
RHC,80,20.0,2498169.0
SA,80,20.0,5014060.0
GA,80,28.0,1.1535765E7
MIMIC,80,35.0,8.388183E7
RHC,100,20.0,2654132.0
SA,100,35.0,5489827.0
GA,100,35.0,1.1132072E7
MIMIC,100,32.0,1.2010114E8
RHC,10,20.0,240246.0
SA,10,35.0,417477.0
GA,10,34.0,1506857.0
MIMIC,10,35.0,1.4046536E7
RHC,20,20.0,385576.0
SA,20,35.0,1103951.0
GA,20,32.0,2951092.0
MIMIC,20,31.0,2.3731224E7
RHC,40,20.0,711680.0
SA,40,35.0,2129529.0
GA,40,30.0,4693469.0
MIMIC,40,27.0,4.9601033E7
RHC,60,20.0,1231952.0
SA,60,35.0,4061345.0
GA,60,33.0,8896600.0
MIMIC,60,18.0,6.5748742E7
RHC,80,20.0,1439509.0
SA,80,20.0,4759242.0
GA,80,35.0,1.02471E7
MIMIC,80,32.0,7.3771002E7
RHC,100,20.0,1704174.0
SA,100,35.0,5482344.0
GA,100,31.0,1.1156885E7
MIMIC,100,32.0,9.7323419E7
RHC,10,20.0,171717.0
SA,10,35.0,409601.0
GA,10,34.0,1443054.0
MIMIC,10,34.0,1.2706277E7
RHC,20,20.0,338314.0
SA,20,20.0,976740.0
GA,20,33.0,2616322.0
MIMIC,20,33.0,2.2479973E7
RHC,40,20.0,665601.0
SA,40,35.0,2265011.0
GA,40,34.0,4573740.0
MIMIC,40,13.0,3.9543768E7
RHC,60,20.0,885761.0
SA,60,35.0,3040496.0
GA,60,33.0,6763133.0
MIMIC,60,32.0,6.4068986E7
RHC,80,20.0,1545454.0
SA,80,20.0,5372067.0
GA,80,35.0,1.1957181E7
MIMIC,80,31.0,7.9532189E7
RHC,100,20.0,1682513.0
SA,100,20.0,5876190.0
GA,100,35.0,1.2084787E7
MIMIC,100,35.0,1.06793065E8
RHC,10,20.0,192985.0
SA,10,35.0,450560.0
GA,10,35.0,1798303.0
MIMIC,10,8.0,1.5495892E7
RHC,20,20.0,381637.0
SA,20,35.0,1127976.0
GA,20,31.0,3244902.0
MIMIC,20,32.0,2.7078919E7
RHC,40,35.0,797539.0
SA,40,35.0,2605295.0
GA,40,32.0,5531575.0
MIMIC,40,30.0,4.4082455E7
RHC,60,20.0,998401.0
SA,60,20.0,3331154.0
GA,60,35.0,8075429.0
MIMIC,60,29.0,7.0205903E7
RHC,80,20.0,1565934.0
SA,80,35.0,5391759.0
GA,80,33.0,9052169.0
MIMIC,80,34.0,8.2527392E7
RHC,100,20.0,1693146.0
SA,100,35.0,5957323.0
GA,100,34.0,8839886.0
MIMIC,100,34.0,1.07616992E8
RHC,10,20.0,213071.0
SA,10,20.0,488370.0
GA,10,35.0,1429663.0
MIMIC,10,29.0,1.6086662E7
RHC,20,20.0,427718.0
SA,20,20.0,1244161.0
GA,20,30.0,2587966.0
MIMIC,20,35.0,2.7300261E7
RHC,40,20.0,847557.0
SA,40,35.0,2786071.0
GA,40,33.0,5092042.0
MIMIC,40,31.0,5.2205935E7
RHC,60,20.0,1266216.0
SA,60,35.0,4377210.0
GA,60,35.0,7458666.0
MIMIC,60,31.0,7.1524107E7
RHC,80,20.0,1545453.0
SA,80,35.0,5528817.0
GA,80,35.0,9105732.0
MIMIC,80,34.0,7.9469961E7
RHC,100,20.0,1680149.0
SA,100,35.0,6002615.0
GA,100,34.0,9728009.0
MIMIC,100,32.0,8.9782833E7
RHC,10,20.0,140603.0
SA,10,30.0,266634.0
GA,10,31.0,907423.0
MIMIC,10,33.0,9502729.0
RHC,20,20.0,263089.0
SA,20,35.0,806204.0
GA,20,33.0,1669910.0
MIMIC,20,31.0,1.7184706E7
RHC,40,20.0,531693.0
SA,40,35.0,1759312.0
GA,40,33.0,3153135.0
MIMIC,40,32.0,3.2393878E7
RHC,60,20.0,798327.0
SA,60,20.0,2754169.0
GA,60,35.0,4710404.0
MIMIC,60,35.0,4.305176E7
RHC,80,20.0,949958.0
SA,80,20.0,3347695.0
GA,80,34.0,5604830.0
MIMIC,80,33.0,5.5147181E7
RHC,100,20.0,1095287.0
SA,100,20.0,3897112.0
GA,100,33.0,6430727.0
MIMIC,100,35.0,6.7997605E7
RHC,10,20.0,108702.0
SA,10,20.0,241428.0
GA,10,31.0,743976.0
MIMIC,10,35.0,8018715.0
RHC,20,20.0,216616.0
SA,20,35.0,648665.0
GA,20,32.0,1349712.0
MIMIC,20,30.0,1.4251337E7
RHC,40,20.0,434807.0
SA,40,35.0,1442266.0
GA,40,33.0,2620655.0
MIMIC,40,31.0,2.5113625E7
RHC,60,20.0,612038.0
SA,60,20.0,2053122.0
GA,60,35.0,3550526.0
MIMIC,60,32.0,3.6126362E7
RHC,80,20.0,807780.0
SA,80,35.0,2862871.0
GA,80,35.0,4738368.0
MIMIC,80,34.0,4.7046545E7
RHC,100,20.0,987373.0
SA,100,35.0,3446551.0
GA,100,34.0,5635550.0
MIMIC,100,35.0,8.4487566E7
RHC,10,20.0,216222.0
SA,10,20.0,489945.0
GA,10,34.0,1445416.0
MIMIC,10,34.0,1.5436028E7
RHC,20,20.0,423385.0
SA,20,20.0,1238253.0
GA,20,33.0,2600963.0
MIMIC,20,32.0,2.6911534E7
RHC,40,20.0,835743.0
SA,40,35.0,2808913.0
GA,40,33.0,5000276.0
MIMIC,40,28.0,5.130954E7
RHC,60,20.0,1274094.0
SA,60,35.0,4355548.0
GA,60,35.0,7390924.0
MIMIC,60,34.0,7.5576395E7
RHC,80,20.0,1681725.0
SA,80,20.0,5993557.0
GA,80,34.0,9842619.0
MIMIC,80,31.0,8.6018054E7
RHC,100,35.0,1847141.0
SA,100,35.0,6479170.0
GA,100,35.0,9142753.0
MIMIC,100,35.0,1.132553E8
RHC,10,20.0,215828.0
SA,10,35.0,474585.0
GA,10,30.0,1456838.0
MIMIC,10,35.0,1.5289517E7
RHC,20,20.0,426536.0
SA,20,20.0,1282365.0
GA,20,33.0,2640348.0
MIMIC,20,35.0,2.7333344E7
RHC,40,20.0,850315.0
SA,40,35.0,2843178.0
GA,40,32.0,5019968.0
MIMIC,40,30.0,5.0899152E7
RHC,60,20.0,1291423.0
SA,60,35.0,4376423.0
GA,60,32.0,7443700.0
MIMIC,60,33.0,6.445338E7
RHC,80,20.0,1433207.0
SA,80,20.0,4977433.0
GA,80,35.0,8234544.0
MIMIC,80,34.0,7.2462644E7
