Algorithm,Iteration,N,Evaluation,TrainingTime
RHC,10,10,17.0,5732027.0
SA,10,10,0.0,2059024.0
GA,10,10,17.0,1.4353698E7
MIMIC,10,10,17.0,5.3600004E7
RHC,10,30,5.0,285538.0
SA,10,30,6.0,347372.0
GA,10,30,49.0,8231764.0
MIMIC,10,30,10.0,1.02774759E8
RHC,10,60,3.0,411568.0
SA,10,60,1.0,448984.0
GA,10,60,13.0,5572913.0
MIMIC,10,60,20.0,1.67837241E8
RHC,10,100,1.0,167384.0
SA,10,100,3.0,170535.0
GA,10,100,11.0,4639894.0
MIMIC,10,100,17.0,2.49797268E8
RHC,10,200,4.0,155569.0
SA,10,200,0.0,166990.0
GA,10,200,9.0,5342907.0
MIMIC,10,200,28.0,7.0681711E8
RHC,10,300,0.0,207163.0
SA,10,300,2.0,204012.0
GA,10,300,7.0,9448353.0
MIMIC,10,300,18.0,9.33253829E8
RHC,30,10,10.0,60258.0
SA,30,10,0.0,79557.0
GA,30,10,17.0,3267736.0
MIMIC,30,10,17.0,9358162.0
RHC,30,30,22.0,63015.0
SA,30,30,5.0,88222.0
GA,30,30,39.0,3746652.0
MIMIC,30,30,43.0,3.7175073E7
RHC,30,60,14.0,84677.0
SA,30,60,3.0,103582.0
GA,30,60,11.0,4117655.0
MIMIC,30,60,18.0,9.5688299E7
RHC,30,100,5.0,96886.0
SA,30,100,1.0,134695.0
GA,30,100,9.0,3818332.0
MIMIC,30,100,12.0,2.3114908E8
RHC,30,200,7.0,174080.0
SA,30,200,2.0,210708.0
GA,30,200,9.0,9522789.0
MIMIC,30,200,19.0,1.021826127E9
RHC,30,300,1.0,358793.0
SA,30,300,2.0,398178.0
GA,30,300,14.0,1.2321849E7
MIMIC,30,300,15.0,2.237259592E9
RHC,60,10,17.0,224098.0
SA,60,10,17.0,423384.0
GA,60,10,17.0,9044267.0
MIMIC,60,10,17.0,3.4196813E7
RHC,60,30,24.0,263089.0
SA,60,30,8.0,358400.0
GA,60,30,43.0,1.0429027E7
MIMIC,60,30,41.0,1.28362899E8
RHC,60,60,8.0,264664.0
SA,60,60,7.0,362338.0
GA,60,60,80.0,1.1550306E7
MIMIC,60,60,30.0,2.86735246E8
RHC,60,100,4.0,230006.0
SA,60,100,7.0,321771.0
GA,60,100,14.0,8459012.0
MIMIC,60,100,30.0,5.27386635E8
RHC,60,200,2.0,556110.0
SA,60,200,5.0,708134.0
GA,60,200,9.0,2.0639865E7
MIMIC,60,200,23.0,1.653434903E9
RHC,60,300,1.0,476947.0
SA,60,300,2.0,515150.0
GA,60,300,7.0,1.4195765E7
MIMIC,60,300,11.0,3.259082175E9
RHC,100,10,10.0,129969.0
SA,100,10,17.0,465525.0
GA,100,10,17.0,5236569.0
MIMIC,100,10,17.0,2.6054058E7
RHC,100,30,30.0,161477.0
SA,100,30,16.0,246153.0
GA,100,30,53.0,6188100.0
MIMIC,100,30,44.0,9.9141929E7
RHC,100,60,14.0,194953.0
SA,100,60,25.0,291839.0
GA,100,60,18.0,7778841.0
MIMIC,100,60,21.0,2.84239447E8
RHC,100,100,9.0,267027.0
SA,100,100,7.0,343827.0
GA,100,100,13.0,1.0308905E7
MIMIC,100,100,23.0,6.43965284E8
RHC,100,200,7.0,512787.0
SA,100,200,3.0,582892.0
GA,100,200,10.0,3.1283932E7
MIMIC,100,200,41.0,2.828334187E9
RHC,100,300,2.0,760122.0
SA,100,300,1.0,815260.0
GA,100,300,14.0,2.689295E7
MIMIC,100,300,17.0,5.6197174E9
RHC,200,10,10.0,260332.0
SA,200,10,17.0,541538.0
GA,200,10,17.0,8755578.0
MIMIC,200,10,17.0,4.2943333E7
RHC,200,30,30.0,294203.0
SA,200,30,30.0,639605.0
GA,200,30,52.0,1.0145065E7
MIMIC,200,30,23.0,3.51670122E8
RHC,200,60,33.0,535236.0
SA,200,60,25.0,920417.0
GA,200,60,20.0,3.2882157E7
MIMIC,200,60,28.0,9.9228181E8
RHC,200,100,29.0,633697.0
SA,200,100,13.0,797143.0
GA,200,100,13.0,2.520414E7
MIMIC,200,100,30.0,1.955528153E9
RHC,200,200,7.0,1092134.0
SA,200,200,7.0,1304023.0
GA,200,200,14.0,4.2019765E7
MIMIC,200,200,46.0,5.521932269E9
RHC,200,300,12.0,1432810.0
SA,200,300,13.0,1599406.0
GA,200,300,13.0,7.8211012E7
MIMIC,200,300,24.0,1.4184387809E10
RHC,400,10,10.0,530904.0
SA,400,10,10.0,1841228.0
GA,400,10,17.0,3.841096E7
MIMIC,400,10,17.0,2.24699073E8
RHC,400,30,30.0,1059838.0
SA,400,30,30.0,2974321.0
GA,400,30,51.0,5.2327489E7
MIMIC,400,30,50.0,5.78228933E8
RHC,400,60,59.0,737673.0
SA,400,60,60.0,1527727.0
GA,400,60,29.0,3.2271303E7
MIMIC,400,60,28.0,1.931442534E9
RHC,400,100,42.0,1543875.0
SA,400,100,49.0,5873024.0
GA,400,100,17.0,8.0632374E7
MIMIC,400,100,43.0,2.680121871E9
RHC,400,200,25.0,1848317.0
SA,400,200,12.0,2096046.0
GA,400,200,16.0,6.7341665E7
MIMIC,400,200,52.0,1.0291883987E10
RHC,400,300,6.0,2856561.0
SA,400,300,19.0,3196056.0
GA,400,300,16.0,9.4429568E7
