Algorithm,Iteration,N,Evaluation,TrainingTime
RHC,10,10,17.0,5604812.0
SA,10,10,0.0,2109436.0
GA,10,10,17.0,1.5711277E7
MIMIC,10,10,17.0,5.2875701E7
RHC,10,20,4.0,232762.0
SA,10,20,1.0,256393.0
GA,10,20,31.0,4535916.0
MIMIC,10,20,35.0,6.540707E7
RHC,10,30,8.0,211101.0
SA,10,30,2.0,157144.0
GA,10,30,39.0,3846687.0
MIMIC,10,30,41.0,6.7319583E7
RHC,10,40,10.0,151631.0
SA,10,40,6.0,163446.0
GA,10,40,11.0,3747045.0
MIMIC,10,40,12.0,8.218488E7
RHC,10,50,1.0,89796.0
SA,10,50,1.0,104369.0
GA,10,50,13.0,3993985.0
MIMIC,10,50,68.0,9.1754927E7
RHC,10,60,0.0,119335.0
SA,10,60,2.0,93341.0
GA,10,60,12.0,3647008.0
MIMIC,10,60,21.0,1.01935829E8
RHC,10,70,1.0,81526.0
SA,10,70,0.0,98461.0
GA,10,70,10.0,3354380.0
MIMIC,10,70,20.0,1.15973262E8
RHC,10,80,2.0,77194.0
SA,10,80,1.0,88222.0
GA,10,80,9.0,3125950.0
MIMIC,10,80,15.0,1.20577315E8
RHC,10,90,2.0,140209.0
SA,10,90,0.0,148873.0
GA,10,90,10.0,5800160.0
MIMIC,10,90,17.0,2.28926125E8
RHC,10,100,2.0,122486.0
SA,10,100,1.0,134301.0
GA,10,100,12.0,4698969.0
MIMIC,10,100,20.0,2.169422E8
RHC,20,10,10.0,336738.0
SA,20,10,2.0,359975.0
GA,20,10,17.0,4049911.0
MIMIC,20,10,17.0,1.4610873E7
RHC,20,20,18.0,174474.0
SA,20,20,1.0,147692.0
GA,20,20,32.0,3619438.0
MIMIC,20,20,32.0,2.8295815E7
RHC,20,30,3.0,110670.0
SA,20,30,2.0,144147.0
GA,20,30,42.0,4181062.0
MIMIC,20,30,15.0,4.7017646E7
RHC,20,40,10.0,90190.0
SA,20,40,4.0,112640.0
GA,20,40,56.0,3215747.0
MIMIC,20,40,17.0,6.5849359E7
RHC,20,50,9.0,79951.0
SA,20,50,1.0,103976.0
GA,20,50,11.0,2987710.0
MIMIC,20,50,12.0,8.104391E7
RHC,20,60,2.0,74436.0
SA,20,60,2.0,98461.0
GA,20,60,14.0,2847502.0
MIMIC,20,60,76.0,9.3579613E7
RHC,20,70,9.0,78375.0
SA,20,70,1.0,98068.0
GA,20,70,10.0,2741557.0
MIMIC,20,70,20.0,1.24292457E8
RHC,20,80,2.0,120911.0
SA,20,80,3.0,157539.0
GA,20,80,9.0,4888408.0
MIMIC,20,80,18.0,2.01353016E8
RHC,20,90,2.0,93342.0
SA,20,90,1.0,152419.0
GA,20,90,24.0,3734835.0
MIMIC,20,90,17.0,1.88360059E8
RHC,20,100,2.0,108702.0
SA,20,100,1.0,113428.0
GA,20,100,15.0,3112559.0
MIMIC,20,100,23.0,1.88139506E8
RHC,30,10,17.0,52381.0
SA,30,10,2.0,83889.0
GA,30,10,17.0,2263429.0
MIMIC,30,10,17.0,8293988.0
RHC,30,20,20.0,54350.0
SA,30,20,1.0,78375.0
GA,30,20,35.0,2400881.0
MIMIC,30,20,35.0,1.8631639E7
RHC,30,30,7.0,64985.0
SA,30,30,1.0,83889.0
GA,30,30,43.0,2470985.0
MIMIC,30,30,40.0,3.2743904E7
RHC,30,40,28.0,66166.0
SA,30,40,1.0,84283.0
GA,30,40,50.0,2652155.0
MIMIC,30,40,24.0,4.6139371E7
RHC,30,50,12.0,71680.0
SA,30,50,3.0,93735.0
GA,30,50,15.0,2834110.0
MIMIC,30,50,12.0,7.0080439E7
RHC,30,60,6.0,71286.0
SA,30,60,0.0,98068.0
GA,30,60,19.0,3129889.0
MIMIC,30,60,18.0,9.9359686E7
RHC,30,70,12.0,149268.0
SA,30,70,0.0,213464.0
GA,30,70,12.0,6748540.0
MIMIC,30,70,8.0,2.52586382E8
RHC,30,80,5.0,164627.0
SA,30,80,2.0,183138.0
GA,30,80,15.0,4964813.0
MIMIC,30,80,18.0,2.42335771E8
RHC,30,90,7.0,168172.0
SA,30,90,0.0,143360.0
GA,30,90,14.0,3897887.0
MIMIC,30,90,19.0,2.22492269E8
RHC,30,100,3.0,90191.0
SA,30,100,9.0,108701.0
GA,30,100,12.0,3517433.0
MIMIC,30,100,25.0,2.19750318E8
RHC,40,10,17.0,42142.0
SA,40,10,2.0,72074.0
GA,40,10,17.0,2115737.0
MIMIC,40,10,17.0,1.058538E7
RHC,40,20,20.0,43717.0
SA,40,20,1.0,72862.0
GA,40,20,35.0,2334715.0
MIMIC,40,20,29.0,2.7417541E7
RHC,40,30,7.0,48049.0
SA,40,30,0.0,80738.0
