Algorithm,Iteration,NumberOfPoints,Evaluation,TrainingTime
RHC,10,10,0.27126191771222946,1.3803096E7
SA,10,10,0.14837709667051413,2516278.0
GA,10,10,0.27281027384390294,2.1763497E7
MIMIC,10,10,0.25554495972534597,7.5250053E7
RHC,10,20,0.1680625990921976,566744.0
SA,10,20,0.08617023390107321,591949.0
GA,10,20,0.2432029532001113,1.4953518E7
MIMIC,10,20,0.17143618261783822,1.1394299E8
RHC,10,30,0.10675988245922648,567531.0
SA,10,30,0.05055921132103755,234338.0
GA,10,30,0.13808405242807564,1.240337E7
MIMIC,10,30,0.08548194898600907,1.75002009E8
RHC,10,40,0.06941786957537809,173292.0
SA,10,40,0.04609754772736658,197316.0
GA,10,40,0.09818917567666574,1.224465E7
MIMIC,10,40,0.06291014742221243,2.25427992E8
RHC,10,50,0.057316472020352345,111064.0
SA,10,50,0.04158633084799155,112640.0
GA,10,50,0.08329186134628197,9711438.0
MIMIC,10,50,0.0538617547517415,3.87816317E8
RHC,10,60,0.04572034683473337,218978.0
SA,10,60,0.03168881205960925,223704.0
GA,10,60,0.07791992936094484,1.9143639E7
MIMIC,10,60,0.044161938990156135,8.73865135E8
RHC,20,10,0.35967235538402553,77981.0
SA,20,10,0.21511539777233332,81526.0
GA,20,10,0.3901541991932595,4533947.0
MIMIC,20,10,0.32012245847116677,1.2055604E7
RHC,20,20,0.14724596837243897,111852.0
SA,20,20,0.0836609573667336,102006.0
GA,20,20,0.20984785306008855,7062828.0
MIMIC,20,20,0.12951092109245996,4.036678E7
RHC,20,30,0.12168548871073931,128000.0
SA,20,30,0.056753814235315427,127212.0
GA,20,30,0.20143801122996416,9003304.0
MIMIC,20,30,0.10061411924014226,1.06004251E8
RHC,20,40,0.08293383996550126,161477.0
SA,20,40,0.0457055319003506,148479.0
GA,20,40,0.13193612934784074,1.1891371E7
MIMIC,20,40,0.07511603543962593,2.59148239E8
RHC,20,50,0.06204945190237654,209525.0
SA,20,50,0.035689684406525014,211888.0
GA,20,50,0.0972642959202353,1.6855397E7
MIMIC,20,50,0.06220321310983344,8.1880123E8
RHC,20,60,0.05917360712573558,252455.0
SA,20,60,0.03337172433379033,255999.0
GA,20,60,0.09100910931095256,2.3211273E7
MIMIC,20,60,0.050950953833015886,1.306725144E9
RHC,30,10,0.34838882204033805,129969.0
SA,30,10,0.21614415608044116,136271.0
GA,30,10,0.34213439239448135,5898621.0
MIMIC,30,10,0.31666387110789285,2.2710695E7
RHC,30,20,0.18821030015911552,166990.0
SA,30,20,0.11931935490930076,179988.0
GA,30,20,0.251553874874132,9707105.0
MIMIC,30,20,0.1916277299602392,1.8267766E8
RHC,30,30,0.108458008173449,445833.0
SA,30,30,0.0748522322742548,480491.0
GA,30,30,0.2015439174858511,3.0643527E7
MIMIC,30,30,0.10554512919114385,3.7016102E8
RHC,30,40,0.10288467577802549,388725.0
SA,30,40,0.039692704826141026,360762.0
GA,30,40,0.1404788735117805,2.3058854E7
MIMIC,30,40,0.08226038473550308,4.60600504E8
RHC,30,50,0.07433825869222138,263089.0
SA,30,50,0.0405022276872168,258363.0
GA,30,50,0.1359392632635008,2.108057E7
MIMIC,30,50,0.06900279137435099,7.17174963E8
RHC,30,60,0.052862712732576825,270966.0
SA,30,60,0.02996997908726103,284356.0
GA,30,60,0.10241601553665848,2.6091463E7
MIMIC,30,60,0.044417551319211025,1.605893579E9
RHC,40,10,0.3250495859763186,109882.0
SA,40,10,0.15728307835905603,129181.0
GA,40,10,0.323020624027853,6250325.0
MIMIC,40,10,0.2580622018852008,1.8567837E7
RHC,40,20,0.1961040977444195,153600.0
SA,40,20,0.10039348687428257,178019.0
GA,40,20,0.2418496679532029,9987129.0
MIMIC,40,20,0.16547416912649074,6.9484551E7
RHC,40,30,0.1224151568329445,200467.0
SA,40,30,0.0572629808422581,223310.0
GA,40,30,0.22856944682750477,1.5727818E7
MIMIC,40,30,0.11835608833597178,1.91546662E8
RHC,40,40,0.09635725203641606,246153.0
SA,40,40,0.05061372300272366,273328.0
GA,40,40,0.15886559091364622,2.0587082E7
MIMIC,40,40,0.0912071001337869,6.27128143E8
RHC,40,50,0.08060295615967661,552958.0
