Algorithm,Iteration,Nodes,TrainTest,Evaluation,Time
RHC,10,10,train,26.154,0.110
RHC,10,10,test,20.175,0.004
SA,10,10,train,75.165,0.072
SA,10,10,test,73.684,0.002
GA,10,10,train,94.505,1.255
GA,10,10,test,95.614,0.003
RHC,10,20,train,41.099,0.054
RHC,10,20,test,36.842,0.001
SA,10,20,train,41.099,0.050
SA,10,20,test,33.333,0.001
GA,10,20,train,94.505,2.015
GA,10,20,test,91.228,0.001
RHC,10,30,train,64.176,0.058
RHC,10,30,test,64.035,0.001
SA,10,30,train,66.593,0.065
SA,10,30,test,72.807,0.001
GA,10,30,train,95.604,2.356
GA,10,30,test,96.491,0.001
RHC,10,40,train,34.725,0.061
RHC,10,40,test,36.842,0.001
SA,10,40,train,41.099,0.056
SA,10,40,test,40.351,0.001
GA,10,40,train,95.604,2.902
GA,10,40,test,92.982,0.001
RHC,10,50,train,89.890,0.074
RHC,10,50,test,91.228,0.001
SA,10,50,train,44.176,0.067
SA,10,50,test,47.368,0.001
GA,10,50,train,96.703,4.304
GA,10,50,test,93.860,0.001
RHC,10,60,train,50.330,0.075
RHC,10,60,test,50.877,0.001
SA,10,60,train,81.538,0.077
SA,10,60,test,76.316,0.001
GA,10,60,train,94.725,4.568
GA,10,60,test,95.614,0.001
RHC,20,10,train,55.824,0.038
RHC,20,10,test,63.158,0.001
SA,20,10,train,63.516,0.038
SA,20,10,test,70.175,0.000
GA,20,10,train,94.066,1.544
GA,20,10,test,91.228,0.001
RHC,20,20,train,88.132,0.065
RHC,20,20,test,85.965,0.001
SA,20,20,train,70.989,0.071
SA,20,20,test,75.439,0.002
GA,20,20,train,94.945,3.638
GA,20,20,test,92.982,0.001
RHC,20,30,train,45.055,0.084
RHC,20,30,test,41.228,0.001
SA,20,30,train,70.989,0.084
SA,20,30,test,72.807,0.001
GA,20,30,train,96.264,4.536
GA,20,30,test,93.860,0.001
RHC,20,40,train,68.791,0.108
RHC,20,40,test,78.070,0.001
SA,20,40,train,62.418,0.108
SA,20,40,test,70.175,0.001
GA,20,40,train,96.923,7.066
GA,20,40,test,98.246,0.001
RHC,20,50,train,29.011,0.127
RHC,20,50,test,31.579,0.001
SA,20,50,train,21.099,0.129
SA,20,50,test,27.193,0.001
GA,20,50,train,96.044,7.828
GA,20,50,test,95.614,0.001
RHC,20,60,train,85.055,0.155
RHC,20,60,test,83.333,0.001
SA,20,60,train,56.484,0.148
SA,20,60,test,55.263,0.001
GA,20,60,train,95.385,8.606
GA,20,60,test,92.105,0.002
RHC,30,10,train,51.648,0.062
RHC,30,10,test,50.000,0.000
SA,30,10,train,25.275,0.067
SA,30,10,test,26.316,0.001
GA,30,10,train,96.044,2.287
GA,30,10,test,92.982,0.001
RHC,30,20,train,65.714,0.091
RHC,30,20,test,64.035,0.001
SA,30,20,train,34.066,0.097
SA,30,20,test,39.474,0.001
GA,30,20,train,96.044,4.555
GA,30,20,test,98.246,0.001
RHC,30,30,train,28.352,0.127
RHC,30,30,test,28.070,0.004
SA,30,30,train,27.692,0.311
SA,30,30,test,22.807,0.002
GA,30,30,train,96.264,6.936
GA,30,30,test,95.614,0.001
RHC,30,40,train,52.747,0.165
RHC,30,40,test,49.123,0.001
SA,30,40,train,61.978,0.162
SA,30,40,test,58.772,0.001
GA,30,40,train,97.363,9.717
GA,30,40,test,96.491,0.001
RHC,30,50,train,79.121,0.230
RHC,30,50,test,85.088,0.001
SA,30,50,train,58.242,0.230
SA,30,50,test,60.526,0.001
GA,30,50,train,96.923,12.416
GA,30,50,test,95.614,0.001
RHC,30,60,train,44.176,0.235
RHC,30,60,test,42.105,0.001
SA,30,60,train,43.516,0.226
SA,30,60,test,42.105,0.001
GA,30,60,train,97.143,13.669
GA,30,60,test,98.246,0.001
RHC,40,10,train,83.077,0.075
RHC,40,10,test,85.088,0.001
SA,40,10,train,32.308,0.073
SA,40,10,test,33.333,0.000
GA,40,10,train,97.582,2.965
GA,40,10,test,98.246,0.001
RHC,40,20,train,73.626,0.122
RHC,40,20,test,73.684,0.001
SA,40,20,train,73.846,0.122
SA,40,20,test,74.561,0.001
GA,40,20,train,96.703,6.093
GA,40,20,test,96.491,0.001
RHC,40,30,train,67.912,0.164
RHC,40,30,test,71.930,0.001
SA,40,30,train,82.857,0.164
SA,40,30,test,86.842,0.001
GA,40,30,train,95.824,9.317
GA,40,30,test,97.368,0.001
RHC,40,40,train,40.000,0.273
RHC,40,40,test,39.474,0.002
SA,40,40,train,15.604,0.434
SA,40,40,test,17.544,0.001
GA,40,40,train,97.363,12.079
GA,40,40,test,96.491,0.001
RHC,40,50,train,78.462,0.261
RHC,40,50,test,78.070,0.001
SA,40,50,train,79.560,0.256
SA,40,50,test,85.965,0.001
GA,40,50,train,97.363,17.220
GA,40,50,test,97.368,0.001
RHC,40,60,train,51.648,0.386
RHC,40,60,test,52.632,0.002
SA,40,60,train,79.560,0.395
SA,40,60,test,74.561,0.002
GA,40,60,train,97.582,18.652
GA,40,60,test,98.246,0.001
RHC,50,10,train,66.813,0.092
RHC,50,10,test,65.789,0.001
SA,50,10,train,67.253,0.141
SA,50,10,test,76.316,0.001
GA,50,10,train,97.802,4.233
GA,50,10,test,96.491,0.001
RHC,50,20,train,84.396,0.152
RHC,50,20,test,85.088,0.001
SA,50,20,train,56.923,0.340
SA,50,20,test,59.649,0.001
GA,50,20,train,98.242,8.548
GA,50,20,test,98.246,0.001
RHC,50,30,train,42.418,0.204
RHC,50,30,test,43.860,0.001
SA,50,30,train,84.396,0.210
SA,50,30,test,80.702,0.001
GA,50,30,train,97.363,11.080
GA,50,30,test,95.614,0.001
RHC,50,40,train,86.813,0.466
RHC,50,40,test,88.596,0.002
SA,50,40,train,83.516,0.396
SA,50,40,test,87.719,0.001
GA,50,40,train,98.462,15.264
GA,50,40,test,98.246,0.001
RHC,50,50,train,85.934,0.326
RHC,50,50,test,80.702,0.001
SA,50,50,train,64.835,0.315
SA,50,50,test,65.789,0.001
GA,50,50,train,97.363,19.176
GA,50,50,test,96.491,0.001
RHC,50,60,train,24.176,0.380
RHC,50,60,test,34.211,0.001
SA,50,60,train,81.978,0.369
SA,50,60,test,78.070,0.001
GA,50,60,train,98.022,22.639
GA,50,60,test,97.368,0.001
RHC,60,10,train,84.615,0.150
RHC,60,10,test,82.456,0.001
SA,60,10,train,21.099,0.263
SA,60,10,test,31.579,0.001
GA,60,10,train,96.703,5.208
GA,60,10,test,96.491,0.003
RHC,60,20,train,74.505,0.256
RHC,60,20,test,74.561,0.001
SA,60,20,train,39.780,0.282
SA,60,20,test,39.474,0.002
GA,60,20,train,97.582,10.408
GA,60,20,test,96.491,0.001
RHC,60,30,train,36.044,0.545
RHC,60,30,test,35.965,0.001
SA,60,30,train,41.758,0.418
SA,60,30,test,41.228,0.002
GA,60,30,train,97.802,13.704
GA,60,30,test,95.614,0.001
RHC,60,40,train,70.110,0.318
RHC,60,40,test,70.175,0.001
SA,60,40,train,32.747,0.311
SA,60,40,test,33.333,0.001
GA,60,40,train,97.143,18.387
GA,60,40,test,98.246,0.001
RHC,60,50,train,85.055,0.382
RHC,60,50,test,85.965,0.001
SA,60,50,train,84.615,0.392
SA,60,50,test,83.333,0.001
GA,60,50,train,97.802,22.831
GA,60,50,test,97.368,0.001
RHC,60,60,train,67.912,0.450
RHC,60,60,test,71.930,0.001
SA,60,60,train,31.209,0.501
SA,60,60,test,30.702,0.003
GA,60,60,train,98.022,27.780
GA,60,60,test,97.368,0.001
RHC,10,10,train,58.681,0.018
RHC,10,10,test,56.140,0.000
SA,10,10,train,62.857,0.018
SA,10,10,test,64.912,0.000
GA,10,10,train,95.824,0.753
GA,10,10,test,94.737,0.000
RHC,10,20,train,53.407,0.030
RHC,10,20,test,52.632,0.001
SA,10,20,train,52.527,0.030
SA,10,20,test,51.754,0.001
GA,10,20,train,96.484,1.485
GA,10,20,test,94.737,0.001
RHC,10,30,train,22.857,0.041
RHC,10,30,test,28.070,0.001
SA,10,30,train,24.615,0.041
SA,10,30,test,22.807,0.001
GA,10,30,train,94.725,2.159
GA,10,30,test,91.228,0.001
RHC,10,40,train,22.637,0.052
RHC,10,40,test,19.298,0.001
SA,10,40,train,81.758,0.051
SA,10,40,test,72.807,0.001
GA,10,40,train,97.582,2.967
GA,10,40,test,96.491,0.001
RHC,10,50,train,44.615,0.064
RHC,10,50,test,46.491,0.001
SA,10,50,train,14.505,0.063
SA,10,50,test,12.281,0.001
GA,10,50,train,94.286,5.130
GA,10,50,test,95.614,0.001
RHC,10,60,train,35.824,0.091
RHC,10,60,test,34.211,0.001
SA,10,60,train,31.868,0.115
SA,10,60,test,28.070,0.003
GA,10,60,train,95.385,4.837
GA,10,60,test,95.614,0.001
RHC,20,10,train,67.473,0.082
RHC,20,10,test,68.421,0.001
SA,20,10,train,31.429,0.072
SA,20,10,test,33.333,0.001
GA,20,10,train,96.484,2.144
GA,20,10,test,96.491,0.001
RHC,20,20,train,38.022,0.076
RHC,20,20,test,38.596,0.001
SA,20,20,train,40.220,0.074
SA,20,20,test,35.088,0.001
GA,20,20,train,94.725,3.558
GA,20,20,test,97.368,0.001
RHC,20,30,train,60.220,0.081
RHC,20,30,test,64.035,0.001
SA,20,30,train,12.527,0.217
SA,20,30,test,12.281,0.002
GA,20,30,train,96.264,5.921
GA,20,30,test,94.737,0.001
RHC,20,40,train,42.637,0.181
RHC,20,40,test,45.614,0.002
SA,20,40,train,47.473,0.272
SA,20,40,test,48.246,0.002
GA,20,40,train,96.264,7.051
GA,20,40,test,94.737,0.001
RHC,20,50,train,36.044,0.127
RHC,20,50,test,45.614,0.001
SA,20,50,train,23.297,0.127
SA,20,50,test,26.316,0.001
GA,20,50,train,95.165,7.924
GA,20,50,test,92.105,0.001
RHC,20,60,train,55.604,0.158
RHC,20,60,test,51.754,0.001
SA,20,60,train,49.231,0.156
SA,20,60,test,48.246,0.001
GA,20,60,train,96.703,10.199
GA,20,60,test,98.246,0.001
RHC,30,10,train,44.615,0.057
RHC,30,10,test,43.860,0.000
SA,30,10,train,81.978,0.060
SA,30,10,test,81.579,0.000
GA,30,10,train,96.264,2.830
GA,30,10,test,97.368,0.001
RHC,30,20,train,62.637,0.109
RHC,30,20,test,63.158,0.001
SA,30,20,train,22.637,0.113
SA,30,20,test,21.053,0.001
GA,30,20,train,97.363,6.083
GA,30,20,test,95.614,0.001
RHC,30,30,train,54.066,0.149
RHC,30,30,test,59.649,0.002
SA,30,30,train,63.956,0.297
SA,30,30,test,64.912,0.001
GA,30,30,train,96.264,7.297
GA,30,30,test,97.368,0.001
RHC,30,40,train,58.462,0.158
RHC,30,40,test,67.544,0.001
SA,30,40,train,86.593,0.200
SA,30,40,test,85.965,0.002
GA,30,40,train,96.264,9.916
GA,30,40,test,97.368,0.001
RHC,30,50,train,75.385,0.194
RHC,30,50,test,70.175,0.001
SA,30,50,train,19.341,0.278
SA,30,50,test,14.035,0.003
GA,30,50,train,97.582,11.975
GA,30,50,test,97.368,0.001
RHC,30,60,train,68.132,0.234
RHC,30,60,test,65.789,0.001
SA,30,60,train,52.527,0.230
SA,30,60,test,61.404,0.001
