Iteration,RHC,SA,GA
0,86.325,56.333,48.166
1,83.594,58.887,61.091
2,83.465,58.844,35.415
3,83.449,58.948,47.581
4,83.428,58.872,27.214
5,83.843,59.236,30.568
6,83.481,57.151,27.735
7,85.521,57.211,8.688
8,83.372,57.267,15.081
9,83.888,56.791,19.588
10,81.063,56.339,13.970
11,79.517,55.254,18.500
12,80.371,55.250,49.795
13,79.519,54.664,16.172
14,77.818,55.087,14.136
15,77.871,55.133,14.864
16,77.956,54.405,11.706
17,77.413,54.479,16.212
18,77.453,54.114,26.465
19,76.449,54.216,8.609
20,76.370,55.042,18.454
21,76.468,54.554,8.736
22,76.056,54.486,8.385
23,75.452,56.653,15.317
24,75.359,56.644,8.514
25,75.389,56.517,10.176
26,75.027,56.103,9.193
27,74.806,56.119,9.995
28,74.795,56.048,7.052
29,75.227,56.768,8.326
30,74.826,56.347,7.046
31,76.633,54.899,6.594
32,75.184,54.942,11.226
33,73.672,54.888,10.321
34,74.931,54.883,7.340
35,73.778,55.165,9.454
36,73.687,55.172,6.163
37,73.091,57.229,7.691
38,73.091,57.226,5.634
39,75.973,59.107,6.817
40,74.697,59.791,9.106
41,73.066,59.822,8.744
42,71.594,59.713,7.539
43,67.781,59.781,9.703
44,67.932,59.781,8.212
45,69.522,59.168,5.320
46,66.915,58.864,6.110
47,66.869,58.871,6.559
48,67.467,58.913,6.057
49,67.111,58.950,7.644
50,70.428,58.729,7.985
51,66.873,58.891,6.436
52,67.293,58.012,5.629
53,66.450,57.799,7.866
54,66.448,57.817,4.994
55,66.289,58.441,6.994
56,66.118,58.441,5.983
57,66.313,58.030,5.978
58,65.621,57.999,6.389
59,66.362,58.513,5.602
60,63.984,58.864,5.288
61,63.929,58.616,5.529
62,63.298,58.529,5.972
63,70.268,58.504,5.453
64,64.046,58.743,4.520
65,63.622,58.047,5.109
66,65.153,57.925,5.173
67,62.635,57.361,5.885
68,61.557,57.173,5.917
69,61.301,59.029,6.317
70,60.501,59.244,5.308
71,61.217,59.486,7.490
72,61.287,59.415,5.622
73,60.440,59.558,4.527
74,62.446,61.174,5.570
75,60.492,61.067,7.183
76,60.349,61.311,5.648
77,60.309,61.935,4.594
78,61.284,62.433,4.984
79,60.106,63.808,5.354
80,60.088,64.351,6.398
81,60.048,64.459,5.418
82,60.057,64.579,5.072
83,60.131,64.728,5.443
84,59.838,64.664,5.746
85,59.574,64.606,6.527
86,60.376,64.662,5.142
87,59.161,64.706,4.552
88,59.113,64.919,5.015
89,59.380,64.829,6.171
90,59.193,65.477,5.225
91,59.095,65.833,4.984
92,59.006,65.174,5.316
93,58.851,65.289,4.556
94,59.479,65.243,4.581
95,60.275,65.040,5.659
96,58.876,64.661,5.287
97,58.117,64.638,5.811
98,57.286,64.984,4.418
99,56.935,64.607,4.837
100,56.808,65.490,5.258
101,57.575,66.057,3.982
102,56.570,66.065,5.148
103,56.490,66.063,5.389
104,55.935,63.961,3.902
105,55.946,61.438,6.072
106,55.979,61.374,5.103
107,53.970,61.210,5.359
108,54.551,59.798,4.180
109,53.805,63.023,4.853
110,53.741,63.052,4.593
111,53.401,64.645,3.877
112,52.577,64.876,3.836
113,52.779,64.576,4.292
114,52.573,65.152,4.366
115,52.618,65.874,4.045
116,53.510,64.960,4.496
117,52.362,64.926,4.572
118,52.519,64.729,6.086
119,51.946,64.538,3.962
120,52.028,64.087,5.148
121,51.919,63.916,4.886
122,51.988,63.710,4.512
123,50.128,63.846,4.771
124,50.210,64.189,4.293
125,51.352,64.198,5.028
126,49.592,63.930,5.791
127,49.456,64.177,4.264
128,50.131,64.100,5.246
129,45.054,64.222,3.943
130,45.582,64.658,3.708
131,46.449,64.618,5.080
132,44.628,64.432,4.187
133,44.849,62.662,3.607
134,44.496,61.530,3.871
135,44.560,62.001,4.346
136,44.463,61.974,4.089
137,44.418,62.105,3.453
138,43.834,61.883,3.916
139,43.906,61.994,4.526
140,43.795,61.826,3.431
141,43.485,61.848,4.893
142,43.184,61.326,3.898
143,42.729,64.197,3.982
144,42.590,64.211,4.208
145,42.338,64.208,3.738
146,43.356,63.211,3.612
147,42.437,63.228,4.047
148,42.344,63.198,3.980
149,42.397,62.496,3.455
150,42.352,63.810,4.009
151,41.961,66.119,3.743
152,41.218,66.422,3.505
153,41.213,66.449,3.704
154,42.070,66.051,3.507
155,41.326,65.928,3.249
156,41.808,65.865,3.733
157,41.039,65.636,4.116
158,41.212,64.401,3.608
159,41.319,64.111,3.859
160,41.337,63.494,3.471
161,40.849,63.678,4.311
162,40.833,63.536,3.593
163,40.833,61.534,4.652
164,41.020,61.635,4.382
165,41.417,62.035,3.943
166,40.845,61.983,3.804
167,40.073,61.435,3.523
168,38.650,64.023,4.523
169,39.031,63.968,3.382
170,38.218,63.537,3.447
171,38.209,63.934,3.272
172,38.213,64.344,3.506
173,38.134,64.420,4.244
174,38.189,64.419,3.180
175,38.039,64.404,3.385
176,39.387,64.676,3.523
177,38.387,64.718,3.191
178,38.043,64.367,3.559
179,38.081,64.453,3.477
180,38.052,64.268,3.648
181,38.040,63.613,3.544
182,37.655,63.613,3.353
183,38.042,63.817,3.317
184,38.217,63.995,3.572
185,38.419,62.053,3.521
186,37.268,61.162,3.322
187,37.668,61.144,3.299
188,37.353,64.465,3.424
189,37.296,64.473,3.651
190,37.242,64.497,3.892
191,36.526,65.118,3.628
192,36.581,64.950,3.657
193,35.570,64.915,3.318
194,35.654,64.916,3.921
195,35.936,64.146,3.132
196,34.728,64.593,3.212
197,34.532,64.286,3.442
198,33.729,64.429,4.276
199,33.977,64.761,3.021
200,33.059,73.374,3.548
201,33.178,73.274,3.454
202,32.952,73.152,3.650
203,32.911,73.206,3.094
204,33.201,73.683,3.208
205,32.732,73.706,3.344
206,32.729,73.886,3.039
207,32.737,73.832,3.717
208,32.144,73.257,3.233
209,31.937,74.325,3.421
210,31.936,72.364,3.247
211,31.956,72.339,3.122
212,31.777,72.110,3.900
213,31.771,71.982,3.593
214,31.835,71.755,3.196
215,31.763,71.731,3.499
216,31.825,71.818,3.184
217,31.845,72.403,3.508
218,31.654,73.707,3.477
219,31.716,73.649,3.327
220,31.451,71.096,3.262
221,31.510,71.073,2.897
222,31.460,72.909,2.762
223,32.038,72.849,3.092
224,31.578,72.453,3.281
225,31.468,72.488,3.232
226,31.934,72.521,3.366
227,31.430,72.450,3.203
228,31.680,73.097,3.280
229,31.347,73.042,3.032
230,29.338,72.963,2.955
231,25.088,73.094,3.171
232,25.086,61.412,3.599
233,25.065,61.417,3.128
234,24.970,61.296,3.203
235,24.868,60.386,3.378
236,24.817,60.094,3.153
237,24.299,60.647,3.177
238,24.251,60.447,2.936
239,24.918,54.923,2.966
240,24.337,55.542,2.859
241,24.251,54.661,3.074
242,24.052,54.721,3.135
243,24.065,54.603,3.036
244,24.035,56.339,3.092
245,24.065,56.113,3.281
246,23.949,56.113,2.825
247,23.956,57.030,2.786
248,24.148,56.878,2.673
249,23.977,56.030,2.997
250,23.888,55.395,2.948
251,23.677,55.079,2.819
252,23.656,55.026,2.876
253,23.638,54.661,3.108
254,23.848,54.611,3.048
255,23.510,54.516,3.203
256,23.535,55.065,2.929
257,23.498,54.885,3.040
258,23.154,54.017,2.999
259,23.157,53.776,2.870
260,22.997,53.770,2.900
261,23.085,53.789,2.843
262,23.182,53.763,2.815
263,22.883,53.768,2.796
264,22.869,53.768,2.822
265,22.913,53.625,3.109
266,22.872,53.562,3.099
267,22.831,54.245,2.892
268,22.885,54.271,2.838
269,22.623,53.683,3.028
270,23.471,53.452,2.863
271,22.883,53.210,3.128
272,22.379,53.532,2.984
273,22.340,52.023,3.585
274,22.637,51.995,2.624
275,21.943,51.940,2.667
276,22.132,52.244,2.838
277,21.746,51.794,2.680
278,21.642,51.563,2.790
279,21.706,52.113,2.725
280,21.502,52.072,2.867
281,21.262,52.141,2.917
