MatingRate,TrainingAccuracy,TestAccuracy
10,96.264,96.491
30,95.385,94.737
60,96.923,93.860
100,96.923,92.982
150,96.264,94.737
200,95.824,93.860
10,94.725,96.491
30,96.484,97.368
60,96.044,95.614
100,96.923,95.614
150,96.044,96.491
200,96.923,97.368
10,94.505,92.982
30,96.484,96.491
60,95.604,92.105
100,96.703,96.491
150,97.582,96.491
200,95.824,94.737
10,93.407,92.982
30,96.264,98.246
60,95.165,95.614
100,97.363,95.614
150,97.143,95.614
200,95.385,93.860
10,92.527,91.228
30,96.923,94.737
60,95.824,97.368
100,96.264,95.614
150,95.604,95.614
200,96.703,95.614
10,92.527,88.596
30,96.484,95.614
60,96.484,95.614
100,96.484,97.368
150,95.165,93.860
200,96.264,92.105
10,95.604,93.860
30,95.385,90.351
60,96.703,96.491
100,97.143,96.491
150,95.165,98.246
200,95.604,93.860
10,96.264,97.368
30,96.264,94.737
60,96.923,94.737
100,95.604,97.368
150,96.923,97.368
200,94.945,92.982
10,93.187,91.228
30,96.484,93.860
60,96.044,96.491
100,96.044,95.614
150,97.363,94.737
200,94.945,97.368
10,94.286,93.860
30,96.044,94.737
60,96.703,95.614
100,96.703,96.491
150,96.484,95.614
200,95.824,98.246
