Cooling,TrainingAccuracy,TestAccuracy
0.99,69.451,77.193
0.98,90.330,88.596
0.97,96.484,93.860
0.95,95.165,95.614
0.93,95.604,92.105
0.9,98.462,98.246
0.85,98.022,96.491
0.8,96.484,98.246
0.99,43.956,51.754
0.98,92.527,88.596
0.97,95.604,94.737
0.95,95.824,96.491
0.93,98.462,99.123
0.9,95.604,94.737
0.85,98.242,97.368
0.8,96.703,97.368
0.99,91.429,87.719
0.98,95.385,92.982
0.97,95.604,97.368
0.95,94.505,92.105
0.93,96.264,97.368
0.9,98.022,96.491
0.85,97.363,96.491
0.8,97.143,97.368
0.99,83.077,82.456
0.98,92.747,91.228
0.97,89.890,85.088
0.95,98.022,92.982
0.93,95.604,96.491
0.9,96.264,93.860
0.85,98.681,97.368
0.8,98.022,99.123
0.99,25.055,16.667
0.98,93.846,86.842
0.97,95.165,95.614
0.95,95.824,95.614
0.93,95.165,89.474
0.9,98.242,97.368
0.85,95.165,94.737
0.8,98.681,96.491
0.99,55.604,57.018
0.98,94.725,96.491
0.97,97.363,95.614
0.95,94.945,92.982
0.93,93.626,95.614
0.9,97.582,97.368
0.85,98.022,95.614
0.8,98.901,99.123
0.99,50.989,50.000
0.98,82.418,85.088
0.97,96.484,91.228
0.95,90.769,89.474
0.93,91.648,88.596
0.9,95.385,93.860
0.85,97.143,97.368
0.8,98.462,97.368
0.99,63.297,62.281
0.98,96.703,95.614
0.97,89.231,83.333
0.95,95.824,95.614
0.93,96.923,95.614
0.9,98.462,97.368
0.85,97.802,98.246
0.8,96.703,97.368
0.99,82.637,85.965
0.98,96.264,96.491
0.97,77.582,75.439
0.95,94.945,91.228
0.93,96.923,95.614
0.9,98.901,96.491
0.85,97.802,96.491
0.8,97.143,97.368
0.99,80.659,85.965
0.98,96.044,96.491
0.97,96.484,96.491
0.95,96.703,98.246
0.93,96.923,93.860
0.9,95.385,96.491
0.85,97.802,96.491
0.8,97.802,98.246
