Iteration,RHC,SA,GA
0,73.154,77.737,45.952
1,72.231,77.684,43.678
2,72.671,76.228,60.159
3,72.264,76.237,28.950
4,72.232,76.232,17.199
5,73.002,75.346,26.106
6,72.281,75.967,19.316
7,71.073,76.376,13.230
8,71.105,76.137,24.904
9,70.971,76.062,25.048
10,69.381,73.964,17.555
11,69.408,73.494,9.234
12,67.831,73.580,8.077
13,67.467,72.777,12.242
14,67.745,72.069,9.482
15,67.563,70.614,9.079
16,66.602,72.598,11.181
17,66.158,72.613,7.340
18,66.578,72.758,9.160
19,67.028,74.081,7.029
20,66.977,74.588,8.262
21,65.840,74.680,14.428
22,66.916,74.612,14.590
23,64.586,74.183,13.243
24,64.574,74.194,12.997
25,64.887,75.629,14.912
26,64.568,75.415,8.969
27,64.531,74.199,5.960
28,65.144,74.143,9.511
29,64.075,74.173,7.246
30,64.438,74.034,6.976
31,63.888,73.799,8.818
32,64.776,73.814,8.709
33,63.872,74.384,9.431
34,64.545,72.389,8.844
35,65.515,73.171,7.661
36,63.292,69.567,9.522
37,63.325,68.170,7.585
38,63.315,68.144,7.221
39,63.083,68.227,5.441
40,63.083,68.743,7.058
41,63.101,69.412,6.215
42,63.186,70.569,9.025
43,61.072,71.221,5.030
44,60.742,71.296,6.313
45,61.238,71.910,7.598
46,60.737,72.680,4.495
47,60.986,72.004,6.301
48,60.739,72.219,7.853
49,61.322,71.668,5.401
50,58.984,71.824,7.746
51,58.981,74.710,6.734
52,58.677,71.758,7.557
53,58.422,71.618,4.754
54,58.442,73.775,5.455
55,58.473,71.659,6.933
56,58.559,71.155,6.806
57,59.228,71.118,4.407
58,58.449,71.080,7.161
59,66.161,70.323,5.883
60,58.779,69.934,5.746
61,58.120,69.924,4.531
62,57.881,70.464,3.896
63,57.179,69.678,4.645
64,57.529,69.670,4.176
65,57.127,69.363,4.713
66,57.628,69.068,7.331
67,57.321,71.711,5.244
68,57.122,69.320,5.227
69,57.178,68.301,4.553
70,57.186,68.301,3.816
71,57.585,69.667,6.445
72,57.657,68.902,3.662
73,56.907,69.487,5.340
74,56.707,68.323,4.645
75,56.528,69.217,4.738
76,58.314,67.680,4.087
77,56.658,67.762,6.023
78,55.730,67.723,4.583
79,54.882,67.650,4.074
80,54.849,67.038,4.332
81,54.482,66.774,5.585
82,55.168,66.899,4.515
83,54.529,66.794,4.542
84,54.469,65.991,4.171
85,54.244,65.743,5.176
86,54.250,65.739,4.235
87,55.195,66.051,4.198
88,54.233,65.673,5.030
89,54.312,66.383,5.942
90,53.779,65.673,4.650
91,54.231,65.604,5.482
92,53.113,65.571,6.602
93,53.532,65.608,4.146
94,53.001,65.163,3.898
95,53.209,65.125,3.921
96,53.521,64.926,3.894
97,52.985,65.246,4.509
98,52.828,64.917,4.020
99,50.890,68.071,4.454
100,50.730,64.549,4.292
101,49.213,65.435,4.344
102,48.436,63.835,5.250
103,48.391,66.489,4.132
104,47.614,63.997,4.778
105,50.305,64.209,4.853
106,47.699,63.103,4.170
107,47.343,63.108,4.795
108,47.902,63.355,4.046
109,47.302,63.124,4.863
110,47.609,63.083,4.084
111,47.590,63.182,4.852
112,47.462,63.113,3.962
113,47.266,62.580,3.668
114,47.257,63.123,4.446
115,47.246,62.441,5.021
116,46.937,62.491,4.135
117,47.254,63.457,4.270
118,45.399,62.437,5.097
119,45.339,62.379,3.423
120,45.273,62.171,4.062
121,45.134,61.542,4.725
122,45.159,61.542,3.598
123,44.676,63.588,4.216
124,44.783,62.049,4.414
125,44.793,61.694,4.162
126,44.574,61.233,3.791
127,44.090,59.525,4.389
128,44.226,59.407,3.367
129,44.871,59.983,3.941
130,45.100,59.407,3.478
131,42.389,59.411,3.692
132,42.896,59.524,3.318
133,43.007,59.511,3.996
134,43.782,59.572,3.286
135,42.362,58.927,3.875
136,42.407,59.042,3.558
137,42.375,58.943,4.142
138,42.414,59.014,3.809
139,40.622,59.123,3.378
140,39.359,59.158,3.890
141,39.473,59.910,3.382
142,39.597,59.401,4.325
143,39.149,59.540,3.539
144,38.263,58.851,3.881
145,38.205,56.981,3.732
146,38.201,57.173,3.877
147,38.248,56.486,3.978
148,38.312,56.530,3.319
149,33.473,56.484,3.185
150,35.908,57.022,3.216
151,32.570,56.478,4.611
152,32.902,56.078,3.207
153,33.011,56.179,4.283
154,30.786,56.100,3.498
155,30.778,56.078,3.408
156,31.038,56.129,4.190
157,30.726,56.052,3.217
158,30.046,56.313,3.014
159,29.932,55.986,3.480
160,29.834,56.081,3.366
161,29.707,53.550,3.510
162,29.533,53.880,3.095
163,29.802,54.076,3.072
164,29.147,53.469,2.943
165,29.072,54.061,3.063
166,29.014,55.443,3.327
167,28.004,53.469,2.630
168,27.937,53.494,3.730
169,27.993,53.058,3.846
170,27.905,53.248,3.356
171,28.256,52.658,2.708
172,27.899,52.479,3.687
173,27.338,52.479,3.763
174,26.836,51.419,3.471
175,26.990,52.019,3.527
176,26.345,51.847,4.548
177,26.537,51.419,3.137
178,26.349,51.448,3.040
179,27.499,49.811,3.368
180,25.002,49.461,3.739
181,24.913,49.620,2.923
182,25.166,49.341,3.055
183,25.031,49.388,3.029
184,24.752,49.333,3.320
185,24.135,50.481,2.816
186,24.127,51.097,3.481
187,24.503,49.421,2.899
188,24.402,49.264,2.891
189,24.268,49.315,3.201
190,24.166,48.705,3.427
191,24.333,48.811,3.260
192,24.375,48.672,2.981
193,23.793,48.432,2.861
194,23.599,48.579,3.227
195,23.837,48.468,2.856
196,23.618,48.979,3.119
197,23.660,48.383,2.931
198,23.575,48.707,2.757
199,23.496,47.530,2.743
200,23.341,49.410,2.919
201,23.761,48.094,2.687
202,23.341,47.410,3.389
203,23.395,47.410,2.992
204,23.275,47.634,3.366
205,23.490,47.338,3.098
206,23.577,47.791,3.059
207,23.328,47.043,3.097
208,23.300,46.759,3.296
209,23.279,47.427,2.579
210,23.104,42.409,2.815
211,23.470,42.450,2.946
212,23.191,42.328,2.799
213,22.627,42.486,3.036
214,22.542,42.447,2.985
215,22.962,42.341,4.214
216,22.462,42.248,2.978
217,22.706,42.365,2.883
218,22.496,42.419,2.756
219,22.462,42.653,3.658
220,22.639,42.267,2.830
221,21.709,41.747,2.858
222,21.686,41.925,2.950
223,21.580,41.822,2.960
224,21.491,40.681,2.810
225,21.483,40.628,3.384
226,21.560,40.577,2.966
227,22.045,40.945,2.942
228,21.700,39.675,2.941
229,21.482,40.442,2.695
230,21.705,39.696,3.180
231,21.582,39.857,2.483
232,21.552,39.544,2.643
233,21.433,41.159,2.795
234,21.431,38.865,2.523
235,21.573,38.923,2.609
236,21.166,39.009,3.084
237,21.166,38.881,2.696
238,21.950,40.523,2.937
239,21.926,38.883,3.156
240,20.817,38.876,3.078
241,20.796,38.868,2.986
242,20.836,39.125,2.889
243,20.698,38.935,2.924
244,20.199,38.301,3.170
245,20.088,38.411,2.739
246,19.851,37.732,2.682
247,19.550,37.709,2.589
248,19.535,37.710,2.928
249,18.723,37.790,2.583
250,18.744,37.632,2.913
251,19.938,37.640,2.367
252,18.849,37.632,2.959
253,19.069,37.664,2.792
254,18.825,37.644,2.793
255,18.701,36.799,3.383
256,18.185,36.819,2.941
257,18.051,36.991,3.482
258,18.048,36.901,2.600
259,18.765,36.396,2.898
260,17.805,36.577,2.652
261,17.750,35.824,2.953
262,17.757,35.331,2.351
263,17.871,35.355,2.871
264,17.751,35.410,2.797
265,17.732,35.468,2.710
266,17.693,35.693,2.662
267,17.882,35.229,2.698
268,17.671,35.241,3.463
269,17.375,35.277,2.641
270,17.505,35.178,3.181
271,17.239,35.725,2.594
272,17.207,35.058,2.953
273,17.208,35.063,2.992
274,17.477,34.541,2.887
275,17.185,34.541,2.758
276,16.974,34.782,2.474
277,17.122,34.648,2.740
278,17.067,34.537,2.748
279,16.816,34.528,2.744
280,16.740,34.523,2.694
281,16.632,34.564,2.717
282,16.161,34.775,2.998
283,16.567,35.539,2.497
284,16.186,34.853,2.705
285,16.138,34.424,2.647
286,15.875,35.176,2.421
287,15.892,34.407,2.733
288,16.039,34.438,2.490
289,15.940,34.418,2.603
290,15.881,34.288,2.617
291,16.481,34.814,3.168
292,16.460,32.068,2.636
293,15.312,32.088,2.675
294,15.267,30.757,2.548
295,15.284,30.862,2.703
296,15.262,30.614,2.359
297,15.262,30.706,2.695
298,15.298,30.678,2.560
299,15.308,30.669,2.515
300,15.023,30.537,2.624
301,15.045,30.331,2.620
302,15.023,30.318,2.383
303,15.047,31.216,2.574
304,14.919,29.685,2.769
305,14.942,29.568,2.702
306,14.913,29.952,2.500
307,15.090,29.576,2.407
308,14.958,29.639,2.750
309,15.627,29.360,2.590
310,14.913,29.343,2.498
311,14.912,29.290,2.365
312,15.257,29.476,2.509
313,15.160,29.264,2.692
314,15.131,29.176,2.102
315,14.912,29.258,2.373
316,14.881,29.658,2.594
317,14.571,29.150,2.409
318,14.574,29.056,2.465
319,14.478,29.068,2.421
320,14.725,29.121,2.499
321,14.846,29.414,2.485
322,14.589,28.976,2.622
323,14.464,29.111,2.399
324,14.354,29.073,2.638
325,12.953,29.071,2.512
326,13.135,28.983,2.315
327,12.964,28.981,2.445
328,12.778,30.097,2.562
329,12.586,28.926,2.310
330,12.627,29.236,2.366
331,12.630,28.877,2.415
332,12.579,28.100,2.480
333,12.573,27.942,2.413
334,12.919,27.802,2.506
335,12.901,27.790,2.694
336,12.553,28.299,2.605
337,12.645,27.591,2.319
338,12.615,27.583,2.468
339,12.553,27.639,2.639
340,12.692,27.573,2.434
341,12.602,28.344,2.453
342,12.533,27.409,2.372
343,12.566,27.548,2.692
344,12.530,27.315,2.469
345,12.956,27.343,2.500
346,12.531,27.345,2.216
347,12.518,27.475,2.407
348,12.517,27.227,2.259
349,12.518,26.567,2.484
350,12.311,26.749,2.361
351,12.390,26.450,2.430
352,12.301,26.234,2.592
353,12.319,26.277,2.389
354,11.993,26.387,2.300
355,12.430,26.356,2.388
356,11.980,26.476,2.312
357,12.270,25.774,2.271
358,12.035,25.469,2.227
359,11.954,25.470,2.332
360,11.833,25.455,2.441
361,11.955,25.976,2.211
362,11.847,25.593,2.338
363,11.926,25.447,2.474
364,12.276,25.216,2.266
365,11.567,24.830,2.168
366,11.577,24.565,2.222
367,11.828,24.684,2.103
368,11.598,24.619,2.175
369,11.601,24.548,2.263
370,11.563,24.552,2.455
371,11.579,24.562,2.139
372,11.566,26.579,2.501
373,11.511,24.773,2.258
374,12.000,24.153,2.369
375,11.514,24.093,2.260
376,11.520,23.780,2.322
377,11.511,23.641,2.090
378,11.473,23.691,2.130
379,11.570,23.551,2.217
380,11.313,23.569,2.281
381,11.322,23.551,2.258
382,11.323,23.535,2.178
383,11.223,23.422,2.459
384,11.314,23.437,2.275
385,11.223,22.763,2.232
386,11.695,22.940,2.405
387,11.233,22.666,2.058
388,11.216,22.728,2.010
389,11.216,22.657,2.378
390,11.257,22.629,2.294
391,11.161,22.593,2.239
392,11.264,22.844,2.099
393,11.156,22.478,2.117
394,11.156,22.515,2.160
395,11.158,22.490,2.248
396,11.535,22.680,2.246
397,11.201,22.699,2.408
398,11.139,22.309,2.357
399,11.138,22.311,2.029
400,11.210,22.297,1.961
401,11.134,22.507,2.316
402,11.281,22.113,2.276
403,11.168,22.265,2.146
404,11.151,22.160,2.181
405,11.262,22.095,2.836
406,11.201,22.199,2.012
407,10.888,22.036,2.125
408,10.904,21.409,2.279
409,10.893,21.397,2.151
410,10.918,20.770,2.077
411,10.540,20.724,2.258
412,10.470,19.195,2.295
413,10.623,19.225,2.195
414,10.446,19.134,2.207
415,10.446,19.029,2.118
416,10.330,19.064,2.313
417,10.237,19.115,2.544
418,10.243,19.127,2.290
419,10.209,19.107,2.482
420,10.196,19.101,2.110
421,10.196,18.995,2.184
422,10.176,18.957,2.172
423,10.091,18.902,2.088
424,10.077,18.900,2.276
425,10.090,18.863,2.164
426,10.048,18.749,2.076
427,10.054,18.674,2.158
428,10.048,18.637,2.358
429,10.059,18.625,2.249
430,10.042,18.702,2.113
431,9.984,18.517,2.022
432,10.003,18.528,2.082
433,10.003,19.034,2.006
434,10.061,18.561,2.059
435,10.233,18.458,1.992
436,9.986,18.467,2.213
437,10.102,18.504,2.072
438,9.919,18.465,2.240
439,9.762,18.415,2.191
440,9.764,18.613,2.074
441,9.898,18.419,2.077
442,9.742,18.372,2.272
443,9.749,18.351,2.251
444,9.707,18.562,2.350
445,9.664,18.480,2.227
446,9.779,18.350,2.274
447,9.669,18.545,2.196
448,9.687,18.355,2.169
449,9.692,18.370,2.214
450,9.665,18.288,2.089
451,9.714,18.464,2.242
452,9.673,18.970,2.399
453,9.630,18.135,2.147
454,9.702,18.199,2.237
455,9.629,18.363,2.180
456,9.627,18.145,2.235
457,9.626,18.166,2.310
458,9.841,18.137,2.126
459,9.599,18.032,2.300
460,9.599,17.665,2.114
461,9.602,16.857,2.194
462,9.628,16.916,2.262
463,9.497,16.713,2.516
464,9.720,16.855,2.219
465,9.554,16.741,2.120
466,9.505,16.732,2.140
467,9.508,17.308,2.161
468,9.495,16.705,2.395
469,9.515,16.728,2.001
470,9.343,16.680,2.168
471,9.333,16.493,2.145
472,9.391,16.485,2.114
473,9.281,16.519,2.124
474,9.475,15.962,2.102
475,9.289,15.753,2.292
476,9.264,15.789,2.351
477,9.319,14.701,2.208
478,9.250,14.639,2.351
479,9.154,14.410,2.116
480,9.154,14.708,2.045
481,9.114,15.121,2.002
482,9.122,14.548,2.089
483,9.109,14.395,2.177
484,9.115,14.211,2.106
485,9.006,14.306,2.161
486,9.041,13.652,2.112
487,10.556,13.626,2.088
488,9.138,14.024,2.239
489,8.989,13.585,2.057
490,8.967,13.574,2.196
491,8.962,13.637,2.147
492,8.973,13.636,2.142
493,8.963,13.941,2.091
494,8.905,13.501,2.117
495,8.869,13.163,2.220
496,8.831,13.101,1.961
497,8.826,13.101,1.981
498,8.825,12.958,2.117
499,8.882,12.958,2.048
500,8.821,12.953,2.131
501,8.914,12.968,2.089
502,8.821,12.956,2.060
503,8.673,12.874,2.014
504,8.579,12.806,2.149
505,8.540,12.868,1.950
506,8.490,12.805,2.084
507,8.486,12.796,1.953
508,8.508,13.077,2.175
509,8.611,12.829,2.360
510,8.776,12.766,2.191
511,8.475,12.887,2.061
512,8.505,12.766,2.150
513,8.506,12.655,2.041
514,8.472,12.652,2.003
515,8.477,12.791,2.067
516,8.525,12.649,1.984
517,8.455,12.630,2.268
518,8.466,12.704,2.095
519,8.439,12.340,2.082
520,8.440,12.333,2.060
521,8.584,12.319,2.040
522,8.551,12.169,2.022
523,8.409,12.169,2.060
524,8.454,12.204,2.226
525,8.405,12.058,2.059
526,8.478,11.861,2.197
527,8.429,11.942,2.110
528,8.380,11.893,2.186
529,8.379,11.859,1.979
530,8.381,11.512,1.993
531,8.373,11.493,1.967
532,8.368,11.271,1.998
533,8.368,11.271,1.851
534,8.362,11.269,1.907
535,8.353,11.366,1.963
536,8.242,11.543,2.013
537,8.247,11.283,1.982
538,8.248,11.108,2.198
539,8.261,11.101,2.064
540,8.205,10.940,2.021
541,8.214,10.961,2.100
542,8.173,10.940,1.955
543,8.128,10.892,2.075
544,8.256,10.999,1.997
545,8.134,10.772,2.047
546,8.125,10.773,2.039
547,8.110,10.779,1.935
548,8.104,10.807,1.887
549,8.031,10.641,2.122
550,8.001,10.640,1.971
551,8.018,10.333,2.113
552,8.000,10.328,1.963
553,8.124,10.284,1.892
554,7.995,10.283,1.981
555,8.063,10.304,2.012
556,8.012,10.262,2.033
557,7.999,10.229,2.005
558,8.000,11.823,1.954
559,7.978,10.229,1.966
560,7.916,10.218,1.984
561,7.918,10.213,1.947
562,7.865,10.298,1.967
