Iteration,RHC,SA,GA
0,38.811,59.801,87.621
1,39.042,60.468,38.186
2,39.097,60.522,58.009
3,39.001,60.518,57.899
4,38.811,60.449,36.205
5,38.811,60.334,53.458
6,38.598,59.775,37.146
7,38.842,59.733,95.125
8,38.602,59.723,37.742
9,38.561,60.101,25.485
10,38.561,61.145,25.555
11,38.593,61.222,30.668
12,39.380,59.384,31.279
13,38.561,59.858,42.431
14,37.651,59.749,48.316
15,38.026,59.697,27.774
16,37.700,59.697,20.293
17,37.511,59.452,31.643
18,37.687,59.994,34.057
19,36.880,57.898,23.111
20,46.946,59.481,16.780
21,36.551,58.484,29.094
22,36.367,59.251,45.370
23,37.395,58.309,19.021
24,35.777,57.404,18.736
25,35.777,57.559,17.193
26,35.774,57.233,23.793
27,35.842,59.653,23.743
28,35.745,59.653,16.969
29,37.792,59.623,15.098
30,35.695,61.720,15.643
31,35.786,60.577,52.118
32,35.644,60.587,17.061
33,35.644,61.455,10.764
34,33.085,59.432,19.754
35,34.064,59.042,20.661
36,33.471,58.682,17.336
37,33.021,58.447,17.336
38,33.006,59.969,12.237
39,32.978,62.828,12.839
40,32.978,62.384,23.178
41,32.957,62.785,12.395
42,32.957,62.777,13.101
43,32.615,62.777,8.582
44,32.570,62.477,14.669
45,32.453,62.485,11.916
46,32.109,62.035,8.656
47,31.995,62.726,11.068
48,31.995,63.328,7.203
49,32.718,62.442,8.204
50,32.517,62.632,9.583
51,31.995,61.303,8.786
52,32.077,61.174,9.787
53,31.976,60.328,8.596
54,31.259,59.296,5.740
55,31.396,58.392,6.956
56,31.331,60.540,6.302
57,31.151,59.390,8.556
58,30.696,59.685,7.804
59,30.088,58.396,6.780
60,30.088,59.600,5.785
61,29.478,58.120,6.026
62,28.424,56.713,8.161
63,28.586,56.037,6.359
64,28.649,55.404,6.640
65,28.558,55.405,5.498
66,28.428,56.351,7.800
67,28.417,55.564,7.287
68,28.543,54.693,6.066
69,28.612,54.703,7.126
70,28.427,54.624,6.900
71,29.316,54.504,6.491
72,28.171,54.542,5.410
73,28.171,55.724,7.247
74,28.100,53.676,5.663
75,27.979,53.679,6.061
76,27.939,53.667,6.064
77,27.943,53.619,5.946
78,28.850,53.622,5.768
79,27.231,51.909,7.352
80,27.221,52.254,6.322
81,26.948,52.987,6.554
82,27.318,51.919,5.100
83,26.909,52.137,7.742
84,26.923,52.090,5.872
85,26.909,50.863,5.129
86,26.958,49.645,4.462
87,28.283,49.944,5.837
88,26.324,49.555,5.837
89,26.630,49.708,6.190
90,26.281,49.278,5.009
91,26.281,50.191,5.688
92,26.282,48.558,7.661
93,26.570,48.558,5.766
94,26.971,48.221,5.466
95,26.652,48.195,4.585
96,26.289,48.173,5.614
97,26.281,48.156,5.792
98,28.072,48.156,4.036
99,26.614,51.130,6.130
100,26.281,48.164,5.815
101,26.281,47.064,5.517
102,26.109,48.630,4.703
103,27.249,46.523,5.153
104,25.476,45.877,5.186
105,25.476,46.189,4.747
106,26.506,45.760,5.375
107,25.737,45.760,4.387
108,25.137,45.298,4.366
109,25.138,45.325,4.153
110,24.743,47.096,4.595
111,24.378,45.359,5.562
112,24.321,45.282,4.308
113,24.463,45.611,4.598
114,24.362,45.404,5.653
115,24.230,44.989,5.347
116,24.233,45.589,4.711
117,24.935,44.779,4.366
118,25.335,44.779,5.349
119,23.634,44.785,4.636
120,24.267,44.524,4.178
121,23.634,43.628,5.345
122,25.470,42.736,4.301
123,23.292,43.315,4.557
124,23.453,44.701,4.265
125,23.292,42.888,4.754
126,22.994,42.821,4.412
127,22.989,42.736,4.903
128,22.774,43.832,4.644
129,23.050,42.633,3.883
130,22.783,42.222,4.028
131,23.403,42.848,4.292
132,22.769,42.222,4.544
133,22.769,42.507,4.753
134,22.921,41.441,5.431
135,22.935,41.441,4.532
136,22.625,41.957,4.501
137,22.604,42.661,5.290
138,22.604,41.375,4.408
139,22.604,41.376,4.367
140,22.661,41.243,3.881
141,22.607,40.769,4.056
142,22.586,40.769,3.986
143,22.608,41.290,5.001
144,22.975,40.261,4.672
145,23.127,41.933,4.537
146,22.586,40.248,4.212
147,22.565,41.040,4.080
148,22.576,40.248,3.995
149,22.676,39.801,3.463
150,22.344,39.801,3.567
151,22.333,39.774,4.249
152,22.532,40.611,3.972
153,22.331,39.774,3.400
154,23.065,38.361,4.210
155,22.387,38.584,3.846
156,22.331,38.967,3.828
157,22.331,39.272,4.131
