Iteration,SA_T1000.0,SA_T10000.0,SA_T100000.0,SA_T1000000.0,SA_T1.0E7,SA_T1.0E8,SA_T1.0E9,SA_T1.0E10,SA_T1.0E11
0,44.793,38.924,94.020,53.593,90.371,29.953,61.201,89.002,68.445
1,45.717,39.309,89.203,54.378,90.549,30.024,62.646,89.669,72.978
2,45.714,39.276,89.391,53.978,92.265,30.022,64.604,89.702,71.393
3,43.497,39.271,89.048,54.095,92.434,30.647,64.492,89.722,71.724
4,42.772,40.270,89.443,54.239,92.438,30.701,64.608,90.819,71.031
5,42.928,40.147,89.512,54.079,92.559,30.700,64.223,90.264,70.770
6,42.901,40.141,89.446,54.193,92.284,30.149,64.281,90.672,69.247
7,42.864,40.048,88.789,54.636,93.032,30.150,63.871,90.987,69.231
8,42.890,40.068,88.299,53.970,93.091,30.382,63.582,90.846,69.283
9,42.813,39.955,88.364,54.481,94.203,30.430,64.217,88.937,69.313
10,42.797,38.484,89.275,53.943,94.163,29.824,64.056,88.874,68.193
11,42.792,38.484,89.236,53.928,96.353,29.708,64.161,90.316,68.222
12,42.728,38.483,90.115,54.844,96.360,29.685,65.042,91.602,68.565
13,42.895,40.035,90.327,54.960,96.275,29.610,64.558,91.444,68.922
14,42.642,39.968,90.049,54.419,96.258,29.692,64.631,90.590,71.605
15,41.877,39.973,90.138,54.433,95.994,29.844,64.675,90.275,71.631
16,41.875,39.727,89.931,54.453,95.996,30.067,63.200,90.400,71.624
17,41.077,42.321,89.267,54.281,94.762,29.376,63.902,91.014,71.624
18,42.042,41.026,90.873,54.190,94.820,29.873,63.891,90.987,73.152
19,41.458,40.929,90.462,54.932,94.506,29.904,63.868,90.914,73.818
20,41.201,41.069,90.586,54.959,94.507,29.906,63.470,90.913,73.822
21,41.394,40.385,90.637,54.959,94.315,29.969,63.608,90.938,73.428
22,41.464,40.396,90.684,57.078,93.665,29.846,63.907,90.655,73.700
23,41.053,39.083,89.844,57.035,94.191,29.672,63.004,90.607,73.644
24,41.637,38.601,91.414,56.968,92.751,31.003,63.622,90.524,73.930
25,41.793,38.734,91.411,56.635,92.722,30.762,63.622,90.631,73.940
26,40.561,38.823,91.032,56.758,92.897,30.901,64.266,90.012,74.593
27,40.552,38.884,90.767,56.840,93.122,30.790,64.772,93.236,74.517
28,40.614,41.418,90.819,56.152,93.118,30.941,64.514,93.002,75.238
29,40.591,40.954,90.577,56.131,94.554,30.870,64.366,93.020,75.641
30,40.559,40.873,89.797,57.027,94.388,30.623,64.439,93.890,75.233
31,40.617,40.597,89.865,57.027,95.068,31.152,65.470,93.995,75.034
32,39.232,41.615,88.441,57.955,95.330,31.001,65.973,93.992,76.084
33,40.064,41.969,89.843,58.739,95.434,31.066,67.514,92.707,76.111
