Algorithm,Iteration,N,Evaluation,TrainingTime
RHC,10,100,100.0,1.9040057E7
SA,10,100,100.0,1.1017822E7
GA,10,100,56.0,1.7328405E7
MIMIC,10,100,80.0,3.21426996E8
RHC,10,200,190.0,1788452.0
SA,10,200,187.0,2420573.0
GA,10,200,119.0,3213778.0
MIMIC,10,200,148.0,4.08119436E8
RHC,10,300,267.0,1977892.0
SA,10,300,268.0,2079503.0
GA,10,300,170.0,3174394.0
MIMIC,10,300,208.0,6.44090666E8
RHC,10,400,346.0,1774273.0
SA,10,400,347.0,2044057.0
GA,10,400,216.0,3216140.0
MIMIC,10,400,275.0,1.110215638E9
RHC,10,500,402.0,2311872.0
SA,10,500,397.0,2704536.0
GA,10,500,279.0,4833664.0
MIMIC,10,500,330.0,1.685538946E9
RHC,10,600,464.0,1906212.0
SA,10,600,473.0,2055873.0
GA,10,600,314.0,3319723.0
MIMIC,10,600,378.0,2.12794931E9
RHC,10,700,513.0,2165361.0
SA,10,700,521.0,2786456.0
GA,10,700,365.0,3826601.0
MIMIC,10,700,447.0,2.640273911E9
RHC,30,100,100.0,952318.0
SA,30,100,100.0,1534027.0
GA,30,100,61.0,1573412.0
MIMIC,30,100,85.0,1.12650784E8
RHC,30,200,200.0,1803811.0
SA,30,200,200.0,2407576.0
GA,30,200,118.0,2832142.0
MIMIC,30,200,167.0,4.3775275E8
RHC,30,300,300.0,3114922.0
SA,30,300,299.0,3725383.0
GA,30,300,166.0,4348446.0
MIMIC,30,300,229.0,1.256588638E9
RHC,30,400,394.0,6192429.0
SA,30,400,393.0,7322372.0
GA,30,400,205.0,9926477.0
MIMIC,30,400,299.0,2.401829726E9
RHC,30,500,489.0,5079029.0
SA,30,500,487.0,5559520.0
GA,30,500,276.0,7254630.0
MIMIC,30,500,365.0,4.143497929E9
RHC,30,600,572.0,6647321.0
SA,30,600,578.0,1.0900456E7
GA,30,600,316.0,1.0119461E7
MIMIC,30,600,427.0,5.454696762E9
RHC,30,700,655.0,6267260.0
SA,30,700,660.0,1.0746069E7
GA,30,700,380.0,2.1156188E7
MIMIC,30,700,492.0,7.342846272E9
RHC,60,100,100.0,2209866.0
SA,60,100,100.0,3358712.0
GA,60,100,55.0,2862861.0
MIMIC,60,100,95.0,2.38932553E8
RHC,60,200,200.0,3912460.0
SA,60,200,200.0,5430339.0
GA,60,200,108.0,5452788.0
MIMIC,60,200,181.0,8.6367872E8
RHC,60,300,300.0,5422856.0
SA,60,300,300.0,6301525.0
GA,60,300,155.0,6886779.0
MIMIC,60,300,256.0,1.811558808E9
RHC,60,400,400.0,7305043.0
SA,60,400,400.0,1.9099528E7
GA,60,400,207.0,2.247045E7
MIMIC,60,400,335.0,4.442895188E9
RHC,60,500,500.0,8134481.0
SA,60,500,497.0,8802442.0
GA,60,500,259.0,1.0924875E7
