Algorithm,Iteration,N,Evaluation,TrainingTime
RHC,10,20,10.0,5997082.0
SA,10,20,1.0,2227195.0
GA,10,20,31.0,1.6169712E7
MIMIC,10,20,32.0,1.00018983E8
RHC,10,40,14.0,235913.0
SA,10,40,1.0,300111.0
GA,10,40,17.0,4151917.0
MIMIC,10,40,7.0,1.19635236E8
RHC,10,60,2.0,224098.0
SA,10,60,4.0,181563.0
GA,10,60,18.0,4834845.0
MIMIC,10,60,12.0,1.45213913E8
RHC,10,80,3.0,152418.0
SA,10,80,9.0,178412.0
GA,10,80,12.0,4172003.0
MIMIC,10,80,11.0,1.74429751E8
RHC,10,100,1.0,87040.0
SA,10,100,0.0,105945.0
GA,10,100,7.0,3717112.0
MIMIC,10,100,13.0,1.95460303E8
RHC,10,120,6.0,108701.0
SA,10,120,2.0,116578.0
GA,10,120,19.0,3362651.0
MIMIC,10,120,16.0,1.77476539E8
RHC,10,140,1.0,100824.0
SA,10,140,0.0,107520.0
GA,10,140,11.0,3327206.0
MIMIC,10,140,26.0,3.45880851E8
RHC,10,160,1.0,110277.0
SA,10,160,1.0,128788.0
GA,10,160,17.0,6205033.0
MIMIC,10,160,17.0,3.46479101E8
RHC,10,180,1.0,66953.0
SA,10,180,0.0,74437.0
GA,10,180,13.0,3205507.0
MIMIC,10,180,16.0,3.12355164E8
RHC,10,200,12.0,70498.0
SA,10,200,1.0,74437.0
GA,10,200,8.0,2943993.0
MIMIC,10,200,10.0,3.81672724E8
RHC,20,20,3.0,38991.0
SA,20,20,1.0,57895.0
GA,20,20,33.0,2326444.0
MIMIC,20,20,31.0,1.3965754E7
RHC,20,40,3.0,45292.0
SA,20,40,1.0,61834.0
GA,20,40,16.0,1870371.0
MIMIC,20,40,10.0,3.556108E7
RHC,20,60,18.0,58289.0
SA,20,60,2.0,70892.0
GA,20,60,16.0,2025153.0
MIMIC,20,60,7.0,7.0594407E7
RHC,20,80,4.0,63409.0
SA,20,80,4.0,84677.0
GA,20,80,8.0,2339047.0
MIMIC,20,80,14.0,1.16977568E8
RHC,20,100,0.0,75619.0
SA,20,100,0.0,88615.0
GA,20,100,15.0,2593471.0
MIMIC,20,100,19.0,1.66195628E8
RHC,20,120,3.0,79951.0
SA,20,120,0.0,106339.0
GA,20,120,11.0,3085778.0
MIMIC,20,120,19.0,2.29091147E8
RHC,20,140,0.0,94129.0
SA,20,140,1.0,109883.0
GA,20,140,8.0,3200387.0
MIMIC,20,140,9.0,3.21496313E8
RHC,20,160,1.0,94522.0
SA,20,160,2.0,117760.0
GA,20,160,11.0,3572965.0
MIMIC,20,160,15.0,5.65142012E8
RHC,20,180,3.0,157932.0
SA,20,180,0.0,222917.0
GA,20,180,10.0,6041981.0
MIMIC,20,180,16.0,6.03193376E8
RHC,20,200,1.0,137452.0
SA,20,200,2.0,138633.0
GA,20,200,9.0,4163732.0
MIMIC,20,200,30.0,7.12032131E8
RHC,30,20,18.0,99249.0
SA,30,20,0.0,158720.0
GA,30,20,35.0,3595807.0
MIMIC,30,20,33.0,3.5844648E7
RHC,30,40,10.0,97674.0
SA,30,40,3.0,142966.0
GA,30,40,52.0,3646220.0
MIMIC,30,40,52.0,8.3357751E7
RHC,30,60,4.0,109489.0
SA,30,60,1.0,141784.0
GA,30,60,15.0,3782884.0
MIMIC,30,60,24.0,1.35929798E8
RHC,30,80,1.0,107126.0
SA,30,80,3.0,148873.0
GA,30,80,16.0,4069210.0
MIMIC,30,80,27.0,1.91299327E8
RHC,30,100,5.0,107914.0
SA,30,100,1.0,138634.0
GA,30,100,9.0,3834478.0
MIMIC,30,100,14.0,2.36662823E8
RHC,30,120,1.0,118941.0
SA,30,120,1.0,165809.0
GA,30,120,13.0,4087326.0
MIMIC,30,120,20.0,3.18172652E8
RHC,30,140,2.0,116972.0
SA,30,140,2.0,137846.0
GA,30,140,13.0,4459116.0
MIMIC,30,140,16.0,6.35199608E8
RHC,30,160,4.0,172505.0
SA,30,160,0.0,210314.0
GA,30,160,11.0,6765869.0
MIMIC,30,160,30.0,8.11173628E8
RHC,30,180,4.0,181169.0
SA,30,180,1.0,189046.0
GA,30,180,10.0,6051039.0
MIMIC,30,180,11.0,6.9414801E8
RHC,30,200,2.0,139815.0
SA,30,200,1.0,166203.0
GA,30,200,14.0,5862387.0
MIMIC,30,200,17.0,8.46173084E8
RHC,40,20,20.0,454104.0
SA,40,20,1.0,74043.0
GA,40,20,34.0,2483589.0
MIMIC,40,20,33.0,2.4025745E7
RHC,40,40,10.0,141391.0
SA,40,40,0.0,85070.0
GA,40,40,52.0,2744314.0
MIMIC,40,40,60.0,6.2628492E7
RHC,40,60,8.0,124849.0
SA,40,60,1.0,108307.0
GA,40,60,17.0,6663074.0
MIMIC,40,60,22.0,2.54224384E8
RHC,40,80,8.0,193378.0
SA,40,80,0.0,226067.0
GA,40,80,21.0,7349153.0
MIMIC,40,80,11.0,3.01912749E8
RHC,40,100,5.0,135089.0
SA,40,100,3.0,151630.0
GA,40,100,20.0,5430339.0
MIMIC,40,100,24.0,3.10762847E8
RHC,40,120,2.0,149661.0
SA,40,120,0.0,149267.0
GA,40,120,12.0,5325182.0
MIMIC,40,120,13.0,4.23863402E8
RHC,40,140,1.0,283569.0
SA,40,140,1.0,299323.0
GA,40,140,13.0,1.1367951E7
MIMIC,40,140,25.0,9.34328659E8
RHC,40,160,2.0,250091.0
SA,40,160,1.0,270178.0
GA,40,160,17.0,9596828.0
MIMIC,40,160,27.0,1.011655458E9
RHC,40,180,2.0,188258.0
SA,40,180,3.0,203224.0
GA,40,180,10.0,7261720.0
MIMIC,40,180,13.0,8.49888226E8
RHC,40,200,2.0,199286.0
SA,40,200,3.0,208738.0
GA,40,200,11.0,7547257.0
MIMIC,40,200,17.0,1.059874332E9
RHC,50,20,20.0,71680.0
SA,50,20,1.0,180775.0
GA,50,20,35.0,2912092.0
MIMIC,50,20,35.0,6.2766338E7
RHC,50,40,11.0,149661.0
SA,50,40,9.0,529328.0
GA,50,40,52.0,7447221.0
MIMIC,50,40,14.0,1.63916839E8
RHC,50,60,5.0,166990.0
SA,50,60,2.0,333981.0
GA,50,60,12.0,7784746.0
MIMIC,50,60,16.0,3.2194057E8
RHC,50,80,5.0,179593.0
SA,50,80,1.0,270178.0
GA,50,80,19.0,8462553.0
MIMIC,50,80,20.0,3.59518532E8
RHC,50,100,13.0,187471.0
SA,50,100,1.0,217403.0
GA,50,100,18.0,6272380.0
MIMIC,50,100,20.0,6.00496718E8
RHC,50,120,3.0,279630.0
SA,50,120,4.0,384000.0
GA,50,120,8.0,1.2728292E7
MIMIC,50,120,32.0,7.51511972E8
RHC,50,140,10.0,326498.0
SA,50,140,3.0,422596.0
GA,50,140,14.0,1.4017742E7
MIMIC,50,140,16.0,8.33234478E8
RHC,50,160,13.0,218978.0
SA,50,160,2.0,247729.0
GA,50,160,13.0,7919048.0
MIMIC,50,160,18.0,1.112085222E9
RHC,50,180,1.0,207163.0
SA,50,180,0.0,266633.0
GA,50,180,11.0,8334554.0
MIMIC,50,180,8.0,1.545117343E9
RHC,50,200,1.0,229611.0
SA,50,200,2.0,300898.0
GA,50,200,21.0,9300263.0
MIMIC,50,200,28.0,1.548739931E9
RHC,60,20,20.0,64590.0
SA,60,20,27.0,151236.0
GA,60,20,29.0,3419365.0
MIMIC,60,20,35.0,3.4526449E7
RHC,60,40,15.0,78376.0
SA,60,40,1.0,155963.0
GA,60,40,51.0,4071573.0
MIMIC,60,40,63.0,9.2865571E7
RHC,60,60,7.0,104763.0
SA,60,60,2.0,190228.0
GA,60,60,15.0,4746624.0
MIMIC,60,60,15.0,1.78497386E8
RHC,60,80,9.0,132332.0
SA,60,80,2.0,171323.0
GA,60,80,16.0,5550462.0
MIMIC,60,80,15.0,2.87826872E8
RHC,60,100,11.0,157538.0
SA,60,100,5.0,189440.0
GA,60,100,14.0,6493328.0
MIMIC,60,100,14.0,4.20312493E8
RHC,60,120,9.0,180775.0
SA,60,120,2.0,217009.0
GA,60,120,9.0,7663049.0
MIMIC,60,120,15.0,8.3044881E8
RHC,60,140,26.0,231975.0
SA,60,140,6.0,276873.0
GA,60,140,12.0,9672053.0
MIMIC,60,140,23.0,7.72514954E8
RHC,60,160,9.0,239458.0
SA,60,160,4.0,293021.0
GA,60,160,13.0,9377456.0
MIMIC,60,160,28.0,9.66901635E8
RHC,60,180,1.0,252848.0
SA,60,180,7.0,291840.0
GA,60,180,17.0,9898514.0
MIMIC,60,180,20.0,1.463360965E9
RHC,60,200,3.0,325317.0
SA,60,200,2.0,367457.0
GA,60,200,15.0,1.2872046E7
MIMIC,60,200,20.0,1.890676815E9
RHC,10,20,13.0,26388.0
SA,10,20,2.0,40172.0
GA,10,20,32.0,1248095.0
MIMIC,10,20,35.0,1.2894889E7
RHC,10,40,5.0,27176.0
SA,10,40,2.0,42142.0
GA,10,40,51.0,1504096.0
MIMIC,10,40,17.0,3.7030123E7
RHC,10,60,4.0,31114.0
SA,10,60,4.0,42535.0
GA,10,60,15.0,1610827.0
MIMIC,10,60,15.0,6.4348415E7
RHC,10,80,2.0,39778.0
SA,10,80,3.0,50412.0
GA,10,80,16.0,1923540.0
MIMIC,10,80,13.0,9.8433363E7
RHC,10,100,1.0,42142.0
SA,10,100,1.0,48837.0
GA,10,100,12.0,1915270.0
MIMIC,10,100,20.0,1.41709083E8
RHC,10,120,3.0,74831.0
SA,10,120,1.0,81132.0
GA,10,120,14.0,3345322.0
MIMIC,10,120,25.0,2.83529232E8
RHC,10,140,2.0,61046.0
SA,10,140,0.0,68923.0
GA,10,140,13.0,2852228.0
MIMIC,10,140,18.0,2.66128752E8
RHC,10,160,0.0,55926.0
SA,10,160,1.0,61833.0
GA,10,160,9.0,2400093.0
MIMIC,10,160,20.0,3.78363636E8
RHC,10,180,6.0,89403.0
SA,10,180,1.0,104763.0
GA,10,180,11.0,4398070.0
MIMIC,10,180,10.0,4.56869607E8
RHC,10,200,4.0,63409.0
SA,10,200,2.0,70104.0
GA,10,200,9.0,2659243.0
MIMIC,10,200,17.0,5.82762258E8
RHC,20,20,20.0,34264.0
SA,20,20,0.0,53957.0
GA,20,20,34.0,1771910.0
MIMIC,20,20,35.0,1.8072773E7
RHC,20,40,9.0,38990.0
SA,20,40,2.0,61440.0
GA,20,40,55.0,2124007.0
MIMIC,20,40,23.0,4.629809E7
RHC,20,60,11.0,49230.0
SA,20,60,1.0,65379.0
GA,20,60,9.0,2244130.0
MIMIC,20,60,10.0,1.06402822E8
RHC,20,80,7.0,87828.0
SA,20,80,1.0,121304.0
