Algorithm,Iteration,NumberOfPoints,Evaluation,TrainingTime
RHC,10,10,0.29786026312642416,1.3625477E7
SA,10,10,0.20753078295042027,2534790.0
GA,10,10,0.30465303067043975,2.1674497E7
MIMIC,10,10,0.2831010430316542,7.6135053E7
RHC,10,20,0.1586877226664338,543901.0
SA,10,20,0.10614288657342864,595888.0
GA,10,20,0.20754295159845432,1.4805833E7
MIMIC,10,20,0.16744367898914841,9.6340112E7
RHC,10,40,0.07861139448992446,308381.0
SA,10,40,0.04617652584414144,203618.0
GA,10,40,0.10753876928881696,1.4696737E7
MIMIC,10,40,0.07040980465080744,3.38899289E8
RHC,10,60,0.04772523129830093,167384.0
SA,10,60,0.031213645518296407,173686.0
GA,10,60,0.06974601069994651,1.3672739E7
MIMIC,10,60,0.041799886524253684,8.95851902E8
RHC,10,80,0.037401740446327915,228431.0
SA,10,80,0.023565817244461777,235913.0
GA,10,80,0.056937134922058937,1.9873048E7
MIMIC,10,80,0.0341661817797798,2.13337025E9
RHC,30,10,0.35977607472350964,111458.0
SA,30,10,0.19998972516512148,126819.0
GA,30,10,0.3597760747235097,6880874.0
MIMIC,30,10,0.2819336171586244,1.7001127E7
RHC,30,20,0.18365813232057165,164628.0
SA,30,20,0.08998734737605604,152024.0
GA,30,20,0.25423156932476937,1.0691722E7
MIMIC,30,20,0.16258785819925864,8.0981321E7
RHC,30,40,0.08646242888753729,534842.0
SA,30,40,0.054680926745521455,478916.0
GA,30,40,0.1510142777696473,3.7723699E7
MIMIC,30,40,0.10205478442135468,5.65697164E8
RHC,30,60,0.05503486496518071,341464.0
SA,30,60,0.03173843256309708,348553.0
GA,30,60,0.09341464944072432,3.0648659E7
MIMIC,30,60,0.04649060230962381,1.618641021E9
RHC,30,80,0.0416229322418973,373759.0
SA,30,80,0.023493475326829164,386756.0
GA,30,80,0.08268580512816262,3.5943912E7
MIMIC,30,80,0.03925406964325241,4.888187275E9
RHC,60,10,0.29754620510930546,197316.0
SA,60,10,0.18975091194651741,226462.0
GA,60,10,0.31927288896540684,9158482.0
MIMIC,60,10,0.3192728889654068,2.774523E7
RHC,60,20,0.21383533109748273,275692.0
SA,60,20,0.10952925359870945,289870.0
GA,60,20,0.25806412809759627,1.5436379E7
MIMIC,60,20,0.1726378378065813,1.02331289E8
RHC,60,40,0.09394621046402894,405661.0
SA,60,40,0.04155759943642566,415507.0
GA,60,40,0.15660096781132324,3.0944832E7
MIMIC,60,40,0.09176078480418716,6.85718809E8
RHC,60,60,0.07377276028916223,529328.0
SA,60,60,0.03353380074881503,561230.0
