Algorithm,Iteration,Nodes,TrainTest,Evaluation,Time
RHC,10,10,train,27.033,0.093
RHC,10,10,test,23.684,0.004
SA,10,10,train,48.571,0.054
SA,10,10,test,47.368,0.002
GA,10,10,train,94.286,1.127
GA,10,10,test,93.860,0.002
RHC,10,80,train,58.681,0.147
RHC,10,80,test,56.140,0.003
SA,10,80,train,72.967,0.144
SA,10,80,test,68.421,0.003
GA,10,80,train,95.165,7.265
GA,10,80,test,93.860,0.002
RHC,30,10,train,77.802,0.085
RHC,30,10,test,74.561,0.001
SA,30,10,train,46.813,0.087
SA,30,10,test,52.632,0.001
GA,30,10,train,96.484,2.755
GA,30,10,test,94.737,0.001
RHC,30,80,train,37.802,0.384
RHC,30,80,test,32.456,0.002
SA,30,80,train,53.187,0.380
SA,30,80,test,56.140,0.002
GA,30,80,train,96.484,22.637
GA,30,80,test,96.491,0.002
RHC,100,10,train,94.066,0.223
RHC,100,10,test,92.105,0.001
SA,100,10,train,50.989,0.349
SA,100,10,test,57.895,0.001
GA,100,10,train,98.242,10.202
GA,100,10,test,97.368,0.001
RHC,100,80,train,41.758,1.205
RHC,100,80,test,48.246,0.002
SA,100,80,train,81.538,1.211
SA,100,80,test,78.070,0.008
GA,100,80,train,98.462,74.306
GA,100,80,test,97.368,0.002
RHC,300,10,train,93.846,1.061
RHC,300,10,test,91.228,0.001
SA,300,10,train,92.088,0.965
SA,300,10,test,90.351,0.001
GA,300,10,train,98.022,26.978
GA,300,10,test,98.246,0.001
RHC,300,80,train,85.495,4.181
RHC,300,80,test,85.965,0.002
SA,300,80,train,87.033,4.362
SA,300,80,test,86.842,0.004
GA,300,80,train,99.341,221.190
GA,300,80,test,98.246,0.002
RHC,1000,10,train,99.121,2.266
RHC,1000,10,test,98.246,0.001
SA,1000,10,train,98.242,2.759
SA,1000,10,test,97.368,0.001
GA,1000,10,train,98.901,96.049
GA,1000,10,test,97.368,0.001
RHC,1000,80,train,98.681,14.612
RHC,1000,80,test,98.246,0.005
SA,1000,80,train,96.484,16.875
SA,1000,80,test,96.491,0.005
GA,1000,80,train,99.341,767.726
GA,1000,80,test,97.368,0.002
RHC,10,10,train,37.363,0.026
RHC,10,10,test,37.719,0.001
SA,10,10,train,69.890,0.022
SA,10,10,test,62.281,0.001
GA,10,10,train,92.747,1.176
GA,10,10,test,89.474,0.001
RHC,10,80,train,26.374,0.126
RHC,10,80,test,18.421,0.002
SA,10,80,train,41.319,0.126
SA,10,80,test,37.719,0.002
GA,10,80,train,96.044,7.863
GA,10,80,test,96.491,0.002
RHC,30,10,train,86.813,0.094
RHC,30,10,test,85.088,0.001
SA,30,10,train,44.835,0.142
SA,30,10,test,47.368,0.001
GA,30,10,train,98.242,2.870
GA,30,10,test,98.246,0.001
RHC,30,80,train,46.154,0.368
RHC,30,80,test,44.737,0.002
SA,30,80,train,37.363,0.377
SA,30,80,test,28.947,0.002
GA,30,80,train,96.484,22.974
GA,30,80,test,97.368,0.003
RHC,100,10,train,88.571,0.403
RHC,100,10,test,85.965,0.001
SA,100,10,train,82.857,0.410
SA,100,10,test,82.456,0.001
GA,100,10,train,97.582,10.527
GA,100,10,test,98.246,0.001
RHC,100,80,train,52.527,1.953
RHC,100,80,test,54.386,0.003
SA,100,80,train,64.835,1.872
SA,100,80,test,57.895,0.002
GA,100,80,train,98.462,77.934
GA,100,80,test,98.246,0.002
RHC,300,10,train,94.945,1.328
RHC,300,10,test,92.982,0.001
SA,300,10,train,92.527,1.172
SA,300,10,test,89.474,0.001
GA,300,10,train,98.462,28.668
GA,300,10,test,97.368,0.001
RHC,300,80,train,96.484,5.417
RHC,300,80,test,98.246,0.004
SA,300,80,train,85.275,5.022
SA,300,80,test,87.719,0.003
GA,300,80,train,99.341,235.798
GA,300,80,test,97.368,0.002
RHC,1000,10,train,98.901,3.606
RHC,1000,10,test,98.246,0.001
SA,1000,10,train,98.901,3.876
SA,1000,10,test,98.246,0.001
GA,1000,10,train,99.341,101.343
GA,1000,10,test,98.246,0.001
RHC,1000,80,train,97.363,16.734
RHC,1000,80,test,98.246,0.002
SA,1000,80,train,96.264,15.084
SA,1000,80,test,94.737,0.002
GA,1000,80,train,99.341,757.398
GA,1000,80,test,97.368,0.002
RHC,10,10,train,70.769,0.022
RHC,10,10,test,70.175,0.001
SA,10,10,train,18.022,0.022
SA,10,10,test,18.421,0.001
GA,10,10,train,92.088,0.910
GA,10,10,test,88.596,0.001
RHC,10,80,train,63.077,0.125
RHC,10,80,test,64.912,0.002
SA,10,80,train,28.352,0.128
SA,10,80,test,24.561,0.002
GA,10,80,train,97.143,7.542
GA,10,80,test,95.614,0.002
RHC,30,10,train,59.341,0.066
RHC,30,10,test,59.649,0.001
SA,30,10,train,27.033,0.126
SA,30,10,test,34.211,0.001
GA,30,10,train,96.923,4.165
GA,30,10,test,94.737,0.001
RHC,30,80,train,30.110,0.366
RHC,30,80,test,29.825,0.002
SA,30,80,train,57.143,0.661
SA,30,80,test,59.649,0.003
GA,30,80,train,97.143,26.903
GA,30,80,test,95.614,0.002
RHC,100,10,train,81.538,0.454
RHC,100,10,test,81.579,0.001
SA,100,10,train,83.077,0.484
SA,100,10,test,75.439,0.001
GA,100,10,train,98.022,11.054
GA,100,10,test,98.246,0.001
RHC,100,80,train,42.418,2.201
RHC,100,80,test,42.982,0.002
SA,100,80,train,20.659,2.167
SA,100,80,test,28.070,0.003
GA,100,80,train,98.901,87.251
GA,100,80,test,98.246,0.002
RHC,300,10,train,91.429,1.096
