gridWorld,strategy,T,maxIteration,rewards,runningTime
small,valueIteration,0.99,31,-15,5.4032682E8
small,policyIteration,0.99,60,-15,4.34569076E8
large,QLearning,0.99,593,-15,2.4220826E8
small,valueIteration,0.99,31,-16,1.28408584E8
small,policyIteration,0.99,60,-15,2.75564607E8
large,QLearning,0.99,150,-15,5.4333343E7
small,valueIteration,0.99,31,-15,6.2804959E7
small,policyIteration,0.99,60,-15,2.69742389E8
large,QLearning,0.99,148,-15,9.458238E7
small,valueIteration,0.99,31,-15,1.00636178E8
small,policyIteration,0.99,60,-15,2.39901113E8
large,QLearning,0.99,190,-18,9.2821497E7
small,valueIteration,0.99,31,-15,1.04481685E8
small,policyIteration,0.99,60,-20,2.38196156E8
large,QLearning,0.99,215,-15,5.6691297E7
small,valueIteration,0.99,31,-15,6.4122766E7
small,policyIteration,0.99,60,-15,1.48032328E8
large,QLearning,0.99,147,-15,4.9354349E7
small,valueIteration,0.99,31,-15,6.2002697E7
small,policyIteration,0.99,60,-15,2.04439268E8
large,QLearning,0.99,183,-15,6.2002697E7
small,valueIteration,0.99,31,-15,7.2152487E7
small,policyIteration,0.99,60,-15,1.53252356E8
large,QLearning,0.99,244,-15,5.3042713E7
small,valueIteration,0.99,31,-17,6.2065712E7
small,policyIteration,0.99,60,-15,1.6527764E8
large,QLearning,0.99,198,-15,9.0680947E7
small,valueIteration,0.99,31,-15,1.0266015E8
small,policyIteration,0.99,60,-15,2.45508291E8
large,QLearning,0.99,489,-15,1.06752205E8
small,valueIteration,0.99,31,-15,1.08153901E8
small,policyIteration,0.99,60,-15,3.2403753E8
large,QLearning,0.99,187,-16,9.8841818E7
small,valueIteration,0.99,31,-15,1.00169865E8
small,policyIteration,0.99,60,-15,1.95632097E8
large,QLearning,0.99,443,-15,7.3942121E7
small,valueIteration,0.99,31,-15,6.7724089E7
small,policyIteration,0.99,60,-15,1.47122546E8
large,QLearning,0.99,204,-15,5.1449607E7
small,valueIteration,0.99,31,-15,6.0467881E7
small,policyIteration,0.99,60,-15,1.44445184E8
large,QLearning,0.99,493,-15,6.3725771E7
small,valueIteration,0.99,31,-15,6.508178E7
small,policyIteration,0.99,60,-15,1.66921157E8
large,QLearning,0.99,127,-15,4.8710805E7
small,valueIteration,0.99,31,-15,6.048521E7
small,policyIteration,0.99,60,-15,1.43854809E8
large,QLearning,0.99,198,-15,5.0260588E7
small,valueIteration,0.99,31,-16,6.0386748E7
small,policyIteration,0.99,60,-15,1.43970206E8
large,QLearning,0.99,246,-15,5.1433065E7
small,valueIteration,0.99,31,-15,6.0689615E7
small,policyIteration,0.99,60,-15,1.4360196E8
large,QLearning,0.99,282,-15,5.3572041E7
small,valueIteration,0.99,31,-16,6.0151623E7
small,policyIteration,0.99,60,-15,3.35321203E8
large,QLearning,0.99,232,-15,1.38507177E8
small,valueIteration,0.99,31,-15,1.30621996E8
small,policyIteration,0.99,60,-15,2.64041477E8
large,QLearning,0.99,445,-15,1.03691631E8
small,valueIteration,0.9,31,-16,9.8261684E7
small,policyIteration,0.9,51,-18,2.11529668E8
large,QLearning,0.9,600,-20,1.27752045E8
small,valueIteration,0.9,31,-18,2.03180933E8
small,policyIteration,0.9,51,-15,3.10442773E8
large,QLearning,0.9,600,-22,1.4855181E8
small,valueIteration,0.9,31,-15,1.16176926E8
small,policyIteration,0.9,51,-23,2.63909144E8
large,QLearning,0.9,600,-15,1.32336799E8
small,valueIteration,0.9,31,-15,8.6153299E7
small,policyIteration,0.9,51,-18,1.59345145E8
large,QLearning,0.9,600,-17,8.8605776E7
small,valueIteration,0.9,31,-20,6.1560408E7
small,policyIteration,0.9,51,-18,1.25477193E8
large,QLearning,0.9,600,-18,7.8724981E7
small,valueIteration,0.9,31,-17,5.9138652E7
small,policyIteration,0.9,51,-19,1.25591014E8
large,QLearning,0.9,600,-18,7.9291331E7
small,valueIteration,0.9,31,-15,5.9387956E7
small,policyIteration,0.9,51,-17,1.25691445E8
large,QLearning,0.9,600,-15,7.0645241E7
small,valueIteration,0.9,31,-18,5.9254048E7
small,policyIteration,0.9,51,-21,1.25476012E8
large,QLearning,0.9,600,-24,7.8676143E7
small,valueIteration,0.9,31,-18,5.9267046E7
small,policyIteration,0.9,51,-16,1.25322017E8
large,QLearning,0.9,600,-17,9.4456349E7
small,valueIteration,0.9,31,-20,5.9951155E7
small,policyIteration,0.9,51,-18,1.24803718E8
large,QLearning,0.9,600,-15,7.349747E7
small,valueIteration,0.9,31,-21,1.26218804E8
small,policyIteration,0.9,51,-15,2.35083596E8
large,QLearning,0.9,600,-20,1.1163195E8
small,valueIteration,0.9,31,-20,7.8182262E7
small,policyIteration,0.9,51,-15,1.45250992E8
large,QLearning,0.9,600,-19,8.0041211E7
small,valueIteration,0.9,31,-17,5.9632534E7
small,policyIteration,0.9,51,-21,1.2484901E8
large,QLearning,0.9,600,-17,7.5178402E7
small,valueIteration,0.9,31,-19,5.9190246E7
small,policyIteration,0.9,51,-19,1.24562684E8
large,QLearning,0.9,600,-24,7.7641906E7
small,valueIteration,0.9,31,-20,5.9128018E7
small,policyIteration,0.9,51,-18,1.24728887E8
large,QLearning,0.9,600,-17,7.6291016E7
small,valueIteration,0.9,31,-16,5.8994504E7
small,policyIteration,0.9,51,-19,1.24576862E8
large,QLearning,0.9,600,-19,7.9131429E7
small,valueIteration,0.9,31,-16,5.926232E7
small,policyIteration,0.9,51,-17,1.24947077E8
large,QLearning,0.9,600,-19,7.8395725E7
small,valueIteration,0.9,31,-19,5.907288E7
small,policyIteration,0.9,51,-16,1.24593797E8
large,QLearning,0.9,600,-17,9.5646551E7
small,valueIteration,0.9,31,-15,9.9126175E7
small,policyIteration,0.9,51,-19,2.14756444E8
large,QLearning,0.9,600,-16,1.36860902E8
small,valueIteration,0.9,31,-17,1.03781428E8
small,policyIteration,0.9,51,-20,2.30263321E8
