gridWorld,strategy,T,maxIteration,rewards,runningTime
small,valueIteration,0.99,7,-3,5.1283798E7
small,policyIteration,0.99,13,-3,2.4862676E7
small,QLearning,0.99,33,-3,1.7275637E7
small,valueIteration,0.99,7,-5,1.0193115E7
small,policyIteration,0.99,13,-3,1.396576E7
small,QLearning,0.99,28,-3,9640155.0
small,valueIteration,0.99,7,-3,7519691.0
small,policyIteration,0.99,13,-3,1.7214197E7
small,QLearning,0.99,36,-3,7030535.0
small,valueIteration,0.99,7,-3,5113690.0
small,policyIteration,0.99,13,-3,9611799.0
small,QLearning,0.99,34,-3,5033345.0
small,valueIteration,0.99,7,-3,5469726.0
small,policyIteration,0.99,13,-3,9904819.0
small,QLearning,0.99,31,-3,3782492.0
small,valueIteration,0.99,7,-3,4739930.0
small,policyIteration,0.99,13,-3,8579530.0
small,QLearning,0.99,58,-3,5702094.0
small,valueIteration,0.99,7,-3,4066454.0
small,policyIteration,0.99,13,-3,9542876.0
small,QLearning,0.99,60,-3,9617706.0
small,valueIteration,0.99,7,-3,6313736.0
small,policyIteration,0.99,13,-3,8514545.0
small,QLearning,0.99,38,-5,7262904.0
small,valueIteration,0.99,7,-3,6585884.0
small,policyIteration,0.99,13,-3,1.0813815E7
small,QLearning,0.99,29,-3,4404374.0
small,valueIteration,0.99,7,-3,4935671.0
small,policyIteration,0.99,13,-3,7510633.0
small,QLearning,0.99,37,-3,4314183.0
small,valueIteration,0.99,7,-3,4304337.0
small,policyIteration,0.99,13,-3,7420837.0
small,QLearning,0.99,37,-3,2611983.0
small,valueIteration,0.99,7,-3,3098382.0
small,policyIteration,0.99,13,-3,8601191.0
small,QLearning,0.99,37,-3,2728168.0
small,valueIteration,0.99,7,-3,2849866.0
small,policyIteration,0.99,13,-3,4902589.0
small,QLearning,0.99,31,-3,2485559.0
small,valueIteration,0.99,7,-3,4335451.0
small,policyIteration,0.99,13,-3,6342093.0
small,QLearning,0.99,33,-3,2973139.0
small,valueIteration,0.99,7,-3,2922727.0
small,policyIteration,0.99,13,-3,5130625.0
small,QLearning,0.99,29,-3,2646641.0
small,valueIteration,0.99,7,-3,2577718.0
small,policyIteration,0.99,13,-3,8056503.0
small,QLearning,0.99,33,-3,6186524.0
small,valueIteration,0.99,7,-3,3517040.0
small,policyIteration,0.99,13,-3,5154255.0
small,QLearning,0.99,27,-3,2140550.0
small,valueIteration,0.99,7,-3,2700992.0
small,policyIteration,0.99,13,-3,5072730.0
small,QLearning,0.99,31,-3,3727354.0
small,valueIteration,0.99,7,-3,5406317.0
small,policyIteration,0.99,13,-3,7650841.0
small,QLearning,0.99,33,-3,3589901.0
small,valueIteration,0.99,7,-3,4244867.0
small,policyIteration,0.99,13,-3,8060441.0
small,QLearning,0.99,31,-3,3514283.0
small,valueIteration,0.9,9,-3,4840361.0
small,policyIteration,0.9,15,-3,1.0250222E7
small,QLearning,0.9,200,-3,4.6065346E7
small,valueIteration,0.9,9,-5,4409888.0
small,policyIteration,0.9,15,-3,7875727.0
small,QLearning,0.9,200,-3,8156539.0
small,valueIteration,0.9,9,-4,3623772.0
small,policyIteration,0.9,15,-3,6942708.0
small,QLearning,0.9,200,-3,4792705.0
small,valueIteration,0.9,9,-3,2411122.0
small,policyIteration,0.9,15,-3,5593393.0
small,QLearning,0.9,200,-4,6260173.0
small,valueIteration,0.9,9,-3,3839600.0
small,policyIteration,0.9,15,-3,7140024.0
small,QLearning,0.9,200,-3,5714698.0
small,valueIteration,0.9,9,-3,3370924.0
small,policyIteration,0.9,15,-3,6730425.0
small,QLearning,0.9,49,-3,2573386.0
small,valueIteration,0.9,9,-3,3451662.0
small,policyIteration,0.9,15,-3,6433859.0
small,QLearning,0.9,200,-3,4752139.0
small,valueIteration,0.9,9,-4,3336659.0
small,policyIteration,0.9,15,-4,6123903.0
small,QLearning,0.9,200,-3,4573333.0
small,valueIteration,0.9,9,-4,3550517.0
small,policyIteration,0.9,15,-3,6372026.0
small,QLearning,0.9,200,-4,5216877.0
small,valueIteration,0.9,9,-3,3327994.0
small,policyIteration,0.9,15,-5,6388961.0
small,QLearning,0.9,200,-3,4956545.0
small,valueIteration,0.9,9,-4,3335084.0
small,policyIteration,0.9,15,-3,6207398.0
small,QLearning,0.9,200,-3,5249960.0
small,valueIteration,0.9,9,-5,3319724.0
small,policyIteration,0.9,15,-4,5548889.0
small,QLearning,0.9,188,-3,4585543.0
small,valueIteration,0.9,9,-3,2960536.0
small,policyIteration,0.9,15,-3,5623719.0
small,QLearning,0.9,200,-3,4674158.0
small,valueIteration,0.9,9,-3,2858137.0
small,policyIteration,0.9,15,-4,5635534.0
small,QLearning,0.9,200,-3,4735598.0
small,valueIteration,0.9,9,-3,2875465.0
small,policyIteration,0.9,15,-3,6323976.0
