gridWorld,strategy,maxDelta,maxIteration,rewards,runningTime
small,valueIteration,0.01,20,-19,4.60328144E8
small,policyIteration,0.01,37,-20,4.36125947E8
large,QLearning,0.01,600,-16,3.02700559E8
small,valueIteration,0.01,20,-20,5.3966279E7
small,policyIteration,0.01,37,-22,1.62042199E8
large,QLearning,0.01,600,-19,1.36860902E8
small,valueIteration,0.01,20,-21,5.0976205E7
small,policyIteration,0.01,37,-23,2.1363359E8
large,QLearning,0.01,600,-19,3.03444926E8
small,valueIteration,0.01,20,-20,1.37999903E8
small,policyIteration,0.01,37,-23,1.83584758E8
large,QLearning,0.01,600,-20,1.71985222E8
small,valueIteration,0.01,20,-19,6.6686307E7
small,policyIteration,0.01,37,-18,1.60692884E8
large,QLearning,0.01,600,-24,1.07020413E8
small,valueIteration,0.01,20,-17,6.2637575E7
small,policyIteration,0.01,37,-25,2.56383546E8
large,QLearning,0.01,600,-27,2.43557181E8
small,valueIteration,0.01,20,-24,9.3082617E7
small,policyIteration,0.01,37,-30,2.51278127E8
large,QLearning,0.01,600,-17,1.7559324E8
small,valueIteration,0.01,20,-23,7.0690927E7
small,policyIteration,0.01,37,-26,2.15608331E8
large,QLearning,0.01,600,-32,2.11769914E8
small,valueIteration,0.01,20,-20,7.6086216E7
small,policyIteration,0.01,37,-20,1.77624694E8
large,QLearning,0.01,600,-21,1.45292346E8
small,valueIteration,0.01,20,-15,8.9112655E7
small,policyIteration,0.01,37,-16,2.58379161E8
large,QLearning,0.01,600,-26,1.9633196E8
small,valueIteration,0.01,20,-23,6.8780383E7
small,policyIteration,0.01,37,-21,1.51704544E8
large,QLearning,0.01,600,-17,1.18448233E8
small,valueIteration,0.01,20,-18,9.3275601E7
small,policyIteration,0.01,37,-20,2.04058026E8
large,QLearning,0.01,600,-19,1.76712943E8
small,valueIteration,0.01,20,-23,8.0236559E7
small,policyIteration,0.01,37,-16,2.24756574E8
large,QLearning,0.01,600,-25,2.09818409E8
small,valueIteration,0.01,20,-20,8.0156609E7
small,policyIteration,0.01,37,-22,2.11393004E8
large,QLearning,0.01,600,-18,2.07678647E8
small,valueIteration,0.01,20,-20,8.9187091E7
small,policyIteration,0.01,37,-25,1.83008561E8
large,QLearning,0.01,600,-26,1.28052549E8
small,valueIteration,0.01,20,-21,5.4018661E7
small,policyIteration,0.01,37,-21,1.23480003E8
large,QLearning,0.01,600,-26,9.5542575E7
small,valueIteration,0.01,20,-24,4.2416368E7
small,policyIteration,0.01,37,-19,2.15610301E8
large,QLearning,0.01,600,-20,1.88953659E8
small,valueIteration,0.01,20,-16,8.7913789E7
small,policyIteration,0.01,37,-27,1.94697895E8
large,QLearning,0.01,600,-21,2.0004159E8
small,valueIteration,0.01,20,-27,7.7780539E7
small,policyIteration,0.01,37,-20,1.6750011E8
large,QLearning,0.01,600,-24,1.28656708E8
small,valueIteration,0.01,20,-25,4.8756099E7
small,policyIteration,0.01,37,-20,1.34261916E8
large,QLearning,0.01,600,-18,1.13720906E8
small,valueIteration,0.001,30,-17,6.4925817E7
small,policyIteration,0.001,44,-19,1.45848061E8
large,QLearning,0.001,600,-25,1.38059768E8
small,valueIteration,0.001,30,-19,1.11992713E8
small,policyIteration,0.001,44,-38,2.43143249E8
large,QLearning,0.001,600,-22,1.55664265E8
small,valueIteration,0.001,30,-21,8.4075765E7
small,policyIteration,0.001,44,-18,1.53912441E8
large,QLearning,0.001,600,-19,1.02021726E8
small,valueIteration,0.001,30,-22,5.9865297E7
small,policyIteration,0.001,44,-30,1.26355074E8
large,QLearning,0.001,600,-23,9.877132E7
small,valueIteration,0.001,30,-15,6.0192976E7
small,policyIteration,0.001,44,-22,1.26334201E8
large,QLearning,0.001,600,-19,1.01371095E8
small,valueIteration,0.001,30,-27,6.0740815E7
small,policyIteration,0.001,44,-21,1.25887187E8
large,QLearning,0.001,600,-23,9.4818688E7
small,valueIteration,0.001,30,-21,5.937299E7
small,policyIteration,0.001,44,-28,1.26473228E8
large,QLearning,0.001,600,-20,9.6121134E7
small,valueIteration,0.001,30,-25,5.9421827E7
small,policyIteration,0.001,44,-19,1.2612113E8
large,QLearning,0.001,600,-21,1.28868203E8
small,valueIteration,0.001,30,-22,9.3754517E7
small,policyIteration,0.001,44,-26,2.44798975E8
large,QLearning,0.001,600,-32,1.57508644E8
small,valueIteration,0.001,30,-20,8.0614257E7
small,policyIteration,0.001,44,-21,1.49586836E8
large,QLearning,0.001,600,-19,1.18606953E8
small,valueIteration,0.001,30,-20,8.2037615E7
small,policyIteration,0.001,44,-27,1.53761205E8
large,QLearning,0.001,600,-28,1.81869954E8
small,valueIteration,0.001,30,-24,1.2644369E8
small,policyIteration,0.001,44,-15,2.23397807E8
