gridWorld,strategy,maxDelta,maxIteration,rewards,runningTime
small,valueIteration,0.01,9,-3,1.0194217E8
small,policyIteration,0.01,15,-3,5.7593991E7
small,QLearning,0.01,200,-4,6.9474732E7
small,valueIteration,0.01,9,-4,1.8026701E7
small,policyIteration,0.01,15,-8,4.0222255E7
small,QLearning,0.01,200,-7,3.7041165E7
small,valueIteration,0.01,9,-4,8719739.0
small,policyIteration,0.01,15,-4,2.3703195E7
small,QLearning,0.01,200,-3,3.2252005E7
small,valueIteration,0.01,9,-3,1.4074067E7
small,policyIteration,0.01,15,-4,2.8032738E7
small,QLearning,0.01,200,-4,2.3967859E7
small,valueIteration,0.01,9,-3,8697683.0
small,policyIteration,0.01,15,-3,1.7450899E7
small,QLearning,0.01,200,-3,1.9558365E7
small,valueIteration,0.01,9,-5,8208133.0
small,policyIteration,0.01,15,-4,1.7096437E7
small,QLearning,0.01,200,-6,2.8609328E7
small,valueIteration,0.01,9,-4,9024969.0
small,policyIteration,0.01,15,-3,1.9787978E7
small,QLearning,0.01,200,-3,1.6783724E7
small,valueIteration,0.01,9,-3,8075801.0
small,policyIteration,0.01,15,-3,1.6012575E7
small,QLearning,0.01,200,-3,1.5966494E7
small,valueIteration,0.01,9,-5,7126633.0
small,policyIteration,0.01,15,-4,1.3665256E7
small,QLearning,0.01,200,-7,1.2862204E7
small,valueIteration,0.01,9,-5,7420442.0
small,policyIteration,0.01,15,-4,1.3101269E7
small,QLearning,0.01,200,-3,1.3234389E7
small,valueIteration,0.01,9,-3,7049834.0
small,policyIteration,0.01,15,-5,1.283306E7
small,QLearning,0.01,200,-5,1.2528618E7
small,valueIteration,0.01,9,-3,7666596.0
small,policyIteration,0.01,15,-7,1.2583362E7
small,QLearning,0.01,200,-3,1.3723545E7
small,valueIteration,0.01,9,-8,6513022.0
small,policyIteration,0.01,15,-3,1.1306515E7
small,QLearning,0.01,200,-3,1.800819E7
small,valueIteration,0.01,9,-3,1.2543977E7
small,policyIteration,0.01,15,-4,1.5155961E7
small,QLearning,0.01,200,-4,1.3628628E7
small,valueIteration,0.01,9,-5,5761565.0
small,policyIteration,0.01,15,-3,1.2070969E7
small,QLearning,0.01,200,-3,6037650.0
small,valueIteration,0.01,9,-3,3350049.0
small,policyIteration,0.01,15,-4,6978548.0
small,QLearning,0.01,200,-7,5128655.0
small,valueIteration,0.01,9,-3,3566664.0
small,policyIteration,0.01,15,-5,4808853.0
small,QLearning,0.01,200,-4,4206664.0
small,valueIteration,0.01,9,-6,2366617.0
small,policyIteration,0.01,15,-3,4916373.0
small,QLearning,0.01,200,-53,3806910.0
small,valueIteration,0.01,9,-3,2349288.0
small,policyIteration,0.01,15,-4,4841542.0
small,QLearning,0.01,200,-3,3753347.0
small,valueIteration,0.01,9,-3,2166150.0
small,policyIteration,0.01,15,-3,4563881.0
small,QLearning,0.01,200,-3,3640314.0
small,valueIteration,0.001,10,-4,2433177.0
small,policyIteration,0.001,17,-4,4904163.0
small,QLearning,0.001,200,-5,3625348.0
small,valueIteration,0.001,10,-7,2621041.0
small,policyIteration,0.001,17,-5,5669011.0
small,QLearning,0.001,200,-3,3352412.0
small,valueIteration,0.001,10,-3,2359134.0
small,policyIteration,0.001,17,-3,5422859.0
small,QLearning,0.001,200,-3,4202725.0
small,valueIteration,0.001,10,-6,2456414.0
small,policyIteration,0.001,17,-8,5406710.0
small,QLearning,0.001,200,-6,3597778.0
small,valueIteration,0.001,10,-4,2321325.0
small,policyIteration,0.001,17,-3,4344115.0
small,QLearning,0.001,200,-5,3764375.0
small,valueIteration,0.001,10,-4,2321326.0
small,policyIteration,0.001,17,-3,4258651.0
small,QLearning,0.001,200,-4,3878197.0
small,valueIteration,0.001,10,-3,2335110.0
small,policyIteration,0.001,17,-3,4129863.0
small,QLearning,0.001,200,-3,3884497.0
small,valueIteration,0.001,10,-4,2197658.0
small,policyIteration,0.001,17,-3,3824633.0
small,QLearning,0.001,200,-5,3335477.0
small,valueIteration,0.001,10,-4,2195295.0
small,policyIteration,0.001,17,-3,3964055.0
small,QLearning,0.001,200,-4,3532400.0
small,valueIteration,0.001,10,-3,2140944.0
small,policyIteration,0.001,17,-4,3809667.0
small,QLearning,0.001,200,-5,5476027.0
small,valueIteration,0.001,10,-8,2157486.0
small,policyIteration,0.001,17,-6,3785248.0
small,QLearning,0.001,200,-4,3386283.0
small,valueIteration,0.001,10,-5,2142520.0
small,policyIteration,0.001,17,-5,3987292.0
small,QLearning,0.001,200,-5,3307908.0
small,valueIteration,0.001,10,-10,3941999.0
small,policyIteration,0.001,17,-7,6839127.0
small,QLearning,0.001,200,-51,6017565.0
small,valueIteration,0.001,10,-5,4047156.0
small,policyIteration,0.001,17,-3,5177098.0
small,QLearning,0.001,200,-5,3634800.0
small,valueIteration,0.001,10,-3,2352439.0
small,policyIteration,0.001,17,-3,4129469.0
small,QLearning,0.001,200,-4,3641495.0
small,valueIteration,0.001,10,-3,2231528.0
small,policyIteration,0.001,17,-3,3899070.0
small,QLearning,0.001,200,-3,3262616.0
small,valueIteration,0.001,10,-3,2310297.0
small,policyIteration,0.001,17,-3,4120804.0
small,QLearning,0.001,200,-21,3297275.0
small,valueIteration,0.001,10,-3,2766764.0
small,policyIteration,0.001,17,-3,4274404.0
small,QLearning,0.001,200,-6,3934123.0
small,valueIteration,0.001,10,-4,2151971.0
small,policyIteration,0.001,17,-4,3763193.0
small,QLearning,0.001,200,-8,3429212.0
small,valueIteration,0.001,10,-5,2168119.0
small,policyIteration,0.001,17,-5,4655253.0
small,QLearning,0.001,200,-3,3461508.0
small,valueIteration,1.0E-4,12,-3,2994407.0
