gridWorld,strategy,maxIteration,gamma,lastMaxDelta,rewards,numOfActions,runningTime
large,valueIteration,5,0.8,0.30992069205130957,-4547,4547,4.53592206E8
large,valueIteration,5,0.8,0.30992069205130957,-15581,15581,1.5036665E8
large,valueIteration,5,0.8,0.30992069205130957,-11198,11198,9.0079545E7
large,valueIteration,5,0.8,0.30992069205130957,-19407,19407,1.02627461E8
large,valueIteration,5,0.8,0.30992069205130957,-5955,5955,1.13312882E8
large,valueIteration,5,0.8,0.30992069205130957,-863,863,9.0796737E7
large,valueIteration,5,0.8,0.30992069205130957,-2522,2522,8.680984E7
large,valueIteration,5,0.8,0.30992069205130957,-12796,12796,8.5244304E7
large,valueIteration,5,0.8,0.30992069205130957,-21,21,6.7201456E7
large,valueIteration,5,0.8,0.30992069205130957,-1955,1955,1.0825315E8
large,valueIteration,5,0.9,1.4431091270404242,-45603,45603,1.08754121E8
large,valueIteration,5,0.9,1.4431091270404242,-6151,6151,5.9106356E7
large,valueIteration,5,0.9,1.4431091270404242,-36605,36605,5.8905496E7
large,valueIteration,5,0.9,1.4431091270404242,-85552,85552,8.3339274E7
large,valueIteration,5,0.9,1.4431091270404242,-9042,9042,7.6184677E7
large,valueIteration,5,0.9,1.4431091270404242,-3048,3048,6.3564688E7
large,valueIteration,5,0.9,1.4431091270404242,-14414,14414,5.8220205E7
large,valueIteration,5,0.9,1.4431091270404242,-9686,9686,5.6475863E7
large,valueIteration,5,0.9,1.4431091270404242,-5388,5388,5.6325808E7
large,valueIteration,5,0.9,1.4431091270404242,-23091,23091,7.6047225E7
large,valueIteration,5,0.99,5.611434145520414,-18344,18344,7.7585191E7
large,valueIteration,5,0.99,5.611434145520414,-48851,48851,1.28778799E8
large,valueIteration,5,0.99,5.611434145520414,-4862,4862,9.7900134E7
large,valueIteration,5,0.99,5.611434145520414,-337,337,7.8193683E7
large,valueIteration,5,0.99,5.611434145520414,-2063,2063,7.0896908E7
large,valueIteration,5,0.99,5.611434145520414,-51196,51196,6.5082568E7
large,valueIteration,5,0.99,5.611434145520414,-35334,35334,1.18884614E8
large,valueIteration,5,0.99,5.611434145520414,-18955,18955,6.088772E7
large,valueIteration,5,0.99,5.611434145520414,-16466,16466,5.5293539E7
large,valueIteration,5,0.99,5.611434145520414,-27828,27828,1.14489299E8
large,valueIteration,10,0.8,0.0072189933930308925,-22,22,1.24778905E8
large,valueIteration,10,0.8,0.0072189933930308925,-19,19,1.12799308E8
large,valueIteration,10,0.8,0.0072189933930308925,-28,28,1.07541865E8
large,valueIteration,10,0.8,0.0072189933930308925,-26,26,1.07083822E8
large,valueIteration,10,0.8,0.0072189933930308925,-21,21,2.32188437E8
large,valueIteration,10,0.8,0.0072189933930308925,-30,30,1.8406328E8
large,valueIteration,10,0.8,0.0072189933930308925,-28,28,1.48864524E8
large,valueIteration,10,0.8,0.0072189933930308925,-17,17,1.27502346E8
large,valueIteration,10,0.8,0.0072189933930308925,-27,27,1.14121841E8
large,valueIteration,10,0.8,0.0072189933930308925,-21,21,1.06529682E8
large,valueIteration,10,0.9,0.3408969494136542,-26,26,1.05985387E8
large,valueIteration,10,0.9,0.3408969494136542,-27,27,1.06044071E8
large,valueIteration,10,0.9,0.3408969494136542,-16,16,1.06908561E8
large,valueIteration,10,0.9,0.3408969494136542,-17,17,1.09791116E8
large,valueIteration,10,0.9,0.3408969494136542,-19,19,1.06275652E8
large,valueIteration,10,0.9,0.3408969494136542,-24,24,1.06124808E8
large,valueIteration,10,0.9,0.3408969494136542,-18,18,1.06554494E8
large,valueIteration,10,0.9,0.3408969494136542,-19,19,1.07136204E8
large,valueIteration,10,0.9,0.3408969494136542,-19,19,1.08496546E8
large,valueIteration,10,0.9,0.3408969494136542,-24,24,1.06506445E8
large,valueIteration,10,0.99,8.822993318274005,-20,20,1.45257688E8
large,valueIteration,10,0.99,8.822993318274005,-17,17,2.64383729E8
large,valueIteration,10,0.99,8.822993318274005,-15,15,1.76666075E8
large,valueIteration,10,0.99,8.822993318274005,-16,16,1.4613675E8
large,valueIteration,10,0.99,8.822993318274005,-16,16,1.24651693E8
large,valueIteration,10,0.99,8.822993318274005,-19,19,1.11171151E8
large,valueIteration,10,0.99,8.822993318274005,-21,21,1.06126779E8
