gridWorld,strategy,incentive,rewards,numOfActions,rollOutTime
Small,policyIteration,0.0,-3,3,6129023.0
Small,policyIteration,0.0,-5,5,465919.0
Small,policyIteration,0.0,-9,9,831408.0
Small,policyIteration,0.0,-5,5,558079.0
Small,policyIteration,0.0,-4,4,261513.0
Small,policyIteration,0.0,-4,4,306018.0
Small,policyIteration,0.0,-5,5,301291.0
Small,policyIteration,0.0,-3,3,149268.0
Small,policyIteration,0.0,-5,5,193378.0
Small,policyIteration,0.0,-4,4,144541.0
Small,policyIteration,1.0,-3,3,417476.0
Small,policyIteration,1.0,-5,5,369034.0
Small,policyIteration,1.0,-6,6,318621.0
Small,policyIteration,1.0,-4,4,196135.0
Small,policyIteration,1.0,-3,3,133120.0
Small,policyIteration,1.0,-3,3,124455.0
Small,policyIteration,1.0,-7,7,268997.0
Small,policyIteration,1.0,-5,5,198104.0
Small,policyIteration,1.0,-7,7,287902.0
Small,policyIteration,1.0,-3,3,117760.0
Small,policyIteration,1.1,-5,5,158325.0
Small,policyIteration,1.1,-3,3,85465.0
Small,policyIteration,1.1,-3,3,77194.0
Small,policyIteration,1.1,-8,8,172110.0
Small,policyIteration,1.1,-3,3,120516.0
Small,policyIteration,1.1,-4,4,125637.0
Small,policyIteration,1.1,-3,3,90585.0
Small,policyIteration,1.1,-6,6,163840.0
Small,policyIteration,1.1,-3,3,77981.0
Small,policyIteration,1.1,-5,5,110671.0
Small,policyIteration,1.2,-10,1118,2.3835133E7
Small,policyIteration,1.2,-7,6932,1.43153371E8
Small,policyIteration,1.2,-5,7115,7.1004428E7
Small,policyIteration,1.2,-5,4168,4.155424E7
Small,policyIteration,1.2,-9,8946,8.9467115E7
Small,policyIteration,1.2,-5,10857,1.10528001E8
Small,policyIteration,1.2,-6,65149,8.32262402E8
Small,policyIteration,1.2,-5,18334,1.81077144E8
Small,policyIteration,1.2,-8,27988,2.74918306E8
Small,policyIteration,1.2,-5,3273,6.5275552E7
Small,policyIteration,1.22,-5,13824,3.21613805E8
Small,policyIteration,1.22,-5,13437,2.50554632E8
Small,policyIteration,1.22,-7,8067,8.0291304E7
Small,policyIteration,1.22,-8,37202,3.64453164E8
Small,policyIteration,1.22,-5,24304,2.38519897E8
Small,policyIteration,1.22,-7,19248,1.8835974E8
Small,policyIteration,1.22,-5,60046,5.87796225E8
Small,policyIteration,1.22,-10,40050,4.28605862E8
Small,policyIteration,1.22,-14,23341,4.34265815E8
Small,policyIteration,1.22,-10,20855,3.87821589E8
Small,policyIteration,1.24,-6,196053,2.08500524E9
Small,policyIteration,1.24,-5,115075,1.084921745E9
Small,policyIteration,1.24,-7,19354,1.89071418E8
Small,policyIteration,1.24,-5,371632,3.664632323E9
Small,policyIteration,1.24,-5,84685,7.05368153E8
Small,policyIteration,1.24,-5,813939,7.578087935E9
Small,policyIteration,1.24,-7,150837,1.326925205E9
Small,policyIteration,1.24,-5,257914,2.308565311E9
Small,policyIteration,1.24,-7,204402,1.830950109E9
Small,policyIteration,1.24,-6,40462,3.36180573E8
