gridWorld,strategy,maxIteration,gamma,lastMaxDelta,rewards,numOfActions,runningTime
small,PolicyIteration,1,0.8,1.4,-6,6,9.0856996E7
small,PolicyIteration,1,0.8,1.4,-14,14,2.4459772E7
small,PolicyIteration,1,0.8,1.4,-10,10,2.1012049E7
small,PolicyIteration,1,0.8,1.4,-34,34,1.8180301E7
small,PolicyIteration,1,0.8,1.4,-4,4,1.4820404E7
small,PolicyIteration,1,0.8,1.4,-18,18,1.4159926E7
small,PolicyIteration,1,0.8,1.4,-4,4,1.4969672E7
small,PolicyIteration,1,0.8,1.4,-6,6,4498503.0
small,PolicyIteration,1,0.8,1.4,-28,28,5018379.0
small,PolicyIteration,1,0.8,1.4,-13,13,4503229.0
small,PolicyIteration,1,0.9,1.45,-21,21,4711180.0
small,PolicyIteration,1,0.9,1.45,-38,38,3793914.0
small,PolicyIteration,1,0.9,1.45,-8,8,1.1742109E7
small,PolicyIteration,1,0.9,1.45,-9,9,4271648.0
small,PolicyIteration,1,0.9,1.45,-71,71,3362259.0
small,PolicyIteration,1,0.9,1.45,-18,18,3539489.0
small,PolicyIteration,1,0.9,1.45,-7,7,1.0109225E7
small,PolicyIteration,1,0.9,1.45,-17,17,5673344.0
small,PolicyIteration,1,0.9,1.45,-13,13,3467810.0
small,PolicyIteration,1,0.9,1.45,-15,15,3400855.0
small,PolicyIteration,1,0.99,1.495,-7,7,3340991.0
small,PolicyIteration,1,0.99,1.495,-14,14,7292049.0
small,PolicyIteration,1,0.99,1.495,-5,5,5325972.0
small,PolicyIteration,1,0.99,1.495,-7,7,5709972.0
small,PolicyIteration,1,0.99,1.495,-54,54,6759570.0
small,PolicyIteration,1,0.99,1.495,-8,8,6215275.0
small,PolicyIteration,1,0.99,1.495,-18,18,6141627.0
small,PolicyIteration,1,0.99,1.495,-23,23,6006931.0
small,PolicyIteration,1,0.99,1.495,-19,19,5325579.0
small,PolicyIteration,1,0.99,1.495,-17,17,3671427.0
small,PolicyIteration,2,0.8,1.1134112426666671,-5,5,6511841.0
small,PolicyIteration,2,0.8,1.1134112426666671,-5,5,7221944.0
small,PolicyIteration,2,0.8,1.1134112426666671,-7,7,1.2290341E7
small,PolicyIteration,2,0.8,1.1134112426666671,-3,3,9125399.0
small,PolicyIteration,2,0.8,1.1134112426666671,-3,3,9306962.0
small,PolicyIteration,2,0.8,1.1134112426666671,-8,8,9510580.0
small,PolicyIteration,2,0.8,1.1134112426666671,-3,3,8849707.0
small,PolicyIteration,2,0.8,1.1134112426666671,-10,10,8787480.0
small,PolicyIteration,2,0.8,1.1134112426666671,-7,7,9010791.0
small,PolicyIteration,2,0.8,1.1134112426666671,-3,3,9249461.0
small,PolicyIteration,2,0.9,1.4178361745961918,-4,4,8985584.0
small,PolicyIteration,2,0.9,1.4178361745961918,-3,3,9142729.0
small,PolicyIteration,2,0.9,1.4178361745961918,-6,6,9043479.0
small,PolicyIteration,2,0.9,1.4178361745961918,-5,5,9449928.0
small,PolicyIteration,2,0.9,1.4178361745961918,-8,8,8770545.0
small,PolicyIteration,2,0.9,1.4178361745961918,-6,6,6217244.0
small,PolicyIteration,2,0.9,1.4178361745961918,-5,5,5991965.0
small,PolicyIteration,2,0.9,1.4178361745961918,-3,3,6051830.0
small,PolicyIteration,2,0.9,1.4178361745961918,-3,3,7112455.0
small,PolicyIteration,2,0.9,1.4178361745961918,-3,3,6105786.0
small,PolicyIteration,2,0.99,1.738550764627027,-4,4,6177072.0
small,PolicyIteration,2,0.99,1.738550764627027,-4,4,9792573.0
small,PolicyIteration,2,0.99,1.738550764627027,-3,3,9103738.0
small,PolicyIteration,2,0.99,1.738550764627027,-3,3,9262064.0
small,PolicyIteration,2,0.99,1.738550764627027,-3,3,8786692.0
small,PolicyIteration,2,0.99,1.738550764627027,-8,8,9298298.0
small,PolicyIteration,2,0.99,1.738550764627027,-3,3,9090347.0
small,PolicyIteration,2,0.99,1.738550764627027,-3,3,9193928.0
small,PolicyIteration,2,0.99,1.738550764627027,-3,3,9162027.0
small,PolicyIteration,2,0.99,1.738550764627027,-3,3,9264033.0
small,PolicyIteration,3,0.8,0.992947647697175,-3,3,1.380192E7
small,PolicyIteration,3,0.8,0.992947647697175,-4,4,1.3311977E7
small,PolicyIteration,3,0.8,0.992947647697175,-3,3,5.085175E7
small,PolicyIteration,3,0.8,0.992947647697175,-5,5,1.1688152E7
small,PolicyIteration,3,0.8,0.992947647697175,-6,6,1.2809036E7
small,PolicyIteration,3,0.8,0.992947647697175,-3,3,1.2895682E7
small,PolicyIteration,3,0.8,0.992947647697175,-6,6,1.0323477E7
small,PolicyIteration,3,0.8,0.992947647697175,-6,6,8810323.0
small,PolicyIteration,3,0.8,0.992947647697175,-6,6,9327442.0
small,PolicyIteration,3,0.8,0.992947647697175,-3,3,1.0475895E7
small,PolicyIteration,3,0.9,1.7968676690473662,-3,3,9547602.0
small,PolicyIteration,3,0.9,1.7968676690473662,-3,3,9351467.0
small,PolicyIteration,3,0.9,1.7968676690473662,-7,7,9402273.0
small,PolicyIteration,3,0.9,1.7968676690473662,-3,3,8683898.0
small,PolicyIteration,3,0.9,1.7968676690473662,-3,3,7726854.0
