gridWorld,iteration,epsilon,lastMaxDelta,rewards,numOfActions,runningTime
large,1,0.1,0.12551792230709996,-808,808,1.17119793E8
large,6,0.1,0.14276267683591048,-333,333,2.13665886E8
large,11,0.1,0.14427698426114288,-181,181,2.99498596E8
large,16,0.1,0.1494051564373069,-4374,4374,3.56719614E8
large,21,0.1,0.14660096031729308,-347,347,4.03506485E8
large,26,0.1,0.14892652923303284,-715,715,4.48337913E8
large,31,0.1,0.1544603376754523,-3434,3434,5.04501063E8
large,36,0.1,0.1518946307343758,-2037,2037,5.49656232E8
large,41,0.1,0.17162991759380297,-853,853,5.64459308E8
large,46,0.1,0.1600544214200763,-64,64,5.84947148E8
large,51,0.1,0.1593005586407199,-595,595,5.96701072E8
large,56,0.1,0.14618557459334092,-211,211,6.0539521E8
large,61,0.1,0.14476586710773365,-58,58,6.5500871E8
large,66,0.1,0.14870712022222232,-83,83,6.68920119E8
large,71,0.1,0.17310829534612804,-61,61,6.86715633E8
large,76,0.1,0.17303802099158805,-57,57,7.19591488E8
large,81,0.1,0.1742844859544248,-901,901,7.33187427E8
large,86,0.1,0.22203344624044474,-150,150,7.47790429E8
large,91,0.1,0.17479547099978276,-82,82,7.81729273E8
large,96,0.1,0.1521682152094357,-61,61,8.25905737E8
large,101,0.1,0.18941865205912967,-162,162,8.37936534E8
large,106,0.1,0.2063571588527342,-40,40,8.53252002E8
large,111,0.1,0.1671175505152238,-77,77,8.59054133E8
large,116,0.1,0.19241125588309282,-100,100,8.62368343E8
large,121,0.1,0.17559889181607602,-67,67,8.74121479E8
large,126,0.1,0.18227599102160497,-45,45,8.83018841E8
large,131,0.1,0.18312504060529644,-68,68,8.9032625E8
large,136,0.1,0.18322818074418468,-43,43,9.04104146E8
large,141,0.1,0.21333628318734554,-27,27,9.10959813E8
large,146,0.1,0.16931984109286446,-33,33,9.12966456E8
large,151,0.1,0.17595826878770104,-384,384,9.19568094E8
large,156,0.1,0.1757011419932013,-48,48,9.25001979E8
large,161,0.1,0.20350456780886272,-31,31,9.26261891E8
large,166,0.1,0.19050222734173516,-64,64,9.29071191E8
large,171,0.1,0.212984076521056,-46,46,9.32781215E8
large,176,0.1,0.16519096079552043,-36,36,9.35523561E8
large,181,0.1,0.18126805322332196,-81,81,9.37197404E8
large,186,0.1,0.1878979587387022,-43,43,9.41277249E8
large,191,0.1,0.09221766391109654,-25,25,9.69738491E8
large,196,0.1,0.21466716301578548,-33,33,9.73094842E8
large,201,0.1,0.15017279676644257,-38,38,9.75055798E8
large,206,0.1,0.1370334889401299,-19,19,9.76464584E8
large,211,0.1,0.15859401065642942,-33,33,9.79437723E8
large,216,0.1,0.2342742207807813,-36,36,9.80839813E8
large,221,0.1,0.24216009104342184,-52,52,9.82131626E8
large,226,0.1,0.22681130732249954,-447,447,9.85209922E8
large,231,0.1,0.25203888660859874,-53,53,9.8634144E8
large,236,0.1,0.2264243535643944,-37,37,9.87491469E8
large,241,0.1,0.20007755584583364,-33,33,9.88351627E8
large,246,0.1,0.16083417865599436,-22,22,9.89139318E8
large,251,0.1,0.15734278145277258,-25,25,1.003766738E9
large,256,0.1,0.16101634106045992,-55,55,1.0117555E9
large,261,0.1,0.24380602707879273,-29,29,1.013710548E9
large,266,0.1,0.1817129815929306,-117,117,1.015004724E9
large,271,0.1,0.1782461751590958,-25,25,1.017928239E9
large,276,0.1,0.2346991233025415,-32,32,1.022155383E9
large,281,0.1,0.19960890258851727,-23,23,1.022828071E9
large,286,0.1,0.17569399737424662,-31,31,1.025551512E9
large,291,0.1,0.2700083902870958,-44,44,1.026364015E9
large,296,0.1,0.21171306807815737,-27,27,1.027777527E9
large,301,0.1,0.22121762052961103,-31,31,1.028877143E9
large,306,0.1,0.21859768357133214,-22,22,1.029509659E9
large,311,0.1,0.15443730192005845,-27,27,1.030226457E9
large,316,0.1,0.24570287905562083,-29,29,1.032118097E9
large,321,0.1,0.20630513889390478,-22,22,1.032809296E9
large,326,0.1,0.21364349057974152,-45,45,1.033553664E9
large,331,0.1,0.2133893192439098,-34,34,1.034150734E9
large,336,0.1,0.17568436651401953,-29,29,1.034797034E9
large,341,0.1,0.14831749565858132,-27,27,1.035578817E9
