gridWorld,strategy,maxIteration,gamma,lastMaxDelta,rewards,numOfActions,runningTime
large,Q,100,0.8,0.14446677571382183,-97,97,5.29069536E8
large,Q,100,0.8,0.07504315262420924,-165,165,1.47565228E8
large,Q,100,0.8,0.14814293445296545,-64,64,1.58099412E8
large,Q,100,0.8,0.05385734498049999,-65,65,1.16443559E8
large,Q,100,0.8,0.09486616100318068,-26,26,1.1846635E8
large,Q,100,0.8,0.13956019358092786,-258,258,1.45853969E8
large,Q,100,0.8,0.12312873650826828,-78,78,1.72064778E8
large,Q,100,0.8,0.055586625469583595,-274,274,1.1517971E8
large,Q,100,0.8,0.046090527762820965,-74,74,1.1481619E8
large,Q,100,0.8,0.07978352353086082,-64,64,1.0566401E8
large,Q,100,0.8,0.11018173964332267,-351,351,1.23197222E8
large,Q,100,0.8,0.07375870985836497,-47,47,1.36281555E8
large,Q,100,0.8,0.07692877713600899,-28,28,1.95248491E8
large,Q,100,0.8,0.07653898686224281,-216,216,1.93764481E8
large,Q,100,0.8,0.0767388596777212,-111,111,1.14714184E8
large,Q,100,0.8,0.069712396332275,-94,94,1.14863058E8
large,Q,100,0.8,0.08510235435517366,-82,82,9.8756354E7
large,Q,100,0.8,0.0673952174271859,-63,63,1.07860092E8
large,Q,100,0.8,0.11895379732290534,-979,979,1.08339008E8
large,Q,100,0.8,0.10006265424837113,-49,49,1.11017945E8
large,Q,100,0.8,0.05498377283978062,-102,102,1.24952985E8
large,Q,100,0.8,0.04912760231872637,-812,812,1.13551552E8
large,Q,100,0.8,0.06999512986201939,-79,79,1.1780272E8
large,Q,100,0.8,0.1357324340995938,-66,66,1.13882383E8
large,Q,100,0.8,0.10553569847452238,-78,78,1.18415937E8
large,Q,100,0.8,0.11418249130554359,-77,77,1.12954876E8
large,Q,100,0.8,0.053676263772981514,-121,121,1.05992477E8
large,Q,100,0.8,0.15767424378278116,-89,89,1.21756929E8
large,Q,100,0.8,0.07077159603522443,-40,40,1.10415755E8
large,Q,100,0.8,0.07379637840133269,-60,60,1.10416936E8
large,Q,100,0.8,0.05826138406555792,-1882,1882,1.093122E8
large,Q,100,0.8,0.06370879026367327,-2726,2726,1.22597789E8
large,Q,100,0.8,0.06375649600255162,-73,73,1.09251942E8
large,Q,100,0.8,0.11729244827947727,-69,69,1.13546826E8
large,Q,100,0.8,0.07013797878694561,-938,938,1.13751626E8
large,Q,100,0.8,0.09130546487058222,-58,58,1.12664219E8
large,Q,100,0.8,0.06600853764014603,-107,107,1.03656185E8
large,Q,100,0.8,0.0491991058450556,-77,77,9.9232119E7
large,Q,100,0.8,0.03299649674953575,-97,97,1.09852163E8
large,Q,100,0.8,0.056435793661489875,-2745,2745,1.16688926E8
large,Q,100,0.8,0.05792770790604118,-987,987,1.20324119E8
large,Q,100,0.8,0.04540431448903037,-909,909,1.11224714E8
large,Q,100,0.8,0.034179810440130076,-33,33,1.02448262E8
