gridWorld,iteration,initQ,lastMaxDelta,rewards,numOfActions,runningTime
large,1,-0.5,0.47411640739049976,-702,702,1.18418301E8
large,6,-0.5,0.4301621819536856,-114,114,2.86572981E8
large,11,-0.5,0.5825618918567734,-2344,2344,3.51084867E8
large,16,-0.5,0.5107729009889876,-126,126,3.65313322E8
large,21,-0.5,0.5116244392869564,-475,475,3.72823561E8
large,26,-0.5,0.576730888364839,-2527,2527,3.98847293E8
large,31,-0.5,0.645608517993491,-42,42,4.09436616E8
large,36,-0.5,0.5194845968886526,-2147,2147,4.27220707E8
large,41,-0.5,0.5209303879289902,-43,43,4.39293646E8
large,46,-0.5,0.5411732974552059,-3962,3962,4.70438551E8
large,51,-0.5,0.6159306190743705,-50,50,4.74640882E8
large,56,-0.5,0.5655879047126069,-85,85,4.79465882E8
large,61,-0.5,0.5822539651368519,-192,192,4.87273869E8
large,66,-0.5,0.6565293097652303,-1941,1941,5.02501509E8
large,71,-0.5,0.8392851144050439,-49,49,5.04822834E8
large,76,-0.5,0.6305431910496937,-108,108,5.09652561E8
large,81,-0.5,0.6479320093369685,-45,45,5.14167605E8
large,86,-0.5,0.6788124728270848,-41,41,5.35437229E8
large,91,-0.5,0.778076220970058,-65,65,5.38113803E8
large,96,-0.5,0.7009815257210654,-57,57,5.39762046E8
large,101,-0.5,0.6456676660768874,-32,32,5.41247237E8
large,106,-0.5,0.6961152449888868,-51,51,5.49268688E8
large,111,-0.5,0.6394000705849079,-27,27,5.53978292E8
large,116,-0.5,0.43969051968486994,-40,40,5.56258657E8
large,121,-0.5,1.0938761952557101,-39,39,5.57250754E8
large,126,-0.5,0.7763147229897456,-36,36,5.58343281E8
large,131,-0.5,0.6651503347357046,-23,23,5.59422024E8
large,136,-0.5,0.6030818913793565,-229,229,5.61273097E8
large,141,-0.5,0.6192800364411575,-27,27,5.6221045E8
large,146,-0.5,0.7234644088157509,-27,27,5.63464453E8
large,151,-0.5,0.6445047936622146,-26,26,5.65935834E8
large,156,-0.5,0.646516388821599,-36,36,5.67532483E8
large,161,-0.5,0.48052144303476396,-26,26,5.6892709E8
large,166,-0.5,0.6007591140391106,-22,22,5.7041622E8
large,171,-0.5,0.5542878456873446,-21,21,5.71823036E8
large,176,-0.5,0.7401690470209861,-28,28,5.73108547E8
large,181,-0.5,0.7022526080987284,-21,21,5.74520877E8
large,186,-0.5,0.3070318257523379,-20,20,5.75664604E8
large,191,-0.5,0.6223294597586375,-21,21,5.76879617E8
large,196,-0.5,0.7089798218380317,-20,20,5.7839159E8
large,201,-0.5,0.6183609203915825,-20,20,5.79847243E8
large,206,-0.5,0.5620201821257034,-22,22,5.81245394E8
large,211,-0.5,0.6872214082358958,-22,22,5.82389122E8
large,216,-0.5,0.27354153004743154,-21,21,5.83451717E8
large,221,-0.5,0.7278673551147303,-35,35,5.84960145E8
large,226,-0.5,0.6883295429693619,-29,29,5.86351601E8
large,231,-0.5,0.6836783893513056,-21,21,5.87544558E8
large,236,-0.5,0.7942473850687009,-29,29,5.88869849E8
large,241,-0.5,0.7361531548278251,-36,36,5.90039176E8
large,246,-0.5,0.9770502724191328,-28,28,5.91264035E8
large,251,-0.5,0.6641263045708392,-31,31,5.92372316E8
large,256,-0.5,0.2595372602395063,-21,21,5.93851993E8
large,261,-0.5,0.740482262681379,-28,28,5.96259571E8
large,266,-0.5,0.303834878302812,-19,19,5.97788479E8
large,271,-0.5,0.7283517417457617,-26,26,5.99274458E8
large,276,-0.5,0.347852809952645,-31,31,6.00673003E8
large,281,-0.5,0.6409596716097141,-30,30,6.02223179E8
large,286,-0.5,0.7578113210410589,-22,22,6.03837551E8
large,291,-0.5,0.701268550233423,-32,32,6.05475948E8
large,296,-0.5,0.7925676750079376,-22,22,6.06859133E8
large,301,-0.5,0.6424823288534256,-36,36,6.08577087E8
large,306,-0.5,1.1679869294967098,-24,24,6.10161134E8
large,311,-0.5,0.6795645302852833,-27,27,6.11823162E8
large,316,-0.5,0.6074933103537958,-30,30,6.13264242E8
large,321,-0.5,0.889329324476942,-34,34,6.14790787E8
large,326,-0.5,0.6805503105498598,-27,27,6.1639807E8
large,331,-0.5,0.640926886411112,-31,31,6.18027803E8
large,336,-0.5,0.5546202619428939,-29,29,6.19754421E8
large,341,-0.5,0.7041557289492122,-37,37,6.21260486E8
large,346,-0.5,1.084623724738389,-21,21,6.22487315E8
large,351,-0.5,0.8573195836326377,-39,39,6.2418282E8
large,356,-0.5,0.857596936647175,-28,28,6.26546286E8
