gridWorld,iteration,learningRate,lastMaxDelta,rewards,numOfActions,runningTime
small,1,0.1,0.11979010000000001,-326,326,9.6647312E7
small,6,0.1,0.1498496690531972,-210,210,2.89009704E8
small,11,0.1,0.1358788106542994,-126,126,3.63603245E8
small,16,0.1,0.14219413004288128,-806,806,4.71648838E8
small,21,0.1,0.15848760251730232,-152,152,5.17907169E8
small,26,0.1,0.13687315220537766,-860,860,5.55046795E8
small,31,0.1,0.1798645527461482,-104,104,5.87288953E8
small,36,0.1,0.149555757120992,-1898,1898,6.10306857E8
small,41,0.1,0.17799207276267515,-99,99,6.22844927E8
small,46,0.1,0.16747743218980826,-3695,3695,6.89048773E8
small,51,0.1,0.17188323224745528,-146,146,7.55070268E8
small,56,0.1,0.17143928924840424,-59,59,7.67634332E8
small,61,0.1,0.1708346725368557,-71,71,8.36044106E8
small,66,0.1,0.17074447278384852,-335,335,8.45308139E8
small,71,0.1,0.16785704389502065,-77,77,8.63038274E8
small,76,0.1,0.15847895642794363,-42,42,8.76887456E8
small,81,0.1,0.17378349853882646,-37,37,8.92737372E8
small,86,0.1,0.19082432925768877,-44,44,8.98581251E8
small,91,0.1,0.16982635817625003,-254,254,9.08698353E8
small,96,0.1,0.13879469469102013,-40,40,9.18285733E8
small,101,0.1,0.21906283480639654,-68,68,9.26584844E8
small,106,0.1,0.09905232122959884,-24,24,9.40504131E8
small,111,0.1,0.1586266736309243,-697,697,9.67128083E8
small,116,0.1,0.16673577802886186,-44,44,9.78957625E8
small,121,0.1,0.17867066913342278,-2457,2457,1.006058525E9
small,126,0.1,0.15302111121091855,-350,350,1.011270676E9
small,131,0.1,0.16687286372512045,-1848,1848,1.044355663E9
small,136,0.1,0.19635375247441367,-80,80,1.048094832E9
small,141,0.1,0.17819368996291907,-87,87,1.05849314E9
small,146,0.1,0.1976043019727065,-25,25,1.060620693E9
small,151,0.1,0.220274629495252,-57,57,1.06407905E9
small,156,0.1,0.18582361330123298,-104,104,1.077868761E9
small,161,0.1,0.21071902938717435,-145,145,1.08163668E9
small,166,0.1,0.178302123413971,-52,52,1.089752654E9
small,171,0.1,0.1650222312551861,-41,41,1.101649937E9
small,176,0.1,0.16842545205570403,-404,404,1.105577758E9
small,181,0.1,0.1544388115144617,-154,154,1.108194073E9
small,186,0.1,0.23001337843195513,-1481,1481,1.119626225E9
small,191,0.1,0.14922398704115114,-45,45,1.123463855E9
small,196,0.1,0.22380001757580015,-33,33,1.125029391E9
small,201,0.1,0.17140729398249732,-83,83,1.126609105E9
small,206,0.1,0.15584407725348193,-29,29,1.129490479E9
small,211,0.1,0.15341377440141812,-471,471,1.134994075E9
small,216,0.1,0.21623672172349595,-952,952,1.141601226E9
small,221,0.1,0.14440612095252803,-30,30,1.145266746E9
small,226,0.1,0.16857467192087938,-168,168,1.149956264E9
small,231,0.1,0.1434625606007458,-25,25,1.151210268E9
small,236,0.1,0.1791128067681087,-181,181,1.15331419E9
small,241,0.1,0.23643229781940356,-89,89,1.155253879E9
small,246,0.1,0.21050181826775471,-80,80,1.157909579E9
small,251,0.1,0.24099693392429433,-44,44,1.171963166E9
small,256,0.1,0.22261943393891404,-39,39,1.174950484E9
small,261,0.1,0.1632687495454439,-960,960,1.181568663E9
small,266,0.1,0.2205046951170253,-43,43,1.184502024E9
small,271,0.1,0.16424770730141347,-60,60,1.188270338E9
small,276,0.1,0.22543637177783316,-33,33,1.189969781E9
small,281,0.1,0.23089247025287918,-38,38,1.192321826E9
small,286,0.1,0.19636936658036763,-41,41,1.199416952E9
small,291,0.1,0.1758770612367595,-349,349,1.202699653E9
small,296,0.1,0.1103319783296306,-21,21,1.203419997E9
small,301,0.1,0.19258515665703158,-24,24,1.206359659E9
small,306,0.1,0.17003579970781324,-28,28,1.20897243E9
small,311,0.1,0.20958421065403865,-30,30,1.209988157E9
small,316,0.1,0.2788793287055302,-32,32,1.21100743E9
small,321,0.1,0.2176765161330445,-183,183,1.212441421E9
small,326,0.1,0.18964499114560596,-33,33,1.213179881E9
small,331,0.1,0.12584781386417632,-31,31,1.214014046E9
small,336,0.1,0.22122977346037676,-30,30,1.2153736E9
