gridWorld,iteration,epsilon,lastMaxDelta,rewards,numOfActions,runningTime
small,1,0.1,0.1099,-20,20,5.3711068E7
small,5,0.1,0.1108801,-7,7,8.4803986E7
small,9,0.1,0.1382423632013554,-40,40,9.6261738E7
small,13,0.1,0.1283241769605099,-16,16,1.12273131E8
small,17,0.1,0.14093101067988345,-41,41,1.17899213E8
small,21,0.1,0.05296564901944678,-3,3,1.2209091E8
small,25,0.1,0.1650996710679108,-23,23,1.2886072E8
small,29,0.1,0.1753511053268535,-10,10,1.34170544E8
small,33,0.1,0.16995732922597928,-10,10,1.39764331E8
small,37,0.1,0.11936903631077334,-39,39,1.49487194E8
small,41,0.1,0.0210011247564319,-3,3,1.52337847E8
small,45,0.1,0.22495346697866603,-19,19,1.5500812E8
small,49,0.1,0.0991923642293826,-9,9,1.61125327E8
small,53,0.1,0.17468206682126275,-7,7,1.62667232E8
small,57,0.1,0.07964524258793393,-4,4,1.64681358E8
small,61,0.1,0.040229146509543234,-3,3,1.70531932E8
small,65,0.1,0.2180870923957965,-5,5,1.72119129E8
small,69,0.1,0.09645553390147077,-4,4,1.73893009E8
small,73,0.1,0.22187077344833472,-78,78,1.7755459E8
small,77,0.1,0.12310693375975434,-10,10,1.79559658E8
small,81,0.1,0.11031038113867053,-7,7,1.80838474E8
small,85,0.1,0.09748447904111357,-4,4,1.82208662E8
small,89,0.1,0.10637060962604594,-6,6,1.84413409E8
small,93,0.1,0.05053944281634282,-3,3,1.86493701E8
small,97,0.1,0.09858519792594778,-4,4,1.89701966E8
small,101,0.1,0.062200379934836514,-3,3,1.96199628E8
small,105,0.1,0.11288012678048176,-10,10,2.03113979E8
small,109,0.1,0.17968203317040254,-5,5,2.04761434E8
small,113,0.1,0.09727644715358919,-4,4,2.05913826E8
small,117,0.1,0.045159086850202534,-3,3,2.07307251E8
small,121,0.1,0.20333769512204447,-7,7,2.08363151E8
small,125,0.1,0.15234387515638925,-10,10,2.10697079E8
small,129,0.1,0.19892654881191207,-7,7,2.13423278E8
small,133,0.1,0.15935397444027943,-5,5,2.13838785E8
small,137,0.1,0.07024651136626647,-3,3,2.14300371E8
small,141,0.1,0.05003719461146883,-3,3,2.14971878E8
small,145,0.1,0.0453305370195487,-3,3,2.15350363E8
small,149,0.1,0.17838153092130815,-62,62,2.16544503E8
small,153,0.1,0.06850706715262778,-3,3,2.16995062E8
small,157,0.1,0.09757502341359503,-5,5,2.17409387E8
small,1,0.1,0.13143184451209,-169,169,8355431.0
small,5,0.1,0.12758039518511444,-42,42,1.3844849E7
small,9,0.1,0.13441416081839108,-110,110,2.3728007E7
small,13,0.1,0.1440644591822302,-50,50,2.9134717E7
small,17,0.1,0.14516878595177896,-117,117,3.4079053E7
small,21,0.1,0.11968130829344226,-9,9,3.5594964E7
small,25,0.1,0.13227428907822736,-5,5,3.6236145E7
small,29,0.1,0.13281554829430675,-30,30,3.7454309E7
small,33,0.1,0.011031232797469759,-3,3,3.8294381E7
small,37,0.1,0.09708888804146376,-4,4,4.0486919E7
small,41,0.1,0.015564773532624532,-3,3,4.2584933E7
small,45,0.1,0.19707991330688412,-13,13,4.3324969E7
small,49,0.1,0.018475254993441492,-3,3,4.3988598E7
small,53,0.1,0.20299434278271988,-10,10,4.5324522E7
small,57,0.1,0.09891163342809928,-5,5,4.6036595E7
small,61,0.1,0.20301372713387078,-18,18,4.6962132E7
small,65,0.1,0.03133607097783919,-3,3,4.7550537E7
small,69,0.1,0.21079459579754722,-5,5,4.956033E7
small,73,0.1,0.04275638824176253,-3,3,5.0258618E7
small,77,0.1,0.23199547073812576,-6,6,5.1897015E7
small,81,0.1,0.06053623245044326,-3,3,5.3032472E7
small,85,0.1,0.09740397734657735,-4,4,5.3553529E7
small,89,0.1,0.040294066130998285,-3,3,5.4079707E7
small,93,0.1,0.1098900782962895,-6,6,5.4560198E7
small,97,0.1,0.06618163048404746,-4,4,5.5384517E7
small,101,0.1,0.03701324416475282,-3,3,5.5846891E7
small,105,0.1,0.027177078775836083,-3,3,5.6644428E7
small,109,0.1,0.04838042636504758,-3,3,5.7166667E7
small,113,0.1,0.04621355223167489,-3,3,5.8890923E7
small,117,0.1,0.032665510004146636,-3,3,5.931667E7
small,121,0.1,0.12921658425176563,-30,30,6.0367056E7
small,125,0.1,0.04110120193039579,-3,3,6.0798316E7
small,129,0.1,0.04293043556297205,-3,3,6.1212248E7
small,133,0.1,0.09608474848054316,-4,4,6.1967644E7
small,137,0.1,0.06305970020662421,-4,4,6.434135E7
small,141,0.1,0.15476530050052117,-8,8,6.4798605E7
small,145,0.1,0.04481864890110643,-3,3,6.5172758E7
small,149,0.1,0.035274313762104104,-3,3,6.5605988E7
small,153,0.1,0.15281207054248336,-9,9,6.6487414E7
small,157,0.1,0.09789422684843485,-5,5,6.7064004E7
small,1,0.1,0.1099,-38,38,1370188.0
small,5,0.1,0.08138942142177175,-3,3,1.1083993E7
small,9,0.1,0.1059256230626513,-24,24,1.4641599E7
small,13,0.1,0.1533418867970444,-28,28,1.7294148E7
small,17,0.1,0.15693401835217613,-103,103,2.1275138E7
small,21,0.1,0.19359175141908058,-54,54,2.4443231E7
small,25,0.1,0.09903373049942532,-6,6,2.7262376E7
small,29,0.1,0.1291193601241165,-13,13,2.7944123E7
small,33,0.1,0.006524068514763837,-3,3,2.8343482E7
small,37,0.1,0.16286352891972444,-77,77,3.1593495E7
small,41,0.1,0.09852836184734803,-5,5,3.2365038E7
small,45,0.1,0.0417691004292331,-3,3,3.29562E7
small,49,0.1,0.1018864191072435,-6,6,3.3601713E7
small,53,0.1,0.0965039871521931,-5,5,3.4867138E7
small,57,0.1,0.021750862873484156,-3,3,3.5676097E7
small,61,0.1,0.09652308042573843,-4,4,3.6122717E7
small,65,0.1,0.039051686405702,-3,3,3.7301497E7
small,69,0.1,0.09866384810360662,-4,4,3.7752844E7
small,73,0.1,0.03169806777382478,-3,3,3.8219551E7
small,77,0.1,0.12634880185450847,-8,8,3.8883574E7
small,81,0.1,0.09317443020883154,-4,4,3.9413296E7
small,85,0.1,0.20523858654734317,-8,8,4.0712986E7
small,89,0.1,0.21113297549419707,-12,12,4.2230079E7
small,93,0.1,0.09719650884706654,-4,4,4.3347419E7
small,97,0.1,0.04652086208130557,-3,3,4.4389534E7
small,101,0.1,0.1669785694270307,-61,61,4.7664752E7
small,105,0.1,0.05475211956011261,-3,3,4.8379976E7
small,109,0.1,0.09752334904555315,-5,5,4.9199962E7
small,113,0.1,0.2322917577566468,-7,7,4.9600897E7
small,117,0.1,0.08803479152205629,-5,5,5.004161E7
small,121,0.1,0.05647668428784147,-3,3,5.0458298E7
small,125,0.1,0.05272830330777434,-4,4,5.0802125E7
small,129,0.1,0.054595215848700196,-3,3,5.1243232E7
small,133,0.1,0.09578731578687716,-4,4,5.2169557E7
small,137,0.1,0.09720691034033901,-4,4,5.2822159E7
small,141,0.1,0.09871442964160448,-4,4,5.3132509E7
