gridWorld,strategy,maxIteration,gamma,lastMaxDelta,rewards,numOfActions,runningTime
small,Q,1,0.8,0.1,-15,15,4.9420122E7
small,Q,1,0.8,0.10800000000000001,-20,20,7449587.0
small,Q,1,0.8,0.10800000000000001,-70,70,1.5862913E7
small,Q,1,0.8,0.1,-12,12,2210654.0
small,Q,1,0.8,0.11520000000000002,-22,22,2548968.0
small,Q,1,0.8,0.1,-15,15,2200808.0
small,Q,1,0.8,0.10800000000000001,-76,76,6845428.0
small,Q,1,0.8,0.10800000000000001,-41,41,3901827.0
small,Q,1,0.8,0.1,-7,7,920417.0
small,Q,1,0.8,0.10800000000000001,-60,60,4479992.0
small,Q,1,0.8,0.11520000000000002,-71,71,5526440.0
small,Q,1,0.8,0.10864000000000001,-73,73,4593813.0
small,Q,1,0.8,0.10800000000000001,-28,28,1856981.0
small,Q,1,0.8,0.1,-12,12,792023.0
small,Q,1,0.8,0.10800000000000001,-19,19,1366250.0
small,Q,1,0.8,0.1,-8,8,684897.0
small,Q,1,0.8,0.10800000000000001,-22,22,1307961.0
small,Q,1,0.8,0.11520000000000002,-127,127,7052984.0
small,Q,1,0.8,0.1,-7,7,663629.0
small,Q,1,0.8,0.1,-6,6,420627.0
small,Q,1,0.9,0.10900000000000001,-24,24,1263456.0
small,Q,1,0.9,0.1267309,-95,95,5245233.0
small,Q,1,0.9,0.11710000000000001,-59,59,4341752.0
small,Q,1,0.9,0.10900000000000001,-9,9,543507.0
small,Q,1,0.9,0.1,-21,21,1081894.0
small,Q,1,0.9,0.10900000000000001,-23,23,1140970.0
small,Q,1,0.9,0.10900000000000001,-43,43,2307541.0
small,Q,1,0.9,0.1,-21,21,1071654.0
small,Q,1,0.9,0.1,-9,9,822743.0
small,Q,1,0.9,0.10900000000000001,-12,12,1150029.0
small,Q,1,0.9,0.1,-26,26,1246127.0
small,Q,1,0.9,0.11710000000000001,-56,56,2579294.0
small,Q,1,0.9,0.10900000000000001,-71,71,3683242.0
small,Q,1,0.9,0.10981000000000002,-60,60,2487528.0
small,Q,1,0.9,0.1,-6,6,417082.0
small,Q,1,0.9,0.1,-20,20,830620.0
small,Q,1,0.9,0.10900000000000001,-11,11,487187.0
small,Q,1,0.9,0.11710000000000001,-19,19,864097.0
small,Q,1,0.9,0.1,-3,3,168960.0
small,Q,1,0.9,0.1,-37,37,1481646.0
small,Q,1,0.99,0.1,-9,9,392270.0
small,Q,1,0.99,0.1,-9,9,886546.0
small,Q,1,0.99,0.11979010000000001,-75,75,2968807.0
small,Q,1,0.99,0.11881,-77,77,3505225.0
small,Q,1,0.99,0.1099,-58,58,2325658.0
small,Q,1,0.99,0.1,-15,15,648270.0
small,Q,1,0.99,0.1,-10,10,515938.0
small,Q,1,0.99,0.1099,-37,37,1505672.0
small,Q,1,0.99,0.1099,-49,49,2053117.0
small,Q,1,0.99,0.1099,-43,43,1682113.0
small,Q,1,0.99,0.1,-9,9,350916.0
small,Q,1,0.99,0.11155151781,-105,105,4339783.0
small,Q,1,0.99,0.11881,-38,38,1362311.0
small,Q,1,0.99,0.11881,-28,28,1126792.0
small,Q,1,0.99,0.1,-5,5,320984.0
small,Q,1,0.99,0.1099,-15,15,636454.0
small,Q,1,0.99,0.1,-9,9,571863.0
small,Q,1,0.99,0.1,-23,23,871974.0
small,Q,1,0.99,0.1099,-16,16,588405.0
small,Q,1,0.99,0.1099,-16,16,572257.0
small,Q,31,0.8,0.10915879997814804,-21,21,3.8725642E7
small,Q,31,0.8,0.09432127431259474,-11,11,3.9900877E7
small,Q,31,0.8,0.0646327528865609,-5,5,2.5372312E7
small,Q,31,0.8,0.07274419808261978,-19,19,2.9004355E7
small,Q,31,0.8,0.08084009957247051,-13,13,1.7203169E7
small,Q,31,0.8,0.06591796753258539,-5,5,2.0419705E7
small,Q,31,0.8,0.06692462796219867,-4,4,1.9299609E7
small,Q,31,0.8,0.15530348959775186,-13,13,1.5458041E7
small,Q,31,0.8,0.06339449768669514,-4,4,1.2220237E7
small,Q,31,0.8,0.1119984176017439,-84,84,1.6629337E7
small,Q,31,0.8,0.011261201477483329,-3,3,1.5265056E7
small,Q,31,0.8,0.13503177860055215,-9,9,1.0950873E7
small,Q,31,0.8,0.025098547961561746,-3,3,1.22482E7
small,Q,31,0.8,0.06547039398457244,-6,6,1.5058287E7
small,Q,31,0.8,0.0835136762983345,-12,12,1.5638816E7
small,Q,31,0.8,0.11331498680964858,-30,30,1.6394999E7
small,Q,31,0.8,0.06752296483374343,-5,5,1.5336342E7
small,Q,31,0.8,0.10897696983890981,-56,56,1.5383604E7
small,Q,31,0.8,0.0659200219694791,-5,5,1.1604263E7
small,Q,31,0.8,0.14631648073614223,-8,8,1.1513678E7
