gridWorld,iteration,initQ,lastMaxDelta,rewards,numOfActions,runningTime
small,1,-0.5,0.2985,-6,6,3.4638708E7
small,5,-0.5,0.4726940581683283,-31,31,6.6024252E7
small,9,-0.5,0.293790030699808,-6,6,7.2991378E7
small,13,-0.5,0.48221083559084477,-12,12,7.7117303E7
small,17,-0.5,0.2911151718349947,-8,8,8.0939574E7
small,21,-0.5,0.46979035095320887,-87,87,8.6065866E7
small,25,-0.5,0.7161868684291435,-5,5,8.798665E7
small,29,-0.5,0.6969360670776152,-9,9,9.0201637E7
small,33,-0.5,0.11999128280834981,-3,3,9.1576946E7
small,37,-0.5,0.2888481946396255,-5,5,9.2600944E7
small,41,-0.5,0.29081550856338234,-6,6,9.3525693E7
small,45,-0.5,0.47723281918140414,-7,7,9.4465408E7
small,49,-0.5,0.2235868541006707,-3,3,9.6512223E7
small,53,-0.5,0.48221904397342374,-4,4,9.8178977E7
small,57,-0.5,0.15838333809319538,-3,3,1.0016002E8
small,61,-0.5,0.14065034476048455,-3,3,1.0136243E8
small,65,-0.5,0.8787394419674031,-9,9,1.02978771E8
small,69,-0.5,0.33126920261845694,-6,6,1.04163459E8
small,73,-0.5,0.289801766853901,-5,5,1.04899162E8
small,77,-0.5,0.7168026769653391,-8,8,1.0584636E8
small,81,-0.5,0.17466613487543903,-3,3,1.06546224E8
small,85,-0.5,0.24287168398317815,-3,3,1.07196856E8
small,89,-0.5,0.29694846084534987,-4,4,1.0785576E8
small,93,-0.5,0.4898222374566896,-6,6,1.08725764E8
small,97,-0.5,0.2934830632405432,-7,7,1.11103016E8
small,101,-0.5,0.544910354674029,-8,8,1.11894251E8
small,105,-0.5,0.1875895283851312,-3,3,1.13735872E8
small,109,-0.5,0.2988291398324132,-3,3,1.15525112E8
small,113,-0.5,0.21658763137610038,-3,3,1.16125727E8
small,117,-0.5,0.20919941223786664,-3,3,1.16881122E8
small,121,-0.5,0.2921966116152186,-5,5,1.17741674E8
small,125,-0.5,0.2917557902716439,-4,4,1.18411606E8
small,129,-0.5,0.2596085872830791,-5,5,1.19243013E8
small,133,-0.5,0.4378426385634451,-8,8,1.20283159E8
small,137,-0.5,0.22993391379689365,-3,3,1.21021619E8
small,141,-0.5,0.24821316371038504,-6,6,1.21781347E8
small,145,-0.5,0.5294275331200993,-10,10,1.22900656E8
small,149,-0.5,0.18801641616874898,-3,3,1.23428803E8
small,153,-0.5,0.6978706655005023,-6,6,1.24572136E8
small,157,-0.5,0.26472342978010754,-3,3,1.25186929E8
small,1,-0.5,0.44921265,-114,114,5348422.0
small,5,-0.5,0.5064409424244574,-110,110,1.5499788E7
small,9,-0.5,0.46127499202904687,-16,16,1.7363465E7
small,13,-0.5,0.07217752039630976,-3,3,2.2220761E7
small,17,-0.5,0.6421792503930872,-5,5,2.4178567E7
small,21,-0.5,0.5168474767279339,-5,5,2.6781885E7
small,25,-0.5,0.7314575742707561,-15,15,3.0584069E7
small,29,-0.5,0.2917889191823715,-4,4,3.2652152E7
small,33,-0.5,0.7142752979165188,-6,6,3.4559939E7
small,37,-0.5,0.10486764247252434,-3,3,3.6192035E7
small,41,-0.5,0.19517498150188128,-3,3,3.7989545E7
small,45,-0.5,0.5472268711422017,-13,13,3.9483401E7
small,49,-0.5,0.07324759414563564,-3,3,4.0203744E7
small,53,-0.5,0.0779749057019512,-3,3,4.0865011E7
small,57,-0.5,0.4180177860514791,-6,6,4.1850412E7
small,61,-0.5,0.6916686193509358,-9,9,4.3009893E7
small,65,-0.5,0.2873532347755505,-11,11,4.539384E7
small,69,-0.5,0.17917618894282583,-3,3,4.6457617E7
small,73,-0.5,0.2913241601130019,-4,4,4.7907756E7
small,77,-0.5,0.6512701327701527,-5,5,4.9586325E7
small,81,-0.5,0.2861404037727544,-4,4,5.2367268E7
small,85,-0.5,0.6050047855161884,-26,26,5.4351461E7
small,89,-0.5,0.552095344330475,-8,8,5.8544734E7
small,93,-0.5,0.671970994529759,-45,45,6.234613E7
small,97,-0.5,0.2286617494642762,-3,3,6.4062115E7
small,101,-0.5,0.29553178664261215,-4,4,6.5116045E7
small,105,-0.5,0.29140865958733864,-4,4,6.6110111E7
small,109,-0.5,0.7980233856126078,-8,8,6.6846996E7
small,113,-0.5,0.13759750951446392,-3,3,6.8267596E7
small,117,-0.5,0.11348462658153169,-3,3,6.8807952E7
small,121,-0.5,0.08970006777381467,-3,3,6.9377059E7
small,125,-0.5,0.38111554097637335,-4,4,6.9970978E7
small,129,-0.5,0.1991434343036138,-3,3,7.075985E7
small,133,-0.5,0.3689173925954252,-5,5,7.1591258E7
small,137,-0.5,0.18561407513687955,-3,3,7.2333263E7
small,141,-0.5,0.19350215449114927,-3,3,7.3046911E7
small,145,-0.5,0.08922448179737374,-3,3,7.3631771E7
small,149,-0.5,0.28954004411207723,-6,6,7.4285555E7
