gridWorld,iteration,learningRate,lastMaxDelta,rewards,numOfActions,runningTime
small,1,0.1,0.1099,-12,12,2.8243052E7
small,5,0.1,0.12828940097408997,-67,67,5.3320767E7
small,9,0.1,0.16545196478751872,-83,83,6.3649364E7
small,13,0.1,0.1239548289742905,-16,16,6.5432697E7
small,17,0.1,0.09822427364142783,-5,5,6.7731966E7
small,21,0.1,0.09827543269299177,-5,5,7.1980377E7
small,25,0.1,0.1416616684456491,-47,47,7.847095E7
small,29,0.1,0.1427685613360281,-5,5,8.0940755E7
small,33,0.1,0.09722473034600077,-4,4,8.3048616E7
small,37,0.1,0.1795312783858578,-17,17,8.4820921E7
small,41,0.1,0.17425639057628062,-77,77,8.7896854E7
small,45,0.1,0.09705262992625707,-6,6,9.0290646E7
small,49,0.1,0.15620038226116684,-40,40,9.2807319E7
small,53,0.1,0.09607294047804738,-7,7,9.3880548E7
small,57,0.1,0.046038030546098785,-3,3,9.4883278E7
small,61,0.1,0.09756475602133952,-4,4,9.5531548E7
small,65,0.1,0.09758066364531137,-6,6,9.6495682E7
small,69,0.1,0.22296799106046228,-7,7,9.7715815E7
small,73,0.1,0.09851252703908986,-5,5,9.8277438E7
small,77,0.1,0.193389779931175,-5,5,1.00513299E8
small,81,0.1,0.063216945345697,-3,3,1.01924841E8
small,85,0.1,0.06156297029111446,-4,4,1.03422635E8
small,89,0.1,0.19763999955870815,-8,8,1.04302486E8
small,93,0.1,0.13041992456394014,-10,10,1.04913734E8
small,97,0.1,0.08601283750928723,-5,5,1.06015714E8
small,101,0.1,0.2505490507344814,-15,15,1.066821E8
small,105,0.1,0.09567118157186627,-5,5,1.09057776E8
small,109,0.1,0.05708979811860582,-4,4,1.09443745E8
small,113,0.1,0.0959669779231227,-4,4,1.09911239E8
small,117,0.1,0.24349237979286453,-5,5,1.10487829E8
small,121,0.1,0.07484553310846875,-5,5,1.11418486E8
small,125,0.1,0.04248706558597126,-3,3,1.12258952E8
small,129,0.1,0.21952733599761487,-5,5,1.13060821E8
small,133,0.1,0.09609641790038159,-5,5,1.13822912E8
small,137,0.1,0.17104048474546207,-23,23,1.15160018E8
small,141,0.1,0.045218214222973785,-3,3,1.15854761E8
small,145,0.1,0.03888635900187598,-3,3,1.16992975E8
small,149,0.1,0.09863183221441174,-4,4,1.18004763E8
small,153,0.1,0.111459626971671,-5,5,1.18733378E8
small,157,0.1,0.09739573365197973,-5,5,1.19328084E8
small,1,0.1,0.1,-4,4,697107.0
small,5,0.1,0.09990000000000002,-10,10,6071522.0
small,9,0.1,0.12243237399534457,-18,18,8518878.0
small,13,0.1,0.14949179187570483,-64,64,1.2794858E7
small,17,0.1,0.12479195956186329,-17,17,1.7586775E7
small,21,0.1,0.0896202650028104,-4,4,1.9102687E7
