gridWorld,strategy,numIncentiveLoc,incentive,lastMaxDelta,rewards,numOfActions,runningTime
large,valueIteration,1,0.0,0.0,-23,23,1.649691009E9
large,valueIteration,1,0.0,0.0,-28,28,1.389827838E9
large,valueIteration,1,0.0,0.0,-22,22,1.081417702E9
large,valueIteration,1,0.0,0.0,-15,15,1.465550535E9
large,valueIteration,1,0.0,0.0,-29,29,9.30704074E8
large,valueIteration,1,0.0,0.0,-18,18,8.14005302E8
large,valueIteration,1,0.0,0.0,-24,24,1.269968063E9
large,valueIteration,1,0.0,0.0,-20,20,1.187591742E9
large,valueIteration,1,0.0,0.0,-23,23,8.16052511E8
large,valueIteration,1,0.0,0.0,-31,31,1.100264389E9
large,valueIteration,1,0.5,0.0,-28,28,9.36246267E8
large,valueIteration,1,0.5,0.0,-18,18,1.066432276E9
large,valueIteration,1,0.5,0.0,-22,22,1.070662964E9
large,valueIteration,1,0.5,0.0,-25,25,8.36505693E8
large,valueIteration,1,0.5,0.0,-20,20,8.21400932E8
large,valueIteration,1,0.5,0.0,-16,16,9.72510375E8
large,valueIteration,1,0.5,0.0,-19,19,9.32653608E8
large,valueIteration,1,0.5,0.0,-37,37,1.075846364E9
large,valueIteration,1,0.5,0.0,-17,17,9.89202726E8
large,valueIteration,1,0.5,0.0,-20,20,9.19125805E8
large,valueIteration,1,1.0,0.0018900873704943422,-29,29,8.14193954E8
large,valueIteration,1,1.0,0.0018900873704943422,-20,20,1.326631396E9
large,valueIteration,1,1.0,0.0018900873704943422,-18,18,8.27904502E8
large,valueIteration,1,1.0,0.0018900873704943422,-18,18,8.21701042E8
large,valueIteration,1,1.0,0.0018900873704943422,-17,17,8.15788241E8
large,valueIteration,1,1.0,0.0018900873704943422,-21,21,8.12828098E8
large,valueIteration,1,1.0,0.0018900873704943422,-26,26,8.1553421E8
large,valueIteration,1,1.0,0.0018900873704943422,-24,24,8.1513682E8
large,valueIteration,1,1.0,0.0018900873704943422,-22,22,1.090000382E9
large,valueIteration,1,1.0,0.0018900873704943422,-16,16,1.07416425E9
large,valueIteration,1,1.15,4.395868913631418E-4,-23,23,8.16795304E8
large,valueIteration,1,1.15,4.395868913631418E-4,-18,18,1.098453487E9
large,valueIteration,1,1.15,4.395868913631418E-4,-27,27,8.16641703E8
large,valueIteration,1,1.15,4.395868913631418E-4,-18,18,1.074800311E9
large,valueIteration,1,1.15,4.395868913631418E-4,-19,19,1.121790406E9
