gridWorld,strategy,maxIteration,gamma,lastMaxDelta,rewards,numOfActions,runningTime
large,valueIteration,15,0.8,0.04089368580912556,-270,270,3.47921106E8
large,valueIteration,15,0.8,0.04089368580912556,-7962,7962,1.33227678E8
large,valueIteration,15,0.8,0.04089368580912556,-15170,15170,5.8169004E7
large,valueIteration,15,0.8,0.04089368580912556,-159,159,3.7679195E7
large,valueIteration,15,0.8,0.04089368580912556,-118,118,4.0564507E7
large,valueIteration,15,0.8,0.04089368580912556,-39,39,3.9805566E7
large,valueIteration,15,0.8,0.04089368580912556,-302,302,4.1668849E7
large,valueIteration,15,0.8,0.04089368580912556,-60,60,3.674775E7
large,valueIteration,15,0.8,0.04089368580912556,-32,32,3.531691E7
large,valueIteration,15,0.8,0.04089368580912556,-303,303,3.5285402E7
large,valueIteration,15,0.9,0.22894342486161,-261,261,3.7486211E7
large,valueIteration,15,0.9,0.22894342486161,-304024,304024,3.5351569E7
large,valueIteration,15,0.9,0.22894342486161,-40,40,3.5329119E7
large,valueIteration,15,0.9,0.22894342486161,-12743,12743,5.0695E7
large,valueIteration,15,0.9,0.22894342486161,-57,57,3.5017981E7
large,valueIteration,15,0.9,0.22894342486161,-110,110,3.5201119E7
large,valueIteration,15,0.9,0.22894342486161,-10943,10943,3.5326362E7
large,valueIteration,15,0.9,0.22894342486161,-44,44,3.464304E7
large,valueIteration,15,0.9,0.22894342486161,-3811,3811,3.4431939E7
large,valueIteration,15,0.9,0.22894342486161,-24529,24529,3.4591053E7
large,valueIteration,15,0.99,0.9567314125749746,-4492,4492,3.4288185E7
large,valueIteration,15,0.99,0.9567314125749746,-6644,6644,6.8800469E7
large,valueIteration,15,0.99,0.9567314125749746,-81,81,6.4398852E7
large,valueIteration,15,0.99,0.9567314125749746,-188,188,6.2530449E7
large,valueIteration,15,0.99,0.9567314125749746,-185,185,6.1734488E7
large,valueIteration,15,0.99,0.9567314125749746,-123,123,6.183413E7
large,valueIteration,15,0.99,0.9567314125749746,-1804,1804,6.2245699E7
large,valueIteration,15,0.99,0.9567314125749746,-71,71,6.0948372E7
large,valueIteration,15,0.99,0.9567314125749746,-16169,16169,8.8113075E7
large,valueIteration,15,0.99,0.9567314125749746,-4079,4079,3.2429629E7
large,valueIteration,30,0.8,0.0011385919281998724,-28,28,6.3032996E7
large,valueIteration,30,0.8,0.0011385919281998724,-18,18,6.2584013E7
large,valueIteration,30,0.8,0.0011385919281998724,-18,18,6.2692319E7
large,valueIteration,30,0.8,0.0011385919281998724,-26,26,6.2495791E7
large,valueIteration,30,0.8,0.0011385919281998724,-24,24,6.271595E7
large,valueIteration,30,0.8,0.0011385919281998724,-19,19,6.2245305E7
large,valueIteration,30,0.8,0.0011385919281998724,-19,19,6.1837281E7
large,valueIteration,30,0.8,0.0011385919281998724,-23,23,6.1774266E7
large,valueIteration,30,0.8,0.0011385919281998724,-17,17,6.2423717E7
large,valueIteration,30,0.8,0.0011385919281998724,-24,24,1.01089495E8
large,valueIteration,30,0.9,0.04205069475763423,-23,23,1.18008308E8
large,valueIteration,30,0.9,0.04205069475763423,-22,22,6.7302674E7
large,valueIteration,30,0.9,0.04205069475763423,-18,18,6.2124001E7
large,valueIteration,30,0.9,0.04205069475763423,-21,21,6.2251607E7
large,valueIteration,30,0.9,0.04205069475763423,-20,20,6.2188591E7
large,valueIteration,30,0.9,0.04205069475763423,-25,25,6.2217736E7
large,valueIteration,30,0.9,0.04205069475763423,-16,16,7.3946454E7
large,valueIteration,30,0.9,0.04205069475763423,-25,25,6.1978671E7
large,valueIteration,30,0.9,0.04205069475763423,-21,21,6.2284296E7
large,valueIteration,30,0.9,0.04205069475763423,-24,24,6.200112E7
large,valueIteration,30,0.99,0.8071829792009773,-19,19,6.2157084E7
large,valueIteration,30,0.99,0.8071829792009773,-22,22,6.2901058E7
large,valueIteration,30,0.99,0.8071829792009773,-26,26,6.2871913E7
large,valueIteration,30,0.99,0.8071829792009773,-15,15,6.3049144E7
large,valueIteration,30,0.99,0.8071829792009773,-29,29,6.3286239E7
large,valueIteration,30,0.99,0.8071829792009773,-21,21,6.223664E7
large,valueIteration,30,0.99,0.8071829792009773,-20,20,6.2269723E7
large,valueIteration,30,0.99,0.8071829792009773,-20,20,6.2280357E7
large,valueIteration,30,0.99,0.8071829792009773,-23,23,6.2595433E7
large,valueIteration,30,0.99,0.8071829792009773,-22,22,6.2389452E7
large,valueIteration,45,0.8,3.1772101232618866E-5,-18,18,9.2321707E7
large,valueIteration,45,0.8,3.1772101232618866E-5,-24,24,9.2402839E7
large,valueIteration,45,0.8,3.1772101232618866E-5,-28,28,9.2446162E7
large,valueIteration,45,0.8,3.1772101232618866E-5,-28,28,9.2262236E7
large,valueIteration,45,0.8,3.1772101232618866E-5,-22,22,1.46399052E8
large,valueIteration,45,0.8,3.1772101232618866E-5,-26,26,1.71278662E8
large,valueIteration,45,0.8,3.1772101232618866E-5,-18,18,1.77314738E8
large,valueIteration,45,0.8,3.1772101232618866E-5,-36,36,1.76929951E8
large,valueIteration,45,0.8,3.1772101232618866E-5,-17,17,1.77032351E8
large,valueIteration,45,0.8,3.1772101232618866E-5,-22,22,1.78213887E8
large,valueIteration,45,0.9,0.007726511037299488,-19,19,1.77490393E8
large,valueIteration,45,0.9,0.007726511037299488,-17,17,1.8415032E8
large,valueIteration,45,0.9,0.007726511037299488,-25,25,1.50541518E8
large,valueIteration,45,0.9,0.007726511037299488,-19,19,1.01382909E8
large,valueIteration,45,0.9,0.007726511037299488,-16,16,9.207004E7
large,valueIteration,45,0.9,0.007726511037299488,-25,25,9.2179135E7
large,valueIteration,45,0.9,0.007726511037299488,-19,19,9.1991271E7
large,valueIteration,45,0.9,0.007726511037299488,-22,22,9.2004268E7
large,valueIteration,45,0.9,0.007726511037299488,-21,21,9.2094064E7
large,valueIteration,45,0.9,0.007726511037299488,-15,15,9.2067283E7
large,valueIteration,45,0.99,0.6791159299907008,-19,19,9.2569436E7
large,valueIteration,45,0.99,0.6791159299907008,-28,28,9.5179056E7
large,valueIteration,45,0.99,0.6791159299907008,-20,20,9.183452E7
large,valueIteration,45,0.99,0.6791159299907008,-16,16,9.1893991E7
large,valueIteration,45,0.99,0.6791159299907008,-20,20,9.1984575E7
large,valueIteration,45,0.99,0.6791159299907008,-19,19,9.1677376E7
large,valueIteration,45,0.99,0.6791159299907008,-26,26,9.228508E7
large,valueIteration,45,0.99,0.6791159299907008,-22,22,9.2047591E7
large,valueIteration,45,0.99,0.6791159299907008,-26,26,1.05534435E8
large,valueIteration,45,0.99,0.6791159299907008,-31,31,9.2264206E7
large,valueIteration,60,0.8,2.6788864460058903E-9,-22,22,1.22262626E8
large,valueIteration,60,0.8,2.6788864460058903E-9,-18,18,1.22242541E8
large,valueIteration,60,0.8,2.6788864460058903E-9,-19,19,1.22579279E8
large,valueIteration,60,0.8,2.6788864460058903E-9,-25,25,1.35248499E8
large,valueIteration,60,0.8,2.6788864460058903E-9,-29,29,1.30888236E8
large,valueIteration,60,0.8,2.6788864460058903E-9,-17,17,1.23407535E8
large,valueIteration,60,0.8,2.6788864460058903E-9,-19,19,1.22596214E8
large,valueIteration,60,0.8,2.6788864460058903E-9,-15,15,1.2262457E8
large,valueIteration,60,0.8,2.6788864460058903E-9,-18,18,1.21903439E8
large,valueIteration,60,0.8,2.6788864460058903E-9,-20,20,1.23003844E8
large,valueIteration,60,0.9,2.3117060758082175E-5,-24,24,1.23332311E8
large,valueIteration,60,0.9,2.3117060758082175E-5,-27,27,1.54622545E8
large,valueIteration,60,0.9,2.3117060758082175E-5,-20,20,2.41098797E8
large,valueIteration,60,0.9,2.3117060758082175E-5,-22,22,1.79669146E8
large,valueIteration,60,0.9,2.3117060758082175E-5,-27,27,2.43974657E8
large,valueIteration,60,0.9,2.3117060758082175E-5,-29,29,1.97642678E8
large,valueIteration,60,0.9,2.3117060758082175E-5,-31,31,1.22949887E8
large,valueIteration,60,0.9,2.3117060758082175E-5,-19,19,1.22571795E8
large,valueIteration,60,0.9,2.3117060758082175E-5,-22,22,1.22544226E8
large,valueIteration,60,0.9,2.3117060758082175E-5,-19,19,1.2729794E8
large,valueIteration,60,0.99,0.044621158210631506,-22,22,1.35472597E8
large,valueIteration,60,0.99,0.044621158210631506,-23,23,1.29671647E8
large,valueIteration,60,0.99,0.044621158210631506,-17,17,1.22643475E8
large,valueIteration,60,0.99,0.044621158210631506,-21,21,1.22446158E8
large,valueIteration,60,0.99,0.044621158210631506,-20,20,1.22379598E8
large,valueIteration,60,0.99,0.044621158210631506,-23,23,1.22840792E8
large,valueIteration,60,0.99,0.044621158210631506,-24,24,1.22382749E8
large,valueIteration,60,0.99,0.044621158210631506,-23,23,1.22350454E8
large,valueIteration,60,0.99,0.044621158210631506,-23,23,1.22208276E8
large,valueIteration,60,0.99,0.044621158210631506,-26,26,1.22587155E8
large,valueIteration,75,0.8,0.0,-17,17,1.52654893E8
large,valueIteration,75,0.8,0.0,-18,18,1.52687976E8
large,valueIteration,75,0.8,0.0,-29,29,1.54350791E8
large,valueIteration,75,0.8,0.0,-20,20,1.60100147E8
large,valueIteration,75,0.8,0.0,-18,18,1.52699003E8
large,valueIteration,75,0.8,0.0,-20,20,1.60894533E8
large,valueIteration,75,0.8,0.0,-20,20,1.53121206E8
large,valueIteration,75,0.8,0.0,-19,19,1.52814006E8
large,valueIteration,75,0.8,0.0,-16,16,1.52845907E8
large,valueIteration,75,0.8,0.0,-18,18,1.52706486E8
large,valueIteration,75,0.9,9.542588941258145E-12,-21,21,1.52988086E8
large,valueIteration,75,0.9,9.542588941258145E-12,-20,20,1.52694671E8
large,valueIteration,75,0.9,9.542588941258145E-12,-21,21,1.52862055E8
large,valueIteration,75,0.9,9.542588941258145E-12,-23,23,1.52650166E8
large,valueIteration,75,0.9,9.542588941258145E-12,-20,20,1.52593453E8
large,valueIteration,75,0.9,9.542588941258145E-12,-17,17,1.57262097E8
large,valueIteration,75,0.9,9.542588941258145E-12,-21,21,1.53456368E8
large,valueIteration,75,0.9,9.542588941258145E-12,-17,17,1.60068245E8
large,valueIteration,75,0.9,9.542588941258145E-12,-18,18,1.52536345E8
large,valueIteration,75,0.9,9.542588941258145E-12,-24,24,1.52795495E8
large,valueIteration,75,0.99,2.0086820029519004E-7,-17,17,1.52656468E8
large,valueIteration,75,0.99,2.0086820029519004E-7,-23,23,1.53611543E8
large,valueIteration,75,0.99,2.0086820029519004E-7,-20,20,1.52851028E8
large,valueIteration,75,0.99,2.0086820029519004E-7,-22,22,1.52616689E8
large,valueIteration,75,0.99,2.0086820029519004E-7,-19,19,1.52682068E8
large,valueIteration,75,0.99,2.0086820029519004E-7,-15,15,1.52805735E8
large,valueIteration,75,0.99,2.0086820029519004E-7,-18,18,1.56871402E8
large,valueIteration,75,0.99,2.0086820029519004E-7,-25,25,1.52434733E8
large,valueIteration,75,0.99,2.0086820029519004E-7,-21,21,1.56085681E8
large,valueIteration,75,0.99,2.0086820029519004E-7,-17,17,1.52575336E8
large,valueIteration,90,0.8,0.0,-16,16,1.82852599E8
large,valueIteration,90,0.8,0.0,-17,17,1.82995959E8
large,valueIteration,90,0.8,0.0,-27,27,1.82909313E8
large,valueIteration,90,0.8,0.0,-19,19,1.82863626E8
large,valueIteration,90,0.8,0.0,-22,22,1.82905768E8
large,valueIteration,90,0.8,0.0,-15,15,1.82818729E8
large,valueIteration,90,0.8,0.0,-26,26,1.8689621E8
large,valueIteration,90,0.8,0.0,-26,26,1.83905742E8
large,valueIteration,90,0.8,0.0,-21,21,1.86671719E8
large,valueIteration,90,0.8,0.0,-22,22,1.82766347E8
large,valueIteration,90,0.9,0.0,-17,17,1.82899073E8
large,valueIteration,90,0.9,0.0,-24,24,1.83263774E8
large,valueIteration,90,0.9,0.0,-18,18,1.83003442E8
large,valueIteration,90,0.9,0.0,-32,32,1.82754532E8
large,valueIteration,90,0.9,0.0,-18,18,1.84969124E8
large,valueIteration,90,0.9,0.0,-24,24,1.82916008E8
large,valueIteration,90,0.9,0.0,-17,17,1.86245184E8
large,valueIteration,90,0.9,0.0,-21,21,1.82116502E8
large,valueIteration,90,0.9,0.0,-27,27,1.81910914E8
large,valueIteration,90,0.9,0.0,-19,19,1.81725019E8
large,valueIteration,90,0.99,2.0961010704922955E-12,-27,27,1.82383135E8
large,valueIteration,90,0.99,2.0961010704922955E-12,-17,17,1.83579244E8
large,valueIteration,90,0.99,2.0961010704922955E-12,-21,21,1.86140814E8
large,valueIteration,90,0.99,2.0961010704922955E-12,-20,20,1.82554064E8
large,valueIteration,90,0.99,2.0961010704922955E-12,-17,17,1.83540253E8
large,valueIteration,90,0.99,2.0961010704922955E-12,-19,19,1.8234572E8
large,valueIteration,90,0.99,2.0961010704922955E-12,-26,26,1.82474114E8
large,valueIteration,90,0.99,2.0961010704922955E-12,-18,18,1.82683246E8
large,valueIteration,90,0.99,2.0961010704922955E-12,-21,21,1.82832513E8
large,valueIteration,90,0.99,2.0961010704922955E-12,-20,20,1.82887651E8
