gridWorld,strategy,incentive,rewards,numOfActions,rollOutTime
Small,valueIteration,0.0,-6,6,1.2093024E7
Small,valueIteration,0.0,-3,3,765242.0
Small,valueIteration,0.0,-7,7,758547.0
Small,valueIteration,0.0,-3,3,300504.0
Small,valueIteration,0.0,-3,3,306412.0
Small,valueIteration,0.0,-5,5,694349.0
Small,valueIteration,0.0,-3,3,291446.0
Small,valueIteration,0.0,-3,3,636848.0
Small,valueIteration,0.0,-7,7,1108281.0
Small,valueIteration,0.0,-3,3,304836.0
Small,valueIteration,1.0,-3,3,276873.0
Small,valueIteration,1.0,-3,3,249698.0
Small,valueIteration,1.0,-3,3,358399.0
Small,valueIteration,1.0,-3,3,236701.0
Small,valueIteration,1.0,-3,3,244971.0
Small,valueIteration,1.0,-7,7,514756.0
Small,valueIteration,1.0,-5,5,427322.0
Small,valueIteration,1.0,-9,11,598645.0
Small,valueIteration,1.0,-3,3,119335.0
Small,valueIteration,1.0,-6,6,175261.0
Small,valueIteration,1.1,-5,5,144935.0
Small,valueIteration,1.1,-4,4,181562.0
Small,valueIteration,1.1,-3,3,104369.0
Small,valueIteration,1.1,-4,4,111852.0
Small,valueIteration,1.1,-3,3,91766.0
Small,valueIteration,1.1,-3,3,84676.0
Small,valueIteration,1.1,-5,5,214252.0
Small,valueIteration,1.1,-3,3,133907.0
Small,valueIteration,1.1,-3,3,157145.0
Small,valueIteration,1.1,-3,3,149661.0
Small,valueIteration,1.2,-5,32896,4.72551532E8
Small,valueIteration,1.2,-9,33134,5.33201369E8
Small,valueIteration,1.2,-12,2447,2.5222257E7
Small,valueIteration,1.2,-8,18895,1.9368453E8
Small,valueIteration,1.2,-5,33674,5.24765199E8
Small,valueIteration,1.2,-6,10546,2.26982194E8
Small,valueIteration,1.2,-8,10305,1.62686924E8
Small,valueIteration,1.2,-5,7660,9.9877238E7
Small,valueIteration,1.2,-5,1272,2.4985162E7
Small,valueIteration,1.2,-9,7916,1.56465347E8
Small,valueIteration,1.22,-8,39983,7.51609942E8
Small,valueIteration,1.22,-7,4646,1.03030366E8
Small,valueIteration,1.22,-16,41345,7.26510958E8
Small,valueIteration,1.22,-3,3,53169.0
Small,valueIteration,1.22,-5,5,77194.0
Small,valueIteration,1.22,-7,5410,6.0248115E7
Small,valueIteration,1.22,-8,17835,1.93601429E8
Small,valueIteration,1.22,-5,29643,3.03451228E8
Small,valueIteration,1.22,-6,19679,2.01733944E8
Small,valueIteration,1.22,-5,26571,2.73344894E8
Small,valueIteration,1.24,-6,81354,1.537340291E9
Small,valueIteration,1.24,-6,218887,2.834158768E9
Small,valueIteration,1.24,-6,333470,4.201811926E9
Small,valueIteration,1.24,-5,36050,3.72316288E8
Small,valueIteration,1.24,-7,72535,7.52334617E8
Small,valueIteration,1.24,-7,253237,3.13793098E9
Small,valueIteration,1.24,-13,2270,2.337906E7
Small,valueIteration,1.24,-5,182271,1.874473182E9
Small,valueIteration,1.24,-9,317665,3.290147523E9
Small,valueIteration,1.24,-6,32418,3.36395613E8
